"epoch","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.21.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.21.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.21.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.21.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.21.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.21.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.downsample.0","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.downsample.0__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.downsample.0__MAX"
"166","495","495","495","221","221","221","186","186","186","180","180","180","182","182","182","231","231","231","407","407","407","396","396","396","252","252","252","408","408","408","405","405","405","251","251","251","413","413","413","388","388","388","260","260","260","500","500","500"
"167","498","498","498","221","221","221","186","186","186","180","180","180","182","182","182","231","231","231","406","406","406","396","396","396","252","252","252","408","408","408","405","405","405","251","251","251","412","412","412","388","388","388","260","260","260","499","499","499"
"168","501","501","501","220","220","220","185","185","185","180","180","180","181","181","181","231","231","231","405","405","405","396","396","396","251","251","251","407","407","407","405","405","405","251","251","251","412","412","412","387","387","387","260","260","260","499","499","499"
"169","504","504","504","220","220","220","185","185","185","180","180","180","181","181","181","230","230","230","405","405","405","395","395","395","251","251","251","407","407","407","405","405","405","251","251","251","412","412","412","387","387","387","260","260","260","499","499","499"
"170","507","507","507","220","220","220","185","185","185","180","180","180","181","181","181","229","229","229","405","405","405","395","395","395","251","251","251","406","406","406","404","404","404","251","251","251","412","412","412","385","385","385","260","260","260","499","499","499"
"171","510","510","510","219","219","219","184","184","184","180","180","180","181","181","181","229","229","229","405","405","405","395","395","395","251","251","251","405","405","405","404","404","404","251","251","251","412","412","412","385","385","385","260","260","260","499","499","499"
"172","513","513","513","219","219","219","184","184","184","179","179","179","181","181","181","228","228","228","405","405","405","395","395","395","251","251","251","403","403","403","404","404","404","251","251","251","412","412","412","384","384","384","260","260","260","499","499","499"
"173","516","516","516","218","218","218","182","182","182","179","179","179","181","181","181","227","227","227","404","404","404","393","393","393","251","251","251","403","403","403","404","404","404","251","251","251","412","412","412","384","384","384","260","260","260","499","499","499"
"174","519","519","519","218","218","218","182","182","182","179","179","179","180","180","180","226","226","226","403","403","403","393","393","393","251","251","251","402","402","402","404","404","404","251","251","251","412","412","412","384","384","384","260","260","260","499","499","499"
"175","522","522","522","218","218","218","181","181","181","179","179","179","179","179","179","226","226","226","403","403","403","393","393","393","251","251","251","401","401","401","404","404","404","251","251","251","409","409","409","384","384","384","260","260","260","499","499","499"
"176","525","525","525","218","218","218","181","181","181","179","179","179","178","178","178","226","226","226","402","402","402","392","392","392","251","251","251","398","398","398","404","404","404","251","251","251","409","409","409","384","384","384","260","260","260","498","498","498"
"177","528","528","528","218","218","218","181","181","181","179","179","179","178","178","178","226","226","226","401","401","401","392","392","392","251","251","251","397","397","397","404","404","404","251","251","251","408","408","408","384","384","384","260","260","260","498","498","498"
"178","531","531","531","218","218","218","181","181","181","178","178","178","178","178","178","226","226","226","401","401","401","390","390","390","251","251","251","397","397","397","402","402","402","251","251","251","408","408","408","384","384","384","260","260","260","498","498","498"
"179","534","534","534","218","218","218","181","181","181","178","178","178","177","177","177","226","226","226","401","401","401","390","390","390","251","251","251","396","396","396","401","401","401","251","251","251","408","408","408","384","384","384","260","260","260","498","498","498"
"180","537","537","537","217","217","217","181","181","181","178","178","178","176","176","176","225","225","225","399","399","399","388","388","388","251","251","251","396","396","396","399","399","399","251","251","251","407","407","407","384","384","384","260","260","260","498","498","498"
"181","540","540","540","216","216","216","181","181","181","178","178","178","176","176","176","223","223","223","398","398","398","388","388","388","251","251","251","395","395","395","397","397","397","251","251","251","407","407","407","384","384","384","260","260","260","498","498","498"
"182","543","543","543","216","216","216","181","181","181","178","178","178","175","175","175","222","222","222","398","398","398","387","387","387","251","251","251","395","395","395","397","397","397","251","251","251","406","406","406","384","384","384","260","260","260","498","498","498"
"183","546","546","546","216","216","216","181","181","181","178","178","178","175","175","175","220","220","220","397","397","397","387","387","387","251","251","251","395","395","395","395","395","395","251","251","251","406","406","406","383","383","383","260","260","260","498","498","498"
"184","549","549","549","215","215","215","181","181","181","178","178","178","175","175","175","220","220","220","395","395","395","384","384","384","251","251","251","394","394","394","393","393","393","251","251","251","406","406","406","381","381","381","260","260","260","498","498","498"
"185","552","552","552","215","215","215","181","181","181","178","178","178","174","174","174","220","220","220","394","394","394","384","384","384","251","251","251","393","393","393","393","393","393","251","251","251","404","404","404","380","380","380","260","260","260","498","498","498"
"186","555","555","555","215","215","215","180","180","180","178","178","178","174","174","174","220","220","220","393","393","393","384","384","384","251","251","251","393","393","393","393","393","393","251","251","251","404","404","404","379","379","379","260","260","260","498","498","498"
"187","558","558","558","215","215","215","180","180","180","178","178","178","174","174","174","220","220","220","391","391","391","383","383","383","251","251","251","390","390","390","393","393","393","251","251","251","403","403","403","379","379","379","260","260","260","498","498","498"
"188","561","561","561","214","214","214","180","180","180","178","178","178","174","174","174","220","220","220","390","390","390","383","383","383","251","251","251","389","389","389","392","392","392","251","251","251","402","402","402","376","376","376","260","260","260","498","498","498"
"189","564","564","564","214","214","214","180","180","180","178","178","178","174","174","174","220","220","220","389","389","389","381","381","381","251","251","251","387","387","387","392","392","392","250","250","250","402","402","402","376","376","376","260","260","260","498","498","498"
"190","567","567","567","214","214","214","180","180","180","178","178","178","174","174","174","220","220","220","388","388","388","381","381","381","251","251","251","387","387","387","392","392","392","250","250","250","402","402","402","375","375","375","260","260","260","498","498","498"
"191","570","570","570","212","212","212","180","180","180","178","178","178","174","174","174","220","220","220","387","387","387","380","380","380","251","251","251","387","387","387","391","391","391","250","250","250","402","402","402","375","375","375","260","260","260","497","497","497"
"192","573","573","573","212","212","212","180","180","180","178","178","178","174","174","174","220","220","220","387","387","387","380","380","380","251","251","251","387","387","387","391","391","391","250","250","250","402","402","402","375","375","375","260","260","260","497","497","497"
"193","576","576","576","211","211","211","180","180","180","178","178","178","174","174","174","220","220","220","385","385","385","379","379","379","251","251","251","386","386","386","389","389","389","250","250","250","402","402","402","374","374","374","260","260","260","496","496","496"
"194","579","579","579","211","211","211","179","179","179","178","178","178","174","174","174","220","220","220","385","385","385","378","378","378","251","251","251","384","384","384","388","388","388","250","250","250","401","401","401","372","372","372","260","260","260","496","496","496"
"195","582","582","582","210","210","210","177","177","177","178","178","178","173","173","173","219","219","219","384","384","384","378","378","378","251","251","251","384","384","384","388","388","388","250","250","250","401","401","401","372","372","372","260","260","260","496","496","496"
"196","585","585","585","209","209","209","177","177","177","178","178","178","173","173","173","218","218","218","382","382","382","377","377","377","251","251","251","384","384","384","388","388","388","250","250","250","399","399","399","371","371","371","260","260","260","496","496","496"
"197","588","588","588","209","209","209","177","177","177","178","178","178","173","173","173","217","217","217","381","381","381","376","376","376","251","251","251","380","380","380","386","386","386","250","250","250","399","399","399","371","371","371","260","260","260","496","496","496"
"198","591","591","591","208","208","208","177","177","177","178","178","178","173","173","173","217","217","217","380","380","380","376","376","376","251","251","251","380","380","380","386","386","386","250","250","250","399","399","399","370","370","370","260","260","260","496","496","496"
"199","594","594","594","208","208","208","177","177","177","178","178","178","173","173","173","217","217","217","380","380","380","376","376","376","251","251","251","380","380","380","386","386","386","250","250","250","397","397","397","370","370","370","260","260","260","496","496","496"
"200","597","597","597","207","207","207","177","177","177","178","178","178","173","173","173","217","217","217","380","380","380","375","375","375","251","251","251","380","380","380","386","386","386","250","250","250","396","396","396","369","369","369","260","260","260","496","496","496"
