epoch,"original_LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - best_val_accuracy","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - best_val_accuracy","original_LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - best_val_accuracy","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - best_val_accuracy",MTL[T=15]-ResNet101-CIFAR10 - _step,MTL[T=15]-ResNet101-CIFAR10 - _step__MIN,MTL[T=15]-ResNet101-CIFAR10 - _step__MAX,MTL[T=15]-ResNet101-CIFAR10 - val_accuracy,MTL[T=15]-ResNet101-CIFAR10 - val_accuracy__MIN,MTL[T=15]-ResNet101-CIFAR10 - val_accuracy__MAX,LR[K=300]-ResNet101-CIFAR10 - _step,LR[K=300]-ResNet101-CIFAR10 - _step__MIN,LR[K=300]-ResNet101-CIFAR10 - _step__MAX,LR[K=300]-ResNet101-CIFAR10 - val_accuracy,LR[K=300]-ResNet101-CIFAR10 - val_accuracy__MIN,LR[K=300]-ResNet101-CIFAR10 - val_accuracy__MAX,MLconv[R=400]-ResNet101-CIFAR10 - _step,MLconv[R=400]-ResNet101-CIFAR10 - _step__MIN,MLconv[R=400]-ResNet101-CIFAR10 - _step__MAX,MLconv[R=400]-ResNet101-CIFAR10 - val_accuracy,MLconv[R=400]-ResNet101-CIFAR10 - val_accuracy__MIN,MLconv[R=400]-ResNet101-CIFAR10 - val_accuracy__MAX,MTL[T=3]-ResNet101-CIFAR10 - _step,MTL[T=3]-ResNet101-CIFAR10 - _step__MIN,MTL[T=3]-ResNet101-CIFAR10 - _step__MAX,MTL[T=3]-ResNet101-CIFAR10 - val_accuracy,MTL[T=3]-ResNet101-CIFAR10 - val_accuracy__MIN,MTL[T=3]-ResNet101-CIFAR10 - val_accuracy__MAX,MLconv[R=100]-ResNet101-CIFAR10 - _step,MLconv[R=100]-ResNet101-CIFAR10 - _step__MIN,MLconv[R=100]-ResNet101-CIFAR10 - _step__MAX,MLconv[R=100]-ResNet101-CIFAR10 - val_accuracy,MLconv[R=100]-ResNet101-CIFAR10 - val_accuracy__MIN,MLconv[R=100]-ResNet101-CIFAR10 - val_accuracy__MAX,ResNet101-CIFAR10 - _step,ResNet101-CIFAR10 - _step__MIN,ResNet101-CIFAR10 - _step__MAX,ResNet101-CIFAR10 - val_accuracy,ResNet101-CIFAR10 - val_accuracy__MIN,ResNet101-CIFAR10 - val_accuracy__MAX,LR[K=75]-ResNet101-CIFAR10 - _step,LR[K=75]-ResNet101-CIFAR10 - _step__MIN,LR[K=75]-ResNet101-CIFAR10 - _step__MAX,LR[K=75]-ResNet101-CIFAR10 - val_accuracy,LR[K=75]-ResNet101-CIFAR10 - val_accuracy__MIN,LR[K=75]-ResNet101-CIFAR10 - val_accuracy__MAX,MTL[T=42]-ResNet101-CIFAR10 - _step,MTL[T=42]-ResNet101-CIFAR10 - _step__MIN,MTL[T=42]-ResNet101-CIFAR10 - _step__MAX,MTL[T=42]-ResNet101-CIFAR10 - val_accuracy,MTL[T=42]-ResNet101-CIFAR10 - val_accuracy__MIN,MTL[T=42]-ResNet101-CIFAR10 - val_accuracy__MAX,"original_LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - best_val_accuracy","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - best_val_accuracy",original_MTL[T=4]-Resnet101-CIFAR10 - best_val_accuracy,MTL[T=4]-Resnet101-CIFAR10 - best_val_accuracy,original_MTL[T=16]-Resnet101-CIFAR10 - best_val_accuracy,MTL[T=16]-Resnet101-CIFAR10 - best_val_accuracy,original_MTL[T=43]-Resnet101-CIFAR10 - best_val_accuracy,MTL[T=43]-Resnet101-CIFAR10 - best_val_accuracy
21,72.09,71.09,78.76,77.76,42,42,42,74.7,74.7,74.7,42,42,42,57.91,57.91,57.91,42,42,42,60.89,60.89,60.89,42,42,42,74.61,74.61,74.61,42,42,42,63.03,63.03,63.03,42,42,42,71.8,71.8,71.8,42,42,42,64.06,64.06,64.06,42,42,42,75.94,75.94,75.94,77.83,76.83,79.28,77.28,79.49,77.49,77.77,75.77
22,75.26,74.26,78.76,77.76,44,44,44,75.85,75.85,75.85,44,44,44,61.36,61.36,61.36,44,44,44,64.16,64.16,64.16,44,44,44,75.88,75.88,75.88,44,44,44,61.45,61.45,61.45,44,44,44,73.47,73.47,73.47,44,44,44,62.83,62.83,62.83,44,44,44,75.77,75.77,75.77,78.32,77.32,80.59,78.59,79.72,77.72,80.28,78.28
23,75.57,74.57,79,78,46,46,46,73.63,73.63,73.63,46,46,46,56.53,56.53,56.53,46,46,46,62.21,62.21,62.21,46,46,46,77.24,77.24,77.24,46,46,46,61.23,61.23,61.23,46,46,46,74.87,74.87,74.87,46,46,46,63.49,63.49,63.49,46,46,46,74.07,74.07,74.07,78.32,77.32,80.59,78.59,79.72,77.72,80.28,78.28
24,76.1,75.1,79.09,78.09,48,48,48,76.29,76.29,76.29,48,48,48,62.44,62.44,62.44,48,48,48,60.23,60.23,60.23,48,48,48,76.15,76.15,76.15,48,48,48,65.09,65.09,65.09,48,48,48,72.93,72.93,72.93,48,48,48,69,69,69,48,48,48,76.68,76.68,76.68,78.32,77.32,80.59,78.59,79.92,77.92,80.28,78.28
25,76.57,75.57,79.94,78.94,50,50,50,76.16,76.16,76.16,50,50,50,61.55,61.55,61.55,50,50,50,63.77,63.77,63.77,50,50,50,70.64,70.64,70.64,50,50,50,66.94,66.94,66.94,50,50,50,74.62,74.62,74.62,50,50,50,62.65,62.65,62.65,50,50,50,76.04,76.04,76.04,79.23,78.23,80.59,78.59,80.56,78.56,80.28,78.28
26,76.81,75.81,79.94,78.94,52,52,52,76.54,76.54,76.54,52,52,52,64.1,64.1,64.1,52,52,52,63.27,63.27,63.27,52,52,52,77.61,77.61,77.61,52,52,52,63.76,63.76,63.76,52,52,52,74.85,74.85,74.85,52,52,52,65.77,65.77,65.77,52,52,52,76.72,76.72,76.72,79.87,78.87,80.93,78.93,80.56,78.56,80.28,78.28
27,78.13,77.13,79.94,78.94,54,54,54,75.04,75.04,75.04,54,54,54,67.93,67.93,67.93,54,54,54,63.73,63.73,63.73,54,54,54,76.48,76.48,76.48,54,54,54,64.65,64.65,64.65,54,54,54,77.37,77.37,77.37,54,54,54,62.69,62.69,62.69,54,54,54,78.28,78.28,78.28,80.28,79.28,80.93,78.93,81.19,79.19,81.44,79.44
28,78.13,77.13,81.2,80.2,56,56,56,75.82,75.82,75.82,56,56,56,65.39,65.39,65.39,56,56,56,66.73,66.73,66.73,56,56,56,76.23,76.23,76.23,56,56,56,70.35,70.35,70.35,56,56,56,76.21,76.21,76.21,56,56,56,63.82,63.82,63.82,56,56,56,77.08,77.08,77.08,80.28,79.28,80.93,78.93,81.19,79.19,82.34,80.34
29,78.13,77.13,82.96,81.96,58,58,58,75.83,75.83,75.83,58,58,58,70.64,70.64,70.64,58,58,58,67.34,67.34,67.34,58,58,58,77.75,77.75,77.75,58,58,58,66.27,66.27,66.27,58,58,58,77.49,77.49,77.49,58,58,58,68.09,68.09,68.09,58,58,58,76.58,76.58,76.58,81.3,80.3,82.48,80.48,82.81,80.81,82.34,80.34
30,78.13,77.13,82.96,81.96,60,60,60,77.19,77.19,77.19,60,60,60,70.32,70.32,70.32,60,60,60,68.46,68.46,68.46,60,60,60,74.66,74.66,74.66,60,60,60,72.87,72.87,72.87,60,60,60,76.96,76.96,76.96,60,60,60,70.72,70.72,70.72,60,60,60,34.06,34.06,34.06,81.3,80.3,82.48,80.48,82.81,80.81,82.34,80.34
