"Step","LR[K=180]-YOLO11x-DOTAv1 - metrics/mAP50(B)","LR[K=180]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","LR[K=180]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLconv[R=300]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLconv[R=300]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLconv[R=300]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=61]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=61]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=61]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","LR[K=220]-YOLO11x-DOTAv1 - metrics/mAP50(B)","LR[K=220]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","LR[K=220]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLconv[R=350]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLconv[R=350]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLconv[R=350]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=60]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=60]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=60]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","LR[K=265]-YOLO11x-DOTAv1 - metrics/mAP50(B)","LR[K=265]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","LR[K=265]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLconv[R=430]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLconv[R=430]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLconv[R=430]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","LR[K=300]-YOLO11x-DOTAv1 - metrics/mAP50(B)","LR[K=300]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","LR[K=300]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLconv[R=500]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLconv[R=500]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLconv[R=500]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","YOLO11x-DOTAv1 - metrics/mAP50(B)","YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX"
"25","0.30095","0.30095","0.30095","0.37692","0.37692","0.37692","0","0","0","0.32467","0.32467","0.32467","0.31204","0.31204","0.31204","0.01667","0.01667","0.01667","0.28875","0.28875","0.28875","0.3087","0.3087","0.3087","0.3574","0.3574","0.3574","0.34677","0.34677","0.34677","0.35383","0.35383","0.35383","0.30249","0.30249","0.30249","0.35009","0.35009","0.35009"
"26","0.29929","0.29929","0.29929","0.30595","0.30595","0.30595","0","0","0","0.35586","0.35586","0.35586","0.34612","0.34612","0.34612","0","0","0","0.31159","0.31159","0.31159","0.35011","0.35011","0.35011","0.34011","0.34011","0.34011","0.3774","0.3774","0.3774","0.37248","0.37248","0.37248","0.37823","0.37823","0.37823","0.3507","0.3507","0.3507"
"27","0.38426","0.38426","0.38426","0.37128","0.37128","0.37128","0","0","0","0.35651","0.35651","0.35651","0.35852","0.35852","0.35852","0","0","0","0.31294","0.31294","0.31294","0.35773","0.35773","0.35773","0.37553","0.37553","0.37553","0.32197","0.32197","0.32197","0.36789","0.36789","0.36789","0.39954","0.39954","0.39954","0.32488","0.32488","0.32488"
"28","0.29175","0.29175","0.29175","0.37376","0.37376","0.37376","0.02234","0.02234","0.02234","0.31422","0.31422","0.31422","0.34491","0.34491","0.34491","0","0","0","0.31065","0.31065","0.31065","0.3567","0.3567","0.3567","0.27203","0.27203","0.27203","0.31244","0.31244","0.31244","0.38304","0.38304","0.38304","0.37215","0.37215","0.37215","0.32494","0.32494","0.32494"
"29","0.3035","0.3035","0.3035","0.31587","0.31587","0.31587","0","0","0","0.32893","0.32893","0.32893","0.36398","0.36398","0.36398","0","0","0","0.32034","0.32034","0.32034","0.33781","0.33781","0.33781","0.23851","0.23851","0.23851","0.34047","0.34047","0.34047","0.36384","0.36384","0.36384","0.39601","0.39601","0.39601","0.37499","0.37499","0.37499"
"30","0.30343","0.30343","0.30343","0.36714","0.36714","0.36714","0","0","0","0.27146","0.27146","0.27146","0.35716","0.35716","0.35716","0","0","0","0.31636","0.31636","0.31636","0.29503","0.29503","0.29503","0.30638","0.30638","0.30638","0.31132","0.31132","0.31132","0.33759","0.33759","0.33759","0.3908","0.3908","0.3908","0.37122","0.37122","0.37122"
"31","0.32291","0.32291","0.32291","0.36932","0.36932","0.36932","0","0","0","0.34961","0.34961","0.34961","0.33499","0.33499","0.33499","0","0","0","0.32465","0.32465","0.32465","0.38152","0.38152","0.38152","0.35899","0.35899","0.35899","0.36563","0.36563","0.36563","0.38235","0.38235","0.38235","0.38756","0.38756","0.38756","0.37861","0.37861","0.37861"
"32","0.31595","0.31595","0.31595","0.33515","0.33515","0.33515","0","0","0","0.35191","0.35191","0.35191","0.37982","0.37982","0.37982","0","0","0","0.33601","0.33601","0.33601","0.37651","0.37651","0.37651","0.34925","0.34925","0.34925","0.37597","0.37597","0.37597","0.35305","0.35305","0.35305","0.36434","0.36434","0.36434","0.33486","0.33486","0.33486"
"33","0.34593","0.34593","0.34593","0.36845","0.36845","0.36845","0.01667","0.01667","0.01667","0.37591","0.37591","0.37591","0.38728","0.38728","0.38728","0.00842","0.00842","0.00842","0.36345","0.36345","0.36345","0.3706","0.3706","0.3706","0.33493","0.33493","0.33493","0.35218","0.35218","0.35218","0.37745","0.37745","0.37745","0.3879","0.3879","0.3879","0.35088","0.35088","0.35088"
"34","0.35628","0.35628","0.35628","0.35008","0.35008","0.35008","0","0","0","0.39472","0.39472","0.39472","0.31739","0.31739","0.31739","0","0","0","0.38444","0.38444","0.38444","0.35339","0.35339","0.35339","0.37899","0.37899","0.37899","0.35171","0.35171","0.35171","0.35889","0.35889","0.35889","0.39205","0.39205","0.39205","0.3811","0.3811","0.3811"
