"Step","LR[K=180]-YOLO11x-DOTAv1 - metrics/mAP50(B)","LR[K=180]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","LR[K=180]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLconv[R=300]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLconv[R=300]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLconv[R=300]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=61]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=61]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=61]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","LR[K=220]-YOLO11x-DOTAv1 - metrics/mAP50(B)","LR[K=220]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","LR[K=220]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLconv[R=350]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLconv[R=350]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLconv[R=350]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=60]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=60]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=60]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","LR[K=265]-YOLO11x-DOTAv1 - metrics/mAP50(B)","LR[K=265]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","LR[K=265]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLconv[R=430]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLconv[R=430]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLconv[R=430]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","LR[K=300]-YOLO11x-DOTAv1 - metrics/mAP50(B)","LR[K=300]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","LR[K=300]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLconv[R=500]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLconv[R=500]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLconv[R=500]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","YOLO11x-DOTAv1 - metrics/mAP50(B)","YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX"
"99","0.47093","0.47093","0.47093","0.43787","0.43787","0.43787","0.26181","0.26181","0.26181","0.46549","0.46549","0.46549","0.46694","0.46694","0.46694","0.26038","0.26038","0.26038","0.45039","0.45039","0.45039","0.46886","0.46886","0.46886","0.46993","0.46993","0.46993","0.48308","0.48308","0.48308","0.49886","0.49886","0.49886","0.49995","0.49995","0.49995","0.49756","0.49756","0.49756"
"100","0.46052","0.46052","0.46052","0.45601","0.45601","0.45601","0.24752","0.24752","0.24752","0.46047","0.46047","0.46047","0.47676","0.47676","0.47676","0.36518","0.36518","0.36518","0.46154","0.46154","0.46154","0.47479","0.47479","0.47479","0.46201","0.46201","0.46201","0.44806","0.44806","0.44806","0.51348","0.51348","0.51348","0.48203","0.48203","0.48203","0.51116","0.51116","0.51116"
"101","0.47038","0.47038","0.47038","0.4405","0.4405","0.4405","0.27129","0.27129","0.27129","0.43579","0.43579","0.43579","0.46769","0.46769","0.46769","0.33826","0.33826","0.33826","0.455","0.455","0.455","0.47935","0.47935","0.47935","0.47254","0.47254","0.47254","0.4678","0.4678","0.4678","0.50176","0.50176","0.50176","0.48481","0.48481","0.48481","0.49147","0.49147","0.49147"
"102","0.44635","0.44635","0.44635","0.48425","0.48425","0.48425","0.2344","0.2344","0.2344","0.44683","0.44683","0.44683","0.47644","0.47644","0.47644","0.31879","0.31879","0.31879","0.44991","0.44991","0.44991","0.47593","0.47593","0.47593","0.48903","0.48903","0.48903","0.46758","0.46758","0.46758","0.50965","0.50965","0.50965","0.49645","0.49645","0.49645","0.50047","0.50047","0.50047"
"103","0.44755","0.44755","0.44755","0.45908","0.45908","0.45908","0.25469","0.25469","0.25469","0.47101","0.47101","0.47101","0.45556","0.45556","0.45556","0.35214","0.35214","0.35214","0.46732","0.46732","0.46732","0.48212","0.48212","0.48212","0.49372","0.49372","0.49372","0.48674","0.48674","0.48674","0.48433","0.48433","0.48433","0.48807","0.48807","0.48807","0.50592","0.50592","0.50592"
"104","0.46768","0.46768","0.46768","0.49478","0.49478","0.49478","0.29379","0.29379","0.29379","0.47524","0.47524","0.47524","0.48775","0.48775","0.48775","0.39967","0.39967","0.39967","0.45702","0.45702","0.45702","0.48712","0.48712","0.48712","0.47476","0.47476","0.47476","0.4789","0.4789","0.4789","0.47382","0.47382","0.47382","0.5028","0.5028","0.5028","0.51139","0.51139","0.51139"
"105","0.42793","0.42793","0.42793","0.42988","0.42988","0.42988","0.31368","0.31368","0.31368","0.48191","0.48191","0.48191","0.46742","0.46742","0.46742","0.3543","0.3543","0.3543","0.45191","0.45191","0.45191","0.50192","0.50192","0.50192","0.50096","0.50096","0.50096","0.47685","0.47685","0.47685","0.51523","0.51523","0.51523","0.49783","0.49783","0.49783","0.48679","0.48679","0.48679"
"106","0.4757","0.4757","0.4757","0.48157","0.48157","0.48157","0.2893","0.2893","0.2893","0.47349","0.47349","0.47349","0.42956","0.42956","0.42956","0.3461","0.3461","0.3461","0.46115","0.46115","0.46115","0.47613","0.47613","0.47613","0.49652","0.49652","0.49652","0.48505","0.48505","0.48505","0.48195","0.48195","0.48195","0.48922","0.48922","0.48922","0.49976","0.49976","0.49976"
"107","0.46559","0.46559","0.46559","0.50552","0.50552","0.50552","0.2316","0.2316","0.2316","0.4888","0.4888","0.4888","0.4955","0.4955","0.4955","0.30379","0.30379","0.30379","0.47312","0.47312","0.47312","0.47582","0.47582","0.47582","0.47661","0.47661","0.47661","0.47849","0.47849","0.47849","0.51022","0.51022","0.51022","0.50644","0.50644","0.50644","0.50251","0.50251","0.50251"
"108","0.46729","0.46729","0.46729","0.45786","0.45786","0.45786","0.32193","0.32193","0.32193","0.47995","0.47995","0.47995","0.50202","0.50202","0.50202","0.38036","0.38036","0.38036","0.4976","0.4976","0.4976","0.4789","0.4789","0.4789","0.47232","0.47232","0.47232","0.4846","0.4846","0.4846","0.48234","0.48234","0.48234","0.50477","0.50477","0.50477","0.50695","0.50695","0.50695"
"109","0.48269","0.48269","0.48269","0.47458","0.47458","0.47458","0.34066","0.34066","0.34066","0.47721","0.47721","0.47721","0.45467","0.45467","0.45467","0.389","0.389","0.389","0.46685","0.46685","0.46685","0.50825","0.50825","0.50825","0.47397","0.47397","0.47397","0.46923","0.46923","0.46923","0.49176","0.49176","0.49176","0.48493","0.48493","0.48493","0.47648","0.47648","0.47648"
"110","0.50201","0.50201","0.50201","0.43335","0.43335","0.43335","0.32969","0.32969","0.32969","0.49352","0.49352","0.49352","0.46726","0.46726","0.46726","0.34612","0.34612","0.34612","0.45686","0.45686","0.45686","0.50283","0.50283","0.50283","0.46814","0.46814","0.46814","0.48836","0.48836","0.48836","0.5059","0.5059","0.5059","0.50088","0.50088","0.50088","0.51286","0.51286","0.51286"
"111","0.4685","0.4685","0.4685","0.49207","0.49207","0.49207","0.27069","0.27069","0.27069","0.44798","0.44798","0.44798","0.45577","0.45577","0.45577","0.36833","0.36833","0.36833","0.45284","0.45284","0.45284","0.50729","0.50729","0.50729","0.50169","0.50169","0.50169","0.47424","0.47424","0.47424","0.51218","0.51218","0.51218","0.49198","0.49198","0.49198","0.4938","0.4938","0.4938"
"112","0.45233","0.45233","0.45233","0.49115","0.49115","0.49115","0.32304","0.32304","0.32304","0.46049","0.46049","0.46049","0.46523","0.46523","0.46523","0.38022","0.38022","0.38022","0.43595","0.43595","0.43595","0.47098","0.47098","0.47098","0.47899","0.47899","0.47899","0.47696","0.47696","0.47696","0.48602","0.48602","0.48602","0.49391","0.49391","0.49391","0.47364","0.47364","0.47364"
"113","0.48411","0.48411","0.48411","0.47787","0.47787","0.47787","0.28519","0.28519","0.28519","0.48724","0.48724","0.48724","0.49417","0.49417","0.49417","0.35922","0.35922","0.35922","0.45614","0.45614","0.45614","0.48122","0.48122","0.48122","0.48044","0.48044","0.48044","0.49223","0.49223","0.49223","0.51699","0.51699","0.51699","0.49914","0.49914","0.49914","0.49614","0.49614","0.49614"
"114","0.47583","0.47583","0.47583","0.47548","0.47548","0.47548","0.31756","0.31756","0.31756","0.45166","0.45166","0.45166","0.476","0.476","0.476","0.38947","0.38947","0.38947","0.46449","0.46449","0.46449","0.4985","0.4985","0.4985","0.47554","0.47554","0.47554","0.48191","0.48191","0.48191","0.49164","0.49164","0.49164","0.48929","0.48929","0.48929","0.4974","0.4974","0.4974"
"115","0.46775","0.46775","0.46775","0.48071","0.48071","0.48071","0.35296","0.35296","0.35296","0.46947","0.46947","0.46947","0.48165","0.48165","0.48165","0.38315","0.38315","0.38315","0.45316","0.45316","0.45316","0.47676","0.47676","0.47676","0.4778","0.4778","0.4778","0.47601","0.47601","0.47601","0.48365","0.48365","0.48365","0.48329","0.48329","0.48329","0.49557","0.49557","0.49557"
"116","0.48582","0.48582","0.48582","0.471","0.471","0.471","0.32397","0.32397","0.32397","0.46975","0.46975","0.46975","0.49144","0.49144","0.49144","0.36182","0.36182","0.36182","0.51749","0.51749","0.51749","0.47189","0.47189","0.47189","0.50513","0.50513","0.50513","0.48297","0.48297","0.48297","0.50644","0.50644","0.50644","0.48959","0.48959","0.48959","0.49616","0.49616","0.49616"
"117","0.46718","0.46718","0.46718","0.43554","0.43554","0.43554","0.2874","0.2874","0.2874","0.46522","0.46522","0.46522","0.49934","0.49934","0.49934","0.37585","0.37585","0.37585","0.45371","0.45371","0.45371","0.51708","0.51708","0.51708","0.49062","0.49062","0.49062","0.49473","0.49473","0.49473","0.48386","0.48386","0.48386","0.49887","0.49887","0.49887","0.5103","0.5103","0.5103"
"118","0.45571","0.45571","0.45571","0.44682","0.44682","0.44682","0.39549","0.39549","0.39549","0.48952","0.48952","0.48952","0.47179","0.47179","0.47179","0.33427","0.33427","0.33427","0.44078","0.44078","0.44078","0.48653","0.48653","0.48653","0.48093","0.48093","0.48093","0.49875","0.49875","0.49875","0.49598","0.49598","0.49598","0.5332","0.5332","0.5332","0.51173","0.51173","0.51173"
"119","0.46315","0.46315","0.46315","0.47775","0.47775","0.47775","0.28961","0.28961","0.28961","0.44905","0.44905","0.44905","0.4721","0.4721","0.4721","0.37144","0.37144","0.37144","0.46785","0.46785","0.46785","0.48852","0.48852","0.48852","0.47497","0.47497","0.47497","0.48999","0.48999","0.48999","0.53383","0.53383","0.53383","0.5044","0.5044","0.5044","0.4923","0.4923","0.4923"
"120","0.47818","0.47818","0.47818","0.45452","0.45452","0.45452","0.33339","0.33339","0.33339","0.49029","0.49029","0.49029","0.46852","0.46852","0.46852","0.3261","0.3261","0.3261","0.4764","0.4764","0.4764","0.48549","0.48549","0.48549","0.50119","0.50119","0.50119","0.46491","0.46491","0.46491","0.51776","0.51776","0.51776","0.51823","0.51823","0.51823","0.48959","0.48959","0.48959"
"121","0.48625","0.48625","0.48625","0.48217","0.48217","0.48217","0.33093","0.33093","0.33093","0.47927","0.47927","0.47927","0.48003","0.48003","0.48003","0.3538","0.3538","0.3538","0.50628","0.50628","0.50628","0.46015","0.46015","0.46015","0.49054","0.49054","0.49054","0.48195","0.48195","0.48195","0.47734","0.47734","0.47734","0.47467","0.47467","0.47467","0.48398","0.48398","0.48398"
"122","0.45786","0.45786","0.45786","0.48756","0.48756","0.48756","0.3183","0.3183","0.3183","0.45755","0.45755","0.45755","0.46503","0.46503","0.46503","0.35038","0.35038","0.35038","0.46184","0.46184","0.46184","0.48197","0.48197","0.48197","0.47027","0.47027","0.47027","0.47958","0.47958","0.47958","0.52502","0.52502","0.52502","0.49424","0.49424","0.49424","0.50785","0.50785","0.50785"
"123","0.50157","0.50157","0.50157","0.47727","0.47727","0.47727","0.34208","0.34208","0.34208","0.48195","0.48195","0.48195","0.46873","0.46873","0.46873","0.37978","0.37978","0.37978","0.4654","0.4654","0.4654","0.50562","0.50562","0.50562","0.49348","0.49348","0.49348","0.47579","0.47579","0.47579","0.51384","0.51384","0.51384","0.51332","0.51332","0.51332","0.50203","0.50203","0.50203"
"124","0.49647","0.49647","0.49647","0.47387","0.47387","0.47387","0.32901","0.32901","0.32901","0.49701","0.49701","0.49701","0.49154","0.49154","0.49154","0.37012","0.37012","0.37012","0.49322","0.49322","0.49322","0.49621","0.49621","0.49621","0.49332","0.49332","0.49332","0.51755","0.51755","0.51755","0.52076","0.52076","0.52076","0.51881","0.51881","0.51881","0.50494","0.50494","0.50494"
"125","0.48458","0.48458","0.48458","0.4795","0.4795","0.4795","0.32827","0.32827","0.32827","0.48763","0.48763","0.48763","0.47921","0.47921","0.47921","0.34131","0.34131","0.34131","0.48046","0.48046","0.48046","0.47753","0.47753","0.47753","0.4745","0.4745","0.4745","0.49488","0.49488","0.49488","0.52148","0.52148","0.52148","0.50642","0.50642","0.50642","0.49908","0.49908","0.49908"
"126","0.46646","0.46646","0.46646","0.46934","0.46934","0.46934","0.30909","0.30909","0.30909","0.47695","0.47695","0.47695","0.49173","0.49173","0.49173","0.35797","0.35797","0.35797","0.47429","0.47429","0.47429","0.51277","0.51277","0.51277","0.49419","0.49419","0.49419","0.48458","0.48458","0.48458","0.50663","0.50663","0.50663","0.50523","0.50523","0.50523","0.51173","0.51173","0.51173"
"127","0.49681","0.49681","0.49681","0.46607","0.46607","0.46607","0.35672","0.35672","0.35672","0.47587","0.47587","0.47587","0.47676","0.47676","0.47676","0.36643","0.36643","0.36643","0.47016","0.47016","0.47016","0.51025","0.51025","0.51025","0.47253","0.47253","0.47253","0.47038","0.47038","0.47038","0.50131","0.50131","0.50131","0.50565","0.50565","0.50565","0.50018","0.50018","0.50018"
"128","0.48898","0.48898","0.48898","0.48508","0.48508","0.48508","0.37371","0.37371","0.37371","0.49824","0.49824","0.49824","0.50569","0.50569","0.50569","0.39004","0.39004","0.39004","0.45523","0.45523","0.45523","0.49776","0.49776","0.49776","0.48323","0.48323","0.48323","0.47682","0.47682","0.47682","0.50895","0.50895","0.50895","0.47845","0.47845","0.47845","0.49481","0.49481","0.49481"
"129","0.49177","0.49177","0.49177","0.46522","0.46522","0.46522","0.35479","0.35479","0.35479","0.47504","0.47504","0.47504","0.50602","0.50602","0.50602","0.39043","0.39043","0.39043","0.4773","0.4773","0.4773","0.48893","0.48893","0.48893","0.5081","0.5081","0.5081","0.49884","0.49884","0.49884","0.52508","0.52508","0.52508","0.51651","0.51651","0.51651","0.49552","0.49552","0.49552"
"130","0.46638","0.46638","0.46638","0.49059","0.49059","0.49059","0.31555","0.31555","0.31555","0.4858","0.4858","0.4858","0.47706","0.47706","0.47706","0.35191","0.35191","0.35191","0.47008","0.47008","0.47008","0.47118","0.47118","0.47118","0.4825","0.4825","0.4825","0.48222","0.48222","0.48222","0.50031","0.50031","0.50031","0.51376","0.51376","0.51376","0.49034","0.49034","0.49034"
"131","0.48876","0.48876","0.48876","0.46392","0.46392","0.46392","0.35253","0.35253","0.35253","0.49002","0.49002","0.49002","0.46971","0.46971","0.46971","0.39577","0.39577","0.39577","0.48837","0.48837","0.48837","0.48032","0.48032","0.48032","0.49623","0.49623","0.49623","0.51448","0.51448","0.51448","0.49939","0.49939","0.49939","0.4916","0.4916","0.4916","0.51218","0.51218","0.51218"
"132","0.45576","0.45576","0.45576","0.48394","0.48394","0.48394","0.34102","0.34102","0.34102","0.46942","0.46942","0.46942","0.48953","0.48953","0.48953","0.37577","0.37577","0.37577","0.46539","0.46539","0.46539","0.48065","0.48065","0.48065","0.46576","0.46576","0.46576","0.47512","0.47512","0.47512","0.48772","0.48772","0.48772","0.5132","0.5132","0.5132","0.50376","0.50376","0.50376"
"133","0.50398","0.50398","0.50398","0.47274","0.47274","0.47274","0.35767","0.35767","0.35767","0.46891","0.46891","0.46891","0.48373","0.48373","0.48373","0.38681","0.38681","0.38681","0.46038","0.46038","0.46038","0.48256","0.48256","0.48256","0.4954","0.4954","0.4954","0.47379","0.47379","0.47379","0.51022","0.51022","0.51022","0.51002","0.51002","0.51002","0.51482","0.51482","0.51482"
"134","0.49375","0.49375","0.49375","0.51298","0.51298","0.51298","0.37449","0.37449","0.37449","0.50965","0.50965","0.50965","0.51415","0.51415","0.51415","0.39118","0.39118","0.39118","0.47761","0.47761","0.47761","0.50045","0.50045","0.50045","0.4836","0.4836","0.4836","0.4797","0.4797","0.4797","0.51899","0.51899","0.51899","0.49472","0.49472","0.49472","0.50325","0.50325","0.50325"
"135","0.48467","0.48467","0.48467","0.47665","0.47665","0.47665","0.37791","0.37791","0.37791","0.4758","0.4758","0.4758","0.48617","0.48617","0.48617","0.38723","0.38723","0.38723","0.4869","0.4869","0.4869","0.49216","0.49216","0.49216","0.52213","0.52213","0.52213","0.48103","0.48103","0.48103","0.49947","0.49947","0.49947","0.50363","0.50363","0.50363","0.50816","0.50816","0.50816"
"136","0.48032","0.48032","0.48032","0.49967","0.49967","0.49967","0.33618","0.33618","0.33618","0.47078","0.47078","0.47078","0.4797","0.4797","0.4797","0.37481","0.37481","0.37481","0.47042","0.47042","0.47042","0.4717","0.4717","0.4717","0.48263","0.48263","0.48263","0.46956","0.46956","0.46956","0.50665","0.50665","0.50665","0.50871","0.50871","0.50871","0.51543","0.51543","0.51543"
"137","0.49585","0.49585","0.49585","0.49837","0.49837","0.49837","0.3492","0.3492","0.3492","0.51532","0.51532","0.51532","0.4992","0.4992","0.4992","0.3765","0.3765","0.3765","0.48916","0.48916","0.48916","0.49281","0.49281","0.49281","0.49961","0.49961","0.49961","0.49266","0.49266","0.49266","0.5179","0.5179","0.5179","0.51975","0.51975","0.51975","0.52358","0.52358","0.52358"
"138","0.47424","0.47424","0.47424","0.48853","0.48853","0.48853","0.34392","0.34392","0.34392","0.47353","0.47353","0.47353","0.5022","0.5022","0.5022","0.38541","0.38541","0.38541","0.47186","0.47186","0.47186","0.49918","0.49918","0.49918","0.48023","0.48023","0.48023","0.50806","0.50806","0.50806","0.49023","0.49023","0.49023","0.50862","0.50862","0.50862","0.49782","0.49782","0.49782"
"139","0.49585","0.49585","0.49585","0.49581","0.49581","0.49581","0.33096","0.33096","0.33096","0.49057","0.49057","0.49057","0.49566","0.49566","0.49566","0.37757","0.37757","0.37757","0.46997","0.46997","0.46997","0.51228","0.51228","0.51228","0.48018","0.48018","0.48018","0.48819","0.48819","0.48819","0.49896","0.49896","0.49896","0.52182","0.52182","0.52182","0.50113","0.50113","0.50113"
"140","0.50545","0.50545","0.50545","0.47312","0.47312","0.47312","0.33044","0.33044","0.33044","0.4769","0.4769","0.4769","0.4776","0.4776","0.4776","0.38114","0.38114","0.38114","0.47603","0.47603","0.47603","0.48388","0.48388","0.48388","0.4933","0.4933","0.4933","0.46924","0.46924","0.46924","0.48464","0.48464","0.48464","0.50121","0.50121","0.50121","0.50216","0.50216","0.50216"
"141","0.49775","0.49775","0.49775","0.50888","0.50888","0.50888","0.3663","0.3663","0.3663","0.47864","0.47864","0.47864","0.48445","0.48445","0.48445","0.3824","0.3824","0.3824","0.48111","0.48111","0.48111","0.51357","0.51357","0.51357","0.49497","0.49497","0.49497","0.48912","0.48912","0.48912","0.50041","0.50041","0.50041","0.51769","0.51769","0.51769","0.50191","0.50191","0.50191"
"142","0.47028","0.47028","0.47028","0.48541","0.48541","0.48541","0.39282","0.39282","0.39282","0.46869","0.46869","0.46869","0.46335","0.46335","0.46335","0.37661","0.37661","0.37661","0.46333","0.46333","0.46333","0.5213","0.5213","0.5213","0.47641","0.47641","0.47641","0.48662","0.48662","0.48662","0.49895","0.49895","0.49895","0.5057","0.5057","0.5057","0.50202","0.50202","0.50202"
"143","0.51398","0.51398","0.51398","0.47462","0.47462","0.47462","0.37644","0.37644","0.37644","0.49203","0.49203","0.49203","0.47666","0.47666","0.47666","0.39071","0.39071","0.39071","0.48776","0.48776","0.48776","0.49112","0.49112","0.49112","0.49789","0.49789","0.49789","0.48667","0.48667","0.48667","0.50398","0.50398","0.50398","0.49421","0.49421","0.49421","0.51795","0.51795","0.51795"
"144","0.47101","0.47101","0.47101","0.49883","0.49883","0.49883","0.38021","0.38021","0.38021","0.47309","0.47309","0.47309","0.49786","0.49786","0.49786","0.3707","0.3707","0.3707","0.44727","0.44727","0.44727","0.50413","0.50413","0.50413","0.46773","0.46773","0.46773","0.49117","0.49117","0.49117","0.50819","0.50819","0.50819","0.50582","0.50582","0.50582","0.50286","0.50286","0.50286"
"145","0.49374","0.49374","0.49374","0.47621","0.47621","0.47621","0.37141","0.37141","0.37141","0.50996","0.50996","0.50996","0.47529","0.47529","0.47529","0.38147","0.38147","0.38147","0.47759","0.47759","0.47759","0.50872","0.50872","0.50872","0.50992","0.50992","0.50992","0.48891","0.48891","0.48891","0.50822","0.50822","0.50822","0.50191","0.50191","0.50191","0.5031","0.5031","0.5031"
"146","0.48984","0.48984","0.48984","0.5074","0.5074","0.5074","0.38004","0.38004","0.38004","0.47968","0.47968","0.47968","0.47968","0.47968","0.47968","0.38209","0.38209","0.38209","0.46734","0.46734","0.46734","0.50083","0.50083","0.50083","0.46104","0.46104","0.46104","0.49257","0.49257","0.49257","0.51818","0.51818","0.51818","0.50934","0.50934","0.50934","0.50912","0.50912","0.50912"
"147","0.4748","0.4748","0.4748","0.48102","0.48102","0.48102","0.36096","0.36096","0.36096","0.51009","0.51009","0.51009","0.49878","0.49878","0.49878","0.37846","0.37846","0.37846","0.46076","0.46076","0.46076","0.5157","0.5157","0.5157","0.50149","0.50149","0.50149","0.5073","0.5073","0.5073","0.51403","0.51403","0.51403","0.52826","0.52826","0.52826","0.50299","0.50299","0.50299"
"148","0.5074","0.5074","0.5074","0.51359","0.51359","0.51359","0.38018","0.38018","0.38018","0.50206","0.50206","0.50206","0.52646","0.52646","0.52646","0.38864","0.38864","0.38864","0.47114","0.47114","0.47114","0.49","0.49","0.49","0.50324","0.50324","0.50324","0.50815","0.50815","0.50815","0.52201","0.52201","0.52201","0.48961","0.48961","0.48961","0.51048","0.51048","0.51048"
"149","0.47831","0.47831","0.47831","0.50277","0.50277","0.50277","0.35151","0.35151","0.35151","0.47864","0.47864","0.47864","0.49463","0.49463","0.49463","0.38494","0.38494","0.38494","0.47791","0.47791","0.47791","0.5001","0.5001","0.5001","0.48125","0.48125","0.48125","0.50871","0.50871","0.50871","0.50433","0.50433","0.50433","0.51902","0.51902","0.51902","0.50384","0.50384","0.50384"
"150","0.50561","0.50561","0.50561","0.50531","0.50531","0.50531","0.35208","0.35208","0.35208","0.49989","0.49989","0.49989","0.49027","0.49027","0.49027","0.37995","0.37995","0.37995","0.47924","0.47924","0.47924","0.50801","0.50801","0.50801","0.49926","0.49926","0.49926","0.47987","0.47987","0.47987","0.51479","0.51479","0.51479","0.5357","0.5357","0.5357","0.50057","0.50057","0.50057"
"151","0.51509","0.51509","0.51509","0.51022","0.51022","0.51022","0.36553","0.36553","0.36553","0.50916","0.50916","0.50916","0.48365","0.48365","0.48365","0.38907","0.38907","0.38907","0.46208","0.46208","0.46208","0.48434","0.48434","0.48434","0.48923","0.48923","0.48923","0.48457","0.48457","0.48457","0.52462","0.52462","0.52462","0.51813","0.51813","0.51813","0.50934","0.50934","0.50934"
"152","0.49034","0.49034","0.49034","0.48868","0.48868","0.48868","0.38325","0.38325","0.38325","0.49796","0.49796","0.49796","0.49035","0.49035","0.49035","0.38618","0.38618","0.38618","0.45941","0.45941","0.45941","0.50726","0.50726","0.50726","0.49366","0.49366","0.49366","0.5032","0.5032","0.5032","0.51904","0.51904","0.51904","0.52053","0.52053","0.52053","0.51516","0.51516","0.51516"
"153","0.49215","0.49215","0.49215","0.52069","0.52069","0.52069","0.38644","0.38644","0.38644","0.51085","0.51085","0.51085","0.51483","0.51483","0.51483","0.38362","0.38362","0.38362","0.47002","0.47002","0.47002","0.51741","0.51741","0.51741","0.48946","0.48946","0.48946","0.49152","0.49152","0.49152","0.48066","0.48066","0.48066","0.52048","0.52048","0.52048","0.51865","0.51865","0.51865"
"154","0.50114","0.50114","0.50114","0.51252","0.51252","0.51252","0.34103","0.34103","0.34103","0.49262","0.49262","0.49262","0.50865","0.50865","0.50865","0.38184","0.38184","0.38184","0.45899","0.45899","0.45899","0.50507","0.50507","0.50507","0.48395","0.48395","0.48395","0.5166","0.5166","0.5166","0.4824","0.4824","0.4824","0.52278","0.52278","0.52278","0.49429","0.49429","0.49429"
"155","0.48692","0.48692","0.48692","0.52636","0.52636","0.52636","0.34149","0.34149","0.34149","0.51346","0.51346","0.51346","0.47568","0.47568","0.47568","0.36413","0.36413","0.36413","0.47857","0.47857","0.47857","0.48104","0.48104","0.48104","0.49067","0.49067","0.49067","0.48938","0.48938","0.48938","0.51765","0.51765","0.51765","0.50122","0.50122","0.50122","0.50676","0.50676","0.50676"
"156","0.49833","0.49833","0.49833","0.52575","0.52575","0.52575","0.39721","0.39721","0.39721","0.51246","0.51246","0.51246","0.47863","0.47863","0.47863","0.39202","0.39202","0.39202","0.45928","0.45928","0.45928","0.48486","0.48486","0.48486","0.47865","0.47865","0.47865","0.48151","0.48151","0.48151","0.52137","0.52137","0.52137","0.49724","0.49724","0.49724","0.5086","0.5086","0.5086"
"157","0.48232","0.48232","0.48232","0.5193","0.5193","0.5193","0.36121","0.36121","0.36121","0.4895","0.4895","0.4895","0.4844","0.4844","0.4844","0.38629","0.38629","0.38629","0.47036","0.47036","0.47036","0.48219","0.48219","0.48219","0.49529","0.49529","0.49529","0.49658","0.49658","0.49658","0.53381","0.53381","0.53381","0.49918","0.49918","0.49918","0.51952","0.51952","0.51952"
"158","0.49071","0.49071","0.49071","0.53116","0.53116","0.53116","0.38408","0.38408","0.38408","0.51725","0.51725","0.51725","0.49957","0.49957","0.49957","0.39226","0.39226","0.39226","0.46933","0.46933","0.46933","0.50007","0.50007","0.50007","0.48994","0.48994","0.48994","0.52577","0.52577","0.52577","0.50259","0.50259","0.50259","0.50116","0.50116","0.50116","0.50965","0.50965","0.50965"
"159","0.49904","0.49904","0.49904","0.48903","0.48903","0.48903","0.37352","0.37352","0.37352","0.49573","0.49573","0.49573","0.47522","0.47522","0.47522","0.38884","0.38884","0.38884","0.47998","0.47998","0.47998","0.52315","0.52315","0.52315","0.49822","0.49822","0.49822","0.47707","0.47707","0.47707","0.52924","0.52924","0.52924","0.4935","0.4935","0.4935","0.5009","0.5009","0.5009"
"160","0.49281","0.49281","0.49281","0.52939","0.52939","0.52939","0.35187","0.35187","0.35187","0.51249","0.51249","0.51249","0.49282","0.49282","0.49282","0.37814","0.37814","0.37814","0.47439","0.47439","0.47439","0.51134","0.51134","0.51134","0.47193","0.47193","0.47193","0.49245","0.49245","0.49245","0.52669","0.52669","0.52669","0.51316","0.51316","0.51316","0.51147","0.51147","0.51147"
