"epoch","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.21.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.21.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.21.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.21.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.21.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.21.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.downsample.0","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.downsample.0__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.downsample.0__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv3__MAX"
"166","495","495","495","192","192","192","223","223","223","181","181","181","185","185","185","234","234","234","415","415","415","403","403","403","251","251","251","493","493","493","413","413","413","415","415","415","250","250","250","417","417","417","398","398","398","259","259","259"
"167","498","498","498","192","192","192","223","223","223","181","181","181","185","185","185","234","234","234","413","413","413","402","402","402","251","251","251","493","493","493","412","412","412","415","415","415","250","250","250","417","417","417","397","397","397","259","259","259"
"168","501","501","501","192","192","192","223","223","223","181","181","181","185","185","185","234","234","234","413","413","413","400","400","400","251","251","251","493","493","493","412","412","412","414","414","414","250","250","250","416","416","416","397","397","397","259","259","259"
"169","504","504","504","191","191","191","223","223","223","181","181","181","185","185","185","234","234","234","412","412","412","398","398","398","251","251","251","493","493","493","412","412","412","414","414","414","250","250","250","416","416","416","397","397","397","259","259","259"
"170","507","507","507","191","191","191","223","223","223","181","181","181","185","185","185","234","234","234","412","412","412","398","398","398","251","251","251","493","493","493","411","411","411","413","413","413","250","250","250","415","415","415","397","397","397","259","259","259"
"171","510","510","510","191","191","191","223","223","223","181","181","181","185","185","185","234","234","234","412","412","412","398","398","398","251","251","251","493","493","493","410","410","410","411","411","411","250","250","250","414","414","414","396","396","396","259","259","259"
"172","513","513","513","191","191","191","223","223","223","181","181","181","184","184","184","234","234","234","411","411","411","397","397","397","251","251","251","493","493","493","410","410","410","407","407","407","250","250","250","413","413","413","395","395","395","259","259","259"
"173","516","516","516","191","191","191","222","222","222","181","181","181","183","183","183","233","233","233","409","409","409","397","397","397","251","251","251","493","493","493","410","410","410","406","406","406","250","250","250","413","413","413","393","393","393","259","259","259"
"174","519","519","519","191","191","191","222","222","222","181","181","181","183","183","183","232","232","232","408","408","408","396","396","396","251","251","251","493","493","493","408","408","408","406","406","406","250","250","250","413","413","413","392","392","392","259","259","259"
"175","522","522","522","191","191","191","221","221","221","180","180","180","183","183","183","231","231","231","408","408","408","396","396","396","251","251","251","493","493","493","408","408","408","406","406","406","250","250","250","413","413","413","391","391","391","259","259","259"
"176","525","525","525","191","191","191","221","221","221","180","180","180","182","182","182","231","231","231","408","408","408","396","396","396","251","251","251","493","493","493","408","408","408","405","405","405","250","250","250","413","413","413","389","389","389","259","259","259"
"177","528","528","528","191","191","191","221","221","221","180","180","180","182","182","182","231","231","231","406","406","406","396","396","396","251","251","251","493","493","493","408","408","408","405","405","405","250","250","250","413","413","413","388","388","388","259","259","259"
"178","531","531","531","191","191","191","220","220","220","180","180","180","182","182","182","231","231","231","405","405","405","395","395","395","251","251","251","493","493","493","407","407","407","405","405","405","250","250","250","412","412","412","387","387","387","259","259","259"
"179","534","534","534","191","191","191","220","220","220","180","180","180","181","181","181","230","230","230","405","405","405","395","395","395","251","251","251","493","493","493","406","406","406","405","405","405","250","250","250","412","412","412","387","387","387","259","259","259"
"180","537","537","537","191","191","191","220","220","220","180","180","180","181","181","181","228","228","228","405","405","405","395","395","395","251","251","251","493","493","493","405","405","405","405","405","405","250","250","250","412","412","412","386","386","386","259","259","259"
"181","540","540","540","191","191","191","219","219","219","180","180","180","181","181","181","228","228","228","404","404","404","395","395","395","251","251","251","493","493","493","404","404","404","404","404","404","250","250","250","412","412","412","384","384","384","259","259","259"
"182","543","543","543","191","191","191","219","219","219","179","179","179","181","181","181","227","227","227","404","404","404","393","393","393","251","251","251","493","493","493","403","403","403","404","404","404","250","250","250","412","412","412","384","384","384","259","259","259"
"183","546","546","546","190","190","190","219","219","219","179","179","179","181","181","181","226","226","226","404","404","404","393","393","393","251","251","251","493","493","493","402","402","402","404","404","404","250","250","250","412","412","412","384","384","384","259","259","259"
"184","549","549","549","190","190","190","218","218","218","179","179","179","179","179","179","226","226","226","403","403","403","393","393","393","251","251","251","493","493","493","402","402","402","404","404","404","250","250","250","411","411","411","384","384","384","259","259","259"
"185","552","552","552","190","190","190","218","218","218","178","178","178","178","178","178","226","226","226","403","403","403","393","393","393","251","251","251","493","493","493","402","402","402","404","404","404","250","250","250","409","409","409","384","384","384","259","259","259"
"186","555","555","555","190","190","190","218","218","218","178","178","178","178","178","178","226","226","226","403","403","403","392","392","392","251","251","251","493","493","493","401","401","401","404","404","404","250","250","250","408","408","408","384","384","384","259","259","259"
"187","558","558","558","189","189","189","218","218","218","178","178","178","177","177","177","226","226","226","401","401","401","392","392","392","251","251","251","493","493","493","398","398","398","403","403","403","250","250","250","408","408","408","384","384","384","259","259","259"
"188","561","561","561","189","189","189","218","218","218","178","178","178","176","176","176","226","226","226","401","401","401","390","390","390","251","251","251","493","493","493","397","397","397","402","402","402","250","250","250","408","408","408","384","384","384","259","259","259"
"189","564","564","564","189","189","189","218","218","218","178","178","178","176","176","176","225","225","225","400","400","400","390","390","390","251","251","251","493","493","493","397","397","397","399","399","399","250","250","250","408","408","408","384","384","384","259","259","259"
"190","567","567","567","189","189","189","217","217","217","178","178","178","176","176","176","223","223","223","400","400","400","388","388","388","251","251","251","493","493","493","395","395","395","399","399","399","250","250","250","407","407","407","384","384","384","259","259","259"
"191","570","570","570","189","189","189","216","216","216","178","178","178","176","176","176","223","223","223","398","398","398","388","388","388","251","251","251","493","493","493","395","395","395","399","399","399","250","250","250","407","407","407","384","384","384","259","259","259"
"192","573","573","573","189","189","189","216","216","216","178","178","178","176","176","176","223","223","223","398","398","398","387","387","387","251","251","251","493","493","493","394","394","394","397","397","397","250","250","250","405","405","405","383","383","383","259","259","259"
"193","576","576","576","189","189","189","216","216","216","178","178","178","174","174","174","222","222","222","397","397","397","386","386","386","251","251","251","493","493","493","393","393","393","394","394","394","250","250","250","405","405","405","383","383","383","259","259","259"
"194","579","579","579","189","189","189","216","216","216","178","178","178","174","174","174","220","220","220","395","395","395","385","385","385","251","251","251","493","493","493","393","393","393","392","392","392","250","250","250","405","405","405","382","382","382","259","259","259"
"195","582","582","582","189","189","189","216","216","216","178","178","178","174","174","174","220","220","220","395","395","395","385","385","385","251","251","251","493","493","493","393","393","393","392","392","392","250","250","250","403","403","403","379","379","379","259","259","259"
"196","585","585","585","189","189","189","215","215","215","178","178","178","174","174","174","220","220","220","394","394","394","384","384","384","251","251","251","493","493","493","393","393","393","392","392","392","250","250","250","402","402","402","378","378","378","259","259","259"
"197","588","588","588","189","189","189","215","215","215","178","178","178","174","174","174","220","220","220","391","391","391","383","383","383","251","251","251","493","493","493","390","390","390","391","391","391","250","250","250","402","402","402","378","378","378","259","259","259"
"198","591","591","591","189","189","189","214","214","214","178","178","178","174","174","174","220","220","220","388","388","388","383","383","383","251","251","251","493","493","493","389","389","389","391","391","391","250","250","250","402","402","402","377","377","377","259","259","259"
"199","594","594","594","189","189","189","214","214","214","178","178","178","174","174","174","220","220","220","388","388","388","383","383","383","251","251","251","493","493","493","387","387","387","391","391","391","250","250","250","402","402","402","376","376","376","259","259","259"
"200","597","597","597","189","189","189","214","214","214","178","178","178","174","174","174","220","220","220","387","387","387","381","381","381","251","251","251","493","493","493","386","386","386","391","391","391","250","250","250","402","402","402","375","375","375","259","259","259"
