"epoch","MLconv[R=100]-ResNet101-CIFAR10-25 - _step","MLconv[R=100]-ResNet101-CIFAR10-25 - _step__MIN","MLconv[R=100]-ResNet101-CIFAR10-25 - _step__MAX","MLconv[R=100]-ResNet101-CIFAR10-25 - val_accuracy","MLconv[R=100]-ResNet101-CIFAR10-25 - val_accuracy__MIN","MLconv[R=100]-ResNet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=42]-ResNet101-CIFAR10-25 - _step","MTL[T=42]-ResNet101-CIFAR10-25 - _step__MIN","MTL[T=42]-ResNet101-CIFAR10-25 - _step__MAX","MTL[T=42]-ResNet101-CIFAR10-25 - val_accuracy","MTL[T=42]-ResNet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=42]-ResNet101-CIFAR10-25 - val_accuracy__MAX","LR[K=75]-ResNet101-CIFAR10-25 - _step","LR[K=75]-ResNet101-CIFAR10-25 - _step__MIN","LR[K=75]-ResNet101-CIFAR10-25 - _step__MAX","LR[K=75]-ResNet101-CIFAR10-25 - val_accuracy","LR[K=75]-ResNet101-CIFAR10-25 - val_accuracy__MIN","LR[K=75]-ResNet101-CIFAR10-25 - val_accuracy__MAX","LR[K=300]-ResNet101-CIFAR10-25 - _step","LR[K=300]-ResNet101-CIFAR10-25 - _step__MIN","LR[K=300]-ResNet101-CIFAR10-25 - _step__MAX","LR[K=300]-ResNet101-CIFAR10-25 - val_accuracy","LR[K=300]-ResNet101-CIFAR10-25 - val_accuracy__MIN","LR[K=300]-ResNet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=15]-ResNet101-CIFAR10-25 - _step","MTL[T=15]-ResNet101-CIFAR10-25 - _step__MIN","MTL[T=15]-ResNet101-CIFAR10-25 - _step__MAX","MTL[T=15]-ResNet101-CIFAR10-25 - val_accuracy","MTL[T=15]-ResNet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=15]-ResNet101-CIFAR10-25 - val_accuracy__MAX","MLconv[R=400]-ResNet101-CIFAR10-25 - _step","MLconv[R=400]-ResNet101-CIFAR10-25 - _step__MIN","MLconv[R=400]-ResNet101-CIFAR10-25 - _step__MAX","MLconv[R=400]-ResNet101-CIFAR10-25 - val_accuracy","MLconv[R=400]-ResNet101-CIFAR10-25 - val_accuracy__MIN","MLconv[R=400]-ResNet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=3]-ResNet101-CIFAR10-25 - _step","MTL[T=3]-ResNet101-CIFAR10-25 - _step__MIN","MTL[T=3]-ResNet101-CIFAR10-25 - _step__MAX","MTL[T=3]-ResNet101-CIFAR10-25 - val_accuracy","MTL[T=3]-ResNet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=3]-ResNet101-CIFAR10-25 - val_accuracy__MAX","ResNet101-CIFAR10-25 - _step","ResNet101-CIFAR10-25 - _step__MIN","ResNet101-CIFAR10-25 - _step__MAX","ResNet101-CIFAR10-25 - val_accuracy","ResNet101-CIFAR10-25 - val_accuracy__MIN","ResNet101-CIFAR10-25 - val_accuracy__MAX"
"22","44","44","44","51.67","51.67","51.67","44","44","44","65.83","65.83","65.83","44","44","44","23.15","23.15","23.15","44","44","44","48.13","48.13","48.13","44","44","44","68.51","68.51","68.51","44","44","44","46.6","46.6","46.6","44","44","44","64.29","64.29","64.29","44","44","44","55.14","55.14","55.14"
"23","46","46","46","53.97","53.97","53.97","46","46","46","65.55","65.55","65.55","46","46","46","41.92","41.92","41.92","46","46","46","42.78","42.78","42.78","46","46","46","67.69","67.69","67.69","46","46","46","48.32","48.32","48.32","46","46","46","63.08","63.08","63.08","46","46","46","55.81","55.81","55.81"
"24","48","48","48","56.21","56.21","56.21","48","48","48","65.21","65.21","65.21","48","48","48","42.76","42.76","42.76","48","48","48","50.99","50.99","50.99","48","48","48","67.87","67.87","67.87","48","48","48","49.53","49.53","49.53","48","48","48","67.36","67.36","67.36","48","48","48","58.99","58.99","58.99"
"25","50","50","50","54.95","54.95","54.95","50","50","50","69.01","69.01","69.01","50","50","50","42.55","42.55","42.55","50","50","50","49.18","49.18","49.18","50","50","50","68.33","68.33","68.33","50","50","50","50.15","50.15","50.15","50","50","50","66.79","66.79","66.79","50","50","50","61.99","61.99","61.99"
"26","52","52","52","56.87","56.87","56.87","52","52","52","66.99","66.99","66.99","52","52","52","28.8","28.8","28.8","52","52","52","56.97","56.97","56.97","52","52","52","69.78","69.78","69.78","52","52","52","49.24","49.24","49.24","52","52","52","66.42","66.42","66.42","52","52","52","61.47","61.47","61.47"
"27","54","54","54","57.03","57.03","57.03","54","54","54","66.59","66.59","66.59","54","54","54","42.98","42.98","42.98","54","54","54","54.39","54.39","54.39","54","54","54","68.78","68.78","68.78","54","54","54","55.64","55.64","55.64","54","54","54","67.18","67.18","67.18","54","54","54","61.83","61.83","61.83"
"28","56","56","56","57.77","57.77","57.77","56","56","56","69.6","69.6","69.6","56","56","56","40.62","40.62","40.62","56","56","56","54.97","54.97","54.97","56","56","56","70.94","70.94","70.94","56","56","56","53.01","53.01","53.01","56","56","56","68.51","68.51","68.51","56","56","56","64.76","64.76","64.76"
"29","58","58","58","59.03","59.03","59.03","58","58","58","68.41","68.41","68.41","58","58","58","45.49","45.49","45.49","58","58","58","47.78","47.78","47.78","58","58","58","71.72","71.72","71.72","58","58","58","53.37","53.37","53.37","58","58","58","68.74","68.74","68.74","58","58","58","62.52","62.52","62.52"
"30","60","60","60","57.64","57.64","57.64","60","60","60","71","71","71","60","60","60","41.72","41.72","41.72","60","60","60","59.33","59.33","59.33","60","60","60","72.79","72.79","72.79","60","60","60","32.15","32.15","32.15","60","60","60","67.87","67.87","67.87","60","60","60","64.43","64.43","64.43"
"31","62","62","62","57.12","57.12","57.12","62","62","62","68.76","68.76","68.76","62","62","62","48.3","48.3","48.3","62","62","62","57.49","57.49","57.49","62","62","62","72.81","72.81","72.81","62","62","62","53.31","53.31","53.31","62","62","62","66.69","66.69","66.69","62","62","62","65.45","65.45","65.45"
