"epoch","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MIN","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MAX","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MIN","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MAX","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MIN","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MAX"
"71","212","212","212","31006840","31006840","31006840","212","212","212","34887584","34887584","34887584","212","212","212","40006738","40006738","40006738"
"72","215","215","215","30989432","30989432","30989432","215","215","215","34883744","34883744","34883744","215","215","215","40004178","40004178","40004178"
"73","218","218","218","30979704","30979704","30979704","218","218","218","34871456","34871456","34871456","218","218","218","40004178","40004178","40004178"
"74","221","221","221","30970488","30970488","30970488","221","221","221","34860960","34860960","34860960","221","221","221","40001618","40001618","40001618"
"75","224","224","224","30957176","30957176","30957176","224","224","224","34849696","34849696","34849696","224","224","224","40001618","40001618","40001618"
"76","227","227","227","30935672","30935672","30935672","227","227","227","34835360","34835360","34835360","227","227","227","39994450","39994450","39994450"
"77","230","230","230","30911096","30911096","30911096","230","230","230","34831776","34831776","34831776","230","230","230","39990866","39990866","39990866"
"78","233","233","233","30900088","30900088","30900088","233","233","233","34816160","34816160","34816160","233","233","233","39985746","39985746","39985746"
"79","236","236","236","30882168","30882168","30882168","236","236","236","34806432","34806432","34806432","236","236","236","39978066","39978066","39978066"
"80","239","239","239","30872440","30872440","30872440","239","239","239","34785952","34785952","34785952","239","239","239","39975506","39975506","39975506"
"81","242","242","242","30853496","30853496","30853496","242","242","242","34772128","34772128","34772128","242","242","242","39969362","39969362","39969362"
"82","245","245","245","30837880","30837880","30837880","245","245","245","34761888","34761888","34761888","245","245","245","39966802","39966802","39966802"
"83","248","248","248","30824312","30824312","30824312","248","248","248","34741920","34741920","34741920","248","248","248","39964754","39964754","39964754"
"84","251","251","251","30807672","30807672","30807672","251","251","251","34735776","34735776","34735776","251","251","251","39959122","39959122","39959122"
"85","254","254","254","30789752","30789752","30789752","254","254","254","34721952","34721952","34721952","254","254","254","39958098","39958098","39958098"
"86","257","257","257","30775160","30775160","30775160","257","257","257","34707360","34707360","34707360","257","257","257","39958098","39958098","39958098"
"87","260","260","260","30756984","30756984","30756984","260","260","260","34695584","34695584","34695584","260","260","260","39957074","39957074","39957074"
"88","263","263","263","30743416","30743416","30743416","263","263","263","34679968","34679968","34679968","263","263","263","39957074","39957074","39957074"
"89","266","266","266","30735480","30735480","30735480","266","266","266","34669472","34669472","34669472","266","266","266","39953490","39953490","39953490"
"90","269","269","269","30721912","30721912","30721912","269","269","269","34657952","34657952","34657952","269","269","269","39953490","39953490","39953490"
"91","272","272","272","30708856","30708856","30708856","272","272","272","34651040","34651040","34651040","272","272","272","39946322","39946322","39946322"
"92","275","275","275","30691192","30691192","30691192","275","275","275","34638752","34638752","34638752","275","275","275","39941202","39941202","39941202"
"93","278","278","278","30679672","30679672","30679672","278","278","278","34623392","34623392","34623392","278","278","278","39939154","39939154","39939154"
"94","281","281","281","30668408","30668408","30668408","281","281","281","34614688","34614688","34614688","281","281","281","39939154","39939154","39939154"
"95","284","284","284","30647160","30647160","30647160","284","284","284","34608544","34608544","34608544","284","284","284","39939154","39939154","39939154"
"96","287","287","287","30631544","30631544","30631544","287","287","287","34602400","34602400","34602400","287","287","287","39931986","39931986","39931986"
"97","290","290","290","30620792","30620792","30620792","290","290","290","34588832","34588832","34588832","290","290","290","39929426","39929426","39929426"
"98","293","293","293","30606200","30606200","30606200","293","293","293","34586272","34586272","34586272","293","293","293","39924306","39924306","39924306"
