"Step","LR[K=180]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","LR[K=180]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","LR[K=180]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLconv[R=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLconv[R=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLconv[R=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=61]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=61]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=61]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","LR[K=220]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","LR[K=220]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","LR[K=220]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLconv[R=350]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLconv[R=350]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLconv[R=350]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=60]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=60]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=60]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","LR[K=265]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","LR[K=265]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","LR[K=265]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLconv[R=430]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLconv[R=430]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLconv[R=430]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","LR[K=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","LR[K=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","LR[K=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLconv[R=500]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLconv[R=500]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLconv[R=500]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","YOLO11x-DOTAv1-23 - metrics/mAP50(B)","YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX"
"106","0.43232","0.43232","0.43232","0.42547","0.42547","0.42547","0","0","0","0.42815","0.42815","0.42815","0.426","0.426","0.426","0.03914","0.03914","0.03914","0.45984","0.45984","0.45984","0.40527","0.40527","0.40527","0.4405","0.4405","0.4405","0.4406","0.4406","0.4406","0.46856","0.46856","0.46856","0.48027","0.48027","0.48027","0.46471","0.46471","0.46471"
"107","0.43475","0.43475","0.43475","0.42643","0.42643","0.42643","0.03753","0.03753","0.03753","0.44664","0.44664","0.44664","0.46747","0.46747","0.46747","0.03335","0.03335","0.03335","0.46555","0.46555","0.46555","0.46326","0.46326","0.46326","0.45234","0.45234","0.45234","0.46338","0.46338","0.46338","0.46962","0.46962","0.46962","0.48473","0.48473","0.48473","0.4725","0.4725","0.4725"
"108","0.43857","0.43857","0.43857","0.42351","0.42351","0.42351","0.03342","0.03342","0.03342","0.47449","0.47449","0.47449","0.46261","0.46261","0.46261","0","0","0","0.46181","0.46181","0.46181","0.45802","0.45802","0.45802","0.41706","0.41706","0.41706","0.46317","0.46317","0.46317","0.46117","0.46117","0.46117","0.48134","0.48134","0.48134","0.47046","0.47046","0.47046"
"109","0.46096","0.46096","0.46096","0.46048","0.46048","0.46048","0.00318","0.00318","0.00318","0.43409","0.43409","0.43409","0.46976","0.46976","0.46976","0.03335","0.03335","0.03335","0.46356","0.46356","0.46356","0.46197","0.46197","0.46197","0.4067","0.4067","0.4067","0.4748","0.4748","0.4748","0.48004","0.48004","0.48004","0.4958","0.4958","0.4958","0.49046","0.49046","0.49046"
"110","0.47301","0.47301","0.47301","0.44174","0.44174","0.44174","0","0","0","0.46161","0.46161","0.46161","0.41814","0.41814","0.41814","0.03373","0.03373","0.03373","0.44892","0.44892","0.44892","0.46484","0.46484","0.46484","0.42652","0.42652","0.42652","0.46629","0.46629","0.46629","0.48332","0.48332","0.48332","0.4867","0.4867","0.4867","0.47758","0.47758","0.47758"
"111","0.46396","0.46396","0.46396","0.46483","0.46483","0.46483","0.03786","0.03786","0.03786","0.46224","0.46224","0.46224","0.45107","0.45107","0.45107","0","0","0","0.46129","0.46129","0.46129","0.46581","0.46581","0.46581","0.43821","0.43821","0.43821","0.45403","0.45403","0.45403","0.46746","0.46746","0.46746","0.48501","0.48501","0.48501","0.4733","0.4733","0.4733"
"112","0.46163","0.46163","0.46163","0.40155","0.40155","0.40155","0.03373","0.03373","0.03373","0.47246","0.47246","0.47246","0.43262","0.43262","0.43262","0.06672","0.06672","0.06672","0.46349","0.46349","0.46349","0.43975","0.43975","0.43975","0.45538","0.45538","0.45538","0.4685","0.4685","0.4685","0.46232","0.46232","0.46232","0.48628","0.48628","0.48628","0.47599","0.47599","0.47599"
"113","0.42892","0.42892","0.42892","0.45793","0.45793","0.45793","0.03355","0.03355","0.03355","0.47462","0.47462","0.47462","0.44408","0.44408","0.44408","0.03338","0.03338","0.03338","0.47577","0.47577","0.47577","0.46537","0.46537","0.46537","0.43857","0.43857","0.43857","0.43647","0.43647","0.43647","0.46717","0.46717","0.46717","0.47386","0.47386","0.47386","0.46948","0.46948","0.46948"
"114","0.47548","0.47548","0.47548","0.40444","0.40444","0.40444","0.0339","0.0339","0.0339","0.43313","0.43313","0.43313","0.42019","0.42019","0.42019","0.03359","0.03359","0.03359","0.42646","0.42646","0.42646","0.46797","0.46797","0.46797","0.44081","0.44081","0.44081","0.4569","0.4569","0.4569","0.47492","0.47492","0.47492","0.47913","0.47913","0.47913","0.47589","0.47589","0.47589"
"115","0.40947","0.40947","0.40947","0.45035","0.45035","0.45035","0.06712","0.06712","0.06712","0.48501","0.48501","0.48501","0.45413","0.45413","0.45413","0.03338","0.03338","0.03338","0.45237","0.45237","0.45237","0.47517","0.47517","0.47517","0.45815","0.45815","0.45815","0.46425","0.46425","0.46425","0.46661","0.46661","0.46661","0.48688","0.48688","0.48688","0.48058","0.48058","0.48058"
"116","0.4685","0.4685","0.4685","0.41131","0.41131","0.41131","0.06688","0.06688","0.06688","0.44535","0.44535","0.44535","0.46009","0.46009","0.46009","0.03342","0.03342","0.03342","0.47445","0.47445","0.47445","0.46533","0.46533","0.46533","0.43792","0.43792","0.43792","0.47017","0.47017","0.47017","0.46619","0.46619","0.46619","0.46155","0.46155","0.46155","0.48001","0.48001","0.48001"
"117","0.45816","0.45816","0.45816","0.44095","0.44095","0.44095","0.10292","0.10292","0.10292","0.46417","0.46417","0.46417","0.40063","0.40063","0.40063","0.09279","0.09279","0.09279","0.43489","0.43489","0.43489","0.46432","0.46432","0.46432","0.44972","0.44972","0.44972","0.46213","0.46213","0.46213","0.48387","0.48387","0.48387","0.47235","0.47235","0.47235","0.47429","0.47429","0.47429"
"118","0.45221","0.45221","0.45221","0.40832","0.40832","0.40832","0.10143","0.10143","0.10143","0.45802","0.45802","0.45802","0.39418","0.39418","0.39418","0.0346","0.0346","0.0346","0.44493","0.44493","0.44493","0.42212","0.42212","0.42212","0.45556","0.45556","0.45556","0.4636","0.4636","0.4636","0.44857","0.44857","0.44857","0.4842","0.4842","0.4842","0.47334","0.47334","0.47334"
"119","0.41605","0.41605","0.41605","0.44544","0.44544","0.44544","0.10137","0.10137","0.10137","0.44156","0.44156","0.44156","0.45719","0.45719","0.45719","0.06842","0.06842","0.06842","0.45985","0.45985","0.45985","0.43094","0.43094","0.43094","0.45037","0.45037","0.45037","0.47455","0.47455","0.47455","0.47529","0.47529","0.47529","0.48881","0.48881","0.48881","0.48263","0.48263","0.48263"
"120","0.44891","0.44891","0.44891","0.44743","0.44743","0.44743","0.08554","0.08554","0.08554","0.45954","0.45954","0.45954","0.43336","0.43336","0.43336","0.10134","0.10134","0.10134","0.45397","0.45397","0.45397","0.43796","0.43796","0.43796","0.44877","0.44877","0.44877","0.44944","0.44944","0.44944","0.46944","0.46944","0.46944","0.48128","0.48128","0.48128","0.49294","0.49294","0.49294"
"121","0.45787","0.45787","0.45787","0.47125","0.47125","0.47125","0.13619","0.13619","0.13619","0.47206","0.47206","0.47206","0.44309","0.44309","0.44309","0.06865","0.06865","0.06865","0.45857","0.45857","0.45857","0.46258","0.46258","0.46258","0.43269","0.43269","0.43269","0.45472","0.45472","0.45472","0.46902","0.46902","0.46902","0.47907","0.47907","0.47907","0.4874","0.4874","0.4874"
"122","0.44703","0.44703","0.44703","0.44285","0.44285","0.44285","0.13648","0.13648","0.13648","0.45357","0.45357","0.45357","0.47122","0.47122","0.47122","0.06818","0.06818","0.06818","0.47367","0.47367","0.47367","0.46637","0.46637","0.46637","0.44184","0.44184","0.44184","0.47729","0.47729","0.47729","0.45854","0.45854","0.45854","0.48429","0.48429","0.48429","0.4876","0.4876","0.4876"
"123","0.42828","0.42828","0.42828","0.45679","0.45679","0.45679","0.13658","0.13658","0.13658","0.45276","0.45276","0.45276","0.45794","0.45794","0.45794","0.09327","0.09327","0.09327","0.46539","0.46539","0.46539","0.45615","0.45615","0.45615","0.46127","0.46127","0.46127","0.47872","0.47872","0.47872","0.46221","0.46221","0.46221","0.48407","0.48407","0.48407","0.48099","0.48099","0.48099"
"124","0.45969","0.45969","0.45969","0.45916","0.45916","0.45916","0.12628","0.12628","0.12628","0.47125","0.47125","0.47125","0.46807","0.46807","0.46807","0.09974","0.09974","0.09974","0.40989","0.40989","0.40989","0.45482","0.45482","0.45482","0.46545","0.46545","0.46545","0.47118","0.47118","0.47118","0.46858","0.46858","0.46858","0.48477","0.48477","0.48477","0.47268","0.47268","0.47268"
"125","0.47143","0.47143","0.47143","0.473","0.473","0.473","0.14214","0.14214","0.14214","0.46016","0.46016","0.46016","0.46291","0.46291","0.46291","0.07134","0.07134","0.07134","0.46933","0.46933","0.46933","0.43358","0.43358","0.43358","0.43785","0.43785","0.43785","0.44691","0.44691","0.44691","0.47188","0.47188","0.47188","0.47629","0.47629","0.47629","0.46307","0.46307","0.46307"
"126","0.46405","0.46405","0.46405","0.47638","0.47638","0.47638","0.13503","0.13503","0.13503","0.45352","0.45352","0.45352","0.45795","0.45795","0.45795","0.10406","0.10406","0.10406","0.42425","0.42425","0.42425","0.4545","0.4545","0.4545","0.46156","0.46156","0.46156","0.46271","0.46271","0.46271","0.47918","0.47918","0.47918","0.48895","0.48895","0.48895","0.47545","0.47545","0.47545"
"127","0.45974","0.45974","0.45974","0.47843","0.47843","0.47843","0.20505","0.20505","0.20505","0.48016","0.48016","0.48016","0.46597","0.46597","0.46597","0.09629","0.09629","0.09629","0.46687","0.46687","0.46687","0.46358","0.46358","0.46358","0.45804","0.45804","0.45804","0.45526","0.45526","0.45526","0.48135","0.48135","0.48135","0.48216","0.48216","0.48216","0.47207","0.47207","0.47207"
"128","0.47046","0.47046","0.47046","0.46744","0.46744","0.46744","0.20487","0.20487","0.20487","0.47398","0.47398","0.47398","0.42364","0.42364","0.42364","0.13146","0.13146","0.13146","0.46469","0.46469","0.46469","0.46985","0.46985","0.46985","0.44717","0.44717","0.44717","0.47598","0.47598","0.47598","0.4734","0.4734","0.4734","0.48723","0.48723","0.48723","0.47391","0.47391","0.47391"
"129","0.45223","0.45223","0.45223","0.44805","0.44805","0.44805","0.12532","0.12532","0.12532","0.4615","0.4615","0.4615","0.46018","0.46018","0.46018","0.10517","0.10517","0.10517","0.46781","0.46781","0.46781","0.44782","0.44782","0.44782","0.45547","0.45547","0.45547","0.45923","0.45923","0.45923","0.474","0.474","0.474","0.47096","0.47096","0.47096","0.47955","0.47955","0.47955"
"130","0.45581","0.45581","0.45581","0.48282","0.48282","0.48282","0.15713","0.15713","0.15713","0.47182","0.47182","0.47182","0.43826","0.43826","0.43826","0.11621","0.11621","0.11621","0.4656","0.4656","0.4656","0.45687","0.45687","0.45687","0.45238","0.45238","0.45238","0.47645","0.47645","0.47645","0.49208","0.49208","0.49208","0.48316","0.48316","0.48316","0.47705","0.47705","0.47705"
"131","0.45536","0.45536","0.45536","0.47443","0.47443","0.47443","0.23104","0.23104","0.23104","0.45104","0.45104","0.45104","0.46416","0.46416","0.46416","0.13934","0.13934","0.13934","0.48468","0.48468","0.48468","0.43937","0.43937","0.43937","0.44533","0.44533","0.44533","0.47669","0.47669","0.47669","0.47644","0.47644","0.47644","0.46869","0.46869","0.46869","0.48208","0.48208","0.48208"
"132","0.44571","0.44571","0.44571","0.44777","0.44777","0.44777","0.1367","0.1367","0.1367","0.4612","0.4612","0.4612","0.4478","0.4478","0.4478","0.1036","0.1036","0.1036","0.45381","0.45381","0.45381","0.43985","0.43985","0.43985","0.46126","0.46126","0.46126","0.46215","0.46215","0.46215","0.47957","0.47957","0.47957","0.47414","0.47414","0.47414","0.47873","0.47873","0.47873"
"133","0.45784","0.45784","0.45784","0.47095","0.47095","0.47095","0.17107","0.17107","0.17107","0.4595","0.4595","0.4595","0.44499","0.44499","0.44499","0.08973","0.08973","0.08973","0.47838","0.47838","0.47838","0.42421","0.42421","0.42421","0.47209","0.47209","0.47209","0.43881","0.43881","0.43881","0.47342","0.47342","0.47342","0.47713","0.47713","0.47713","0.47749","0.47749","0.47749"
"134","0.45778","0.45778","0.45778","0.45193","0.45193","0.45193","0.19228","0.19228","0.19228","0.45898","0.45898","0.45898","0.46712","0.46712","0.46712","0.12762","0.12762","0.12762","0.46718","0.46718","0.46718","0.443","0.443","0.443","0.44186","0.44186","0.44186","0.44189","0.44189","0.44189","0.4686","0.4686","0.4686","0.484","0.484","0.484","0.47549","0.47549","0.47549"
"135","0.45787","0.45787","0.45787","0.47298","0.47298","0.47298","0.15696","0.15696","0.15696","0.45762","0.45762","0.45762","0.47618","0.47618","0.47618","0.10443","0.10443","0.10443","0.45299","0.45299","0.45299","0.46965","0.46965","0.46965","0.45456","0.45456","0.45456","0.48246","0.48246","0.48246","0.46627","0.46627","0.46627","0.48089","0.48089","0.48089","0.48132","0.48132","0.48132"
"136","0.46872","0.46872","0.46872","0.46003","0.46003","0.46003","0.14085","0.14085","0.14085","0.45945","0.45945","0.45945","0.46537","0.46537","0.46537","0.12214","0.12214","0.12214","0.46543","0.46543","0.46543","0.48629","0.48629","0.48629","0.45251","0.45251","0.45251","0.47368","0.47368","0.47368","0.46789","0.46789","0.46789","0.4741","0.4741","0.4741","0.48809","0.48809","0.48809"
"137","0.4636","0.4636","0.4636","0.45848","0.45848","0.45848","0.15186","0.15186","0.15186","0.46187","0.46187","0.46187","0.44299","0.44299","0.44299","0.1065","0.1065","0.1065","0.46679","0.46679","0.46679","0.48382","0.48382","0.48382","0.45829","0.45829","0.45829","0.47876","0.47876","0.47876","0.488","0.488","0.488","0.47399","0.47399","0.47399","0.48123","0.48123","0.48123"
"138","0.42489","0.42489","0.42489","0.46888","0.46888","0.46888","0.19493","0.19493","0.19493","0.46555","0.46555","0.46555","0.44433","0.44433","0.44433","0.13313","0.13313","0.13313","0.47169","0.47169","0.47169","0.47024","0.47024","0.47024","0.45673","0.45673","0.45673","0.46842","0.46842","0.46842","0.47713","0.47713","0.47713","0.48535","0.48535","0.48535","0.48095","0.48095","0.48095"
"139","0.46264","0.46264","0.46264","0.48133","0.48133","0.48133","0.24164","0.24164","0.24164","0.46857","0.46857","0.46857","0.47035","0.47035","0.47035","0.15679","0.15679","0.15679","0.46432","0.46432","0.46432","0.48094","0.48094","0.48094","0.46269","0.46269","0.46269","0.46772","0.46772","0.46772","0.47159","0.47159","0.47159","0.49141","0.49141","0.49141","0.50347","0.50347","0.50347"
"140","0.48477","0.48477","0.48477","0.47675","0.47675","0.47675","0.22662","0.22662","0.22662","0.46453","0.46453","0.46453","0.47531","0.47531","0.47531","0.173","0.173","0.173","0.46815","0.46815","0.46815","0.47502","0.47502","0.47502","0.4406","0.4406","0.4406","0.4672","0.4672","0.4672","0.4733","0.4733","0.4733","0.47776","0.47776","0.47776","0.47685","0.47685","0.47685"
"141","0.47056","0.47056","0.47056","0.46836","0.46836","0.46836","0.21258","0.21258","0.21258","0.47266","0.47266","0.47266","0.47001","0.47001","0.47001","0.11295","0.11295","0.11295","0.47239","0.47239","0.47239","0.46933","0.46933","0.46933","0.46031","0.46031","0.46031","0.47341","0.47341","0.47341","0.45581","0.45581","0.45581","0.47169","0.47169","0.47169","0.48912","0.48912","0.48912"
"142","0.4558","0.4558","0.4558","0.48106","0.48106","0.48106","0.14134","0.14134","0.14134","0.46471","0.46471","0.46471","0.47576","0.47576","0.47576","0.10901","0.10901","0.10901","0.46205","0.46205","0.46205","0.45948","0.45948","0.45948","0.46622","0.46622","0.46622","0.46702","0.46702","0.46702","0.4792","0.4792","0.4792","0.47878","0.47878","0.47878","0.48668","0.48668","0.48668"
"143","0.45921","0.45921","0.45921","0.48277","0.48277","0.48277","0.23041","0.23041","0.23041","0.47548","0.47548","0.47548","0.47922","0.47922","0.47922","0.15143","0.15143","0.15143","0.46112","0.46112","0.46112","0.47639","0.47639","0.47639","0.45973","0.45973","0.45973","0.46695","0.46695","0.46695","0.48227","0.48227","0.48227","0.48663","0.48663","0.48663","0.47711","0.47711","0.47711"
"144","0.47763","0.47763","0.47763","0.47434","0.47434","0.47434","0.20726","0.20726","0.20726","0.47289","0.47289","0.47289","0.42055","0.42055","0.42055","0.21045","0.21045","0.21045","0.45512","0.45512","0.45512","0.4809","0.4809","0.4809","0.43076","0.43076","0.43076","0.47911","0.47911","0.47911","0.47269","0.47269","0.47269","0.4776","0.4776","0.4776","0.47202","0.47202","0.47202"
"145","0.46975","0.46975","0.46975","0.48397","0.48397","0.48397","0.20375","0.20375","0.20375","0.46236","0.46236","0.46236","0.4476","0.4476","0.4476","0.20827","0.20827","0.20827","0.46494","0.46494","0.46494","0.47658","0.47658","0.47658","0.46331","0.46331","0.46331","0.47835","0.47835","0.47835","0.48426","0.48426","0.48426","0.48171","0.48171","0.48171","0.48102","0.48102","0.48102"
"146","0.46494","0.46494","0.46494","0.4737","0.4737","0.4737","0.22691","0.22691","0.22691","0.43876","0.43876","0.43876","0.4548","0.4548","0.4548","0.17499","0.17499","0.17499","0.46226","0.46226","0.46226","0.43018","0.43018","0.43018","0.4497","0.4497","0.4497","0.46453","0.46453","0.46453","0.48669","0.48669","0.48669","0.47321","0.47321","0.47321","0.4812","0.4812","0.4812"
"147","0.46712","0.46712","0.46712","0.47892","0.47892","0.47892","0.26385","0.26385","0.26385","0.46509","0.46509","0.46509","0.4388","0.4388","0.4388","0.27397","0.27397","0.27397","0.47047","0.47047","0.47047","0.45174","0.45174","0.45174","0.45873","0.45873","0.45873","0.47795","0.47795","0.47795","0.4833","0.4833","0.4833","0.47802","0.47802","0.47802","0.48636","0.48636","0.48636"
"148","0.47495","0.47495","0.47495","0.48279","0.48279","0.48279","0.24898","0.24898","0.24898","0.46628","0.46628","0.46628","0.46476","0.46476","0.46476","0.23343","0.23343","0.23343","0.46096","0.46096","0.46096","0.4799","0.4799","0.4799","0.46502","0.46502","0.46502","0.47632","0.47632","0.47632","0.47703","0.47703","0.47703","0.48289","0.48289","0.48289","0.46327","0.46327","0.46327"
"149","0.4709","0.4709","0.4709","0.485","0.485","0.485","0.22019","0.22019","0.22019","0.46072","0.46072","0.46072","0.47535","0.47535","0.47535","0.23254","0.23254","0.23254","0.46446","0.46446","0.46446","0.46778","0.46778","0.46778","0.47373","0.47373","0.47373","0.45878","0.45878","0.45878","0.47409","0.47409","0.47409","0.47589","0.47589","0.47589","0.47738","0.47738","0.47738"
"150","0.46812","0.46812","0.46812","0.48639","0.48639","0.48639","0.19299","0.19299","0.19299","0.46054","0.46054","0.46054","0.46643","0.46643","0.46643","0.17637","0.17637","0.17637","0.48214","0.48214","0.48214","0.48634","0.48634","0.48634","0.46395","0.46395","0.46395","0.48212","0.48212","0.48212","0.47878","0.47878","0.47878","0.47497","0.47497","0.47497","0.47482","0.47482","0.47482"
"151","0.46388","0.46388","0.46388","0.47935","0.47935","0.47935","0.26986","0.26986","0.26986","0.46318","0.46318","0.46318","0.47971","0.47971","0.47971","0.26439","0.26439","0.26439","0.48087","0.48087","0.48087","0.44966","0.44966","0.44966","0.45582","0.45582","0.45582","0.48681","0.48681","0.48681","0.48441","0.48441","0.48441","0.49178","0.49178","0.49178","0.47307","0.47307","0.47307"
"152","0.47412","0.47412","0.47412","0.48629","0.48629","0.48629","0.23116","0.23116","0.23116","0.45906","0.45906","0.45906","0.47696","0.47696","0.47696","0.19933","0.19933","0.19933","0.48386","0.48386","0.48386","0.44173","0.44173","0.44173","0.46968","0.46968","0.46968","0.48917","0.48917","0.48917","0.49186","0.49186","0.49186","0.46788","0.46788","0.46788","0.47063","0.47063","0.47063"
"153","0.47192","0.47192","0.47192","0.47347","0.47347","0.47347","0.26194","0.26194","0.26194","0.46583","0.46583","0.46583","0.46379","0.46379","0.46379","0.27791","0.27791","0.27791","0.47648","0.47648","0.47648","0.43254","0.43254","0.43254","0.46293","0.46293","0.46293","0.48176","0.48176","0.48176","0.47842","0.47842","0.47842","0.47952","0.47952","0.47952","0.48131","0.48131","0.48131"
"154","0.47248","0.47248","0.47248","0.46419","0.46419","0.46419","0.24101","0.24101","0.24101","0.45861","0.45861","0.45861","0.4794","0.4794","0.4794","0.27385","0.27385","0.27385","0.46294","0.46294","0.46294","0.46988","0.46988","0.46988","0.45599","0.45599","0.45599","0.45087","0.45087","0.45087","0.48538","0.48538","0.48538","0.47373","0.47373","0.47373","0.48193","0.48193","0.48193"
"155","0.47071","0.47071","0.47071","0.47323","0.47323","0.47323","0.26878","0.26878","0.26878","0.45088","0.45088","0.45088","0.45487","0.45487","0.45487","0.26416","0.26416","0.26416","0.46885","0.46885","0.46885","0.47082","0.47082","0.47082","0.46237","0.46237","0.46237","0.47764","0.47764","0.47764","0.48259","0.48259","0.48259","0.46234","0.46234","0.46234","0.47002","0.47002","0.47002"
"156","0.47499","0.47499","0.47499","0.46916","0.46916","0.46916","0.26781","0.26781","0.26781","0.46128","0.46128","0.46128","0.45981","0.45981","0.45981","0.27356","0.27356","0.27356","0.47096","0.47096","0.47096","0.47436","0.47436","0.47436","0.4595","0.4595","0.4595","0.46688","0.46688","0.46688","0.4735","0.4735","0.4735","0.48001","0.48001","0.48001","0.47651","0.47651","0.47651"
"157","0.46489","0.46489","0.46489","0.45977","0.45977","0.45977","0.31213","0.31213","0.31213","0.46199","0.46199","0.46199","0.47088","0.47088","0.47088","0.32359","0.32359","0.32359","0.47349","0.47349","0.47349","0.46129","0.46129","0.46129","0.47183","0.47183","0.47183","0.47617","0.47617","0.47617","0.49196","0.49196","0.49196","0.48037","0.48037","0.48037","0.48057","0.48057","0.48057"
"158","0.47008","0.47008","0.47008","0.47323","0.47323","0.47323","0.29632","0.29632","0.29632","0.46206","0.46206","0.46206","0.46318","0.46318","0.46318","0.268","0.268","0.268","0.47132","0.47132","0.47132","0.48107","0.48107","0.48107","0.46653","0.46653","0.46653","0.46211","0.46211","0.46211","0.4853","0.4853","0.4853","0.48458","0.48458","0.48458","0.47407","0.47407","0.47407"
"159","0.46608","0.46608","0.46608","0.46196","0.46196","0.46196","0.29637","0.29637","0.29637","0.45606","0.45606","0.45606","0.44963","0.44963","0.44963","0.2169","0.2169","0.2169","0.45613","0.45613","0.45613","0.4517","0.4517","0.4517","0.46713","0.46713","0.46713","0.47435","0.47435","0.47435","0.48811","0.48811","0.48811","0.47821","0.47821","0.47821","0.47254","0.47254","0.47254"
"160","0.46427","0.46427","0.46427","0.47039","0.47039","0.47039","0.22427","0.22427","0.22427","0.4525","0.4525","0.4525","0.48276","0.48276","0.48276","0.31362","0.31362","0.31362","0.47157","0.47157","0.47157","0.46972","0.46972","0.46972","0.45351","0.45351","0.45351","0.487","0.487","0.487","0.4928","0.4928","0.4928","0.48347","0.48347","0.48347","0.47728","0.47728","0.47728"
"161","0.47239","0.47239","0.47239","0.46365","0.46365","0.46365","0.29027","0.29027","0.29027","0.47839","0.47839","0.47839","0.46057","0.46057","0.46057","0.27526","0.27526","0.27526","0.46801","0.46801","0.46801","0.47115","0.47115","0.47115","0.47114","0.47114","0.47114","0.48364","0.48364","0.48364","0.47418","0.47418","0.47418","0.47883","0.47883","0.47883","0.47686","0.47686","0.47686"
"162","0.47356","0.47356","0.47356","0.48897","0.48897","0.48897","0.32151","0.32151","0.32151","0.46848","0.46848","0.46848","0.45251","0.45251","0.45251","0.23109","0.23109","0.23109","0.4655","0.4655","0.4655","0.45558","0.45558","0.45558","0.4588","0.4588","0.4588","0.46379","0.46379","0.46379","0.47923","0.47923","0.47923","0.47626","0.47626","0.47626","0.47865","0.47865","0.47865"
"163","0.46717","0.46717","0.46717","0.47331","0.47331","0.47331","0.32338","0.32338","0.32338","0.4683","0.4683","0.4683","0.46602","0.46602","0.46602","0.24888","0.24888","0.24888","0.46592","0.46592","0.46592","0.47999","0.47999","0.47999","0.45855","0.45855","0.45855","0.47062","0.47062","0.47062","0.47066","0.47066","0.47066","0.47969","0.47969","0.47969","0.47909","0.47909","0.47909"
"164","0.47761","0.47761","0.47761","0.48196","0.48196","0.48196","0.33211","0.33211","0.33211","0.46466","0.46466","0.46466","0.46763","0.46763","0.46763","0.26487","0.26487","0.26487","0.47319","0.47319","0.47319","0.46895","0.46895","0.46895","0.46673","0.46673","0.46673","0.45925","0.45925","0.45925","0.48948","0.48948","0.48948","0.48768","0.48768","0.48768","0.47355","0.47355","0.47355"
"165","0.47606","0.47606","0.47606","0.47473","0.47473","0.47473","0.31921","0.31921","0.31921","0.47145","0.47145","0.47145","0.46887","0.46887","0.46887","0.31667","0.31667","0.31667","0.46984","0.46984","0.46984","0.4815","0.4815","0.4815","0.46794","0.46794","0.46794","0.47882","0.47882","0.47882","0.46554","0.46554","0.46554","0.48623","0.48623","0.48623","0.47524","0.47524","0.47524"
"166","0.46286","0.46286","0.46286","0.48005","0.48005","0.48005","0.26561","0.26561","0.26561","0.4579","0.4579","0.4579","0.46313","0.46313","0.46313","0.32382","0.32382","0.32382","0.47184","0.47184","0.47184","0.48022","0.48022","0.48022","0.46831","0.46831","0.46831","0.46938","0.46938","0.46938","0.46934","0.46934","0.46934","0.48423","0.48423","0.48423","0.49029","0.49029","0.49029"
"167","0.4832","0.4832","0.4832","0.46535","0.46535","0.46535","0.29649","0.29649","0.29649","0.47029","0.47029","0.47029","0.46068","0.46068","0.46068","0.32971","0.32971","0.32971","0.47199","0.47199","0.47199","0.49035","0.49035","0.49035","0.46924","0.46924","0.46924","0.46025","0.46025","0.46025","0.48365","0.48365","0.48365","0.4799","0.4799","0.4799","0.47653","0.47653","0.47653"
