"Step","LR[K=180]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","LR[K=180]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","LR[K=180]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLconv[R=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLconv[R=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLconv[R=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=61]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=61]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=61]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","LR[K=220]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","LR[K=220]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","LR[K=220]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLconv[R=350]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLconv[R=350]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLconv[R=350]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=60]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=60]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=60]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","LR[K=265]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","LR[K=265]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","LR[K=265]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLconv[R=430]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLconv[R=430]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLconv[R=430]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","LR[K=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","LR[K=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","LR[K=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLconv[R=500]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLconv[R=500]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLconv[R=500]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","YOLO11x-DOTAv1-23 - metrics/mAP50(B)","YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX"
"21","0.21371","0.21371","0.21371","0.15215","0.15215","0.15215","0.00012","0.00012","0.00012","0.24014","0.24014","0.24014","0.20553","0.20553","0.20553","0","0","0","0.25098","0.25098","0.25098","0.25655","0.25655","0.25655","0.25069","0.25069","0.25069","0.22469","0.22469","0.22469","0.2926","0.2926","0.2926","0.24703","0.24703","0.24703","0.24158","0.24158","0.24158"
"22","0.1733","0.1733","0.1733","0.23374","0.23374","0.23374","0","0","0","0.17361","0.17361","0.17361","0.23628","0.23628","0.23628","0","0","0","0.21259","0.21259","0.21259","0.25239","0.25239","0.25239","0.23398","0.23398","0.23398","0.18868","0.18868","0.18868","0.29466","0.29466","0.29466","0.28329","0.28329","0.28329","0.30834","0.30834","0.30834"
"23","0.19178","0.19178","0.19178","0.23531","0.23531","0.23531","0.00093","0.00093","0.00093","0.17983","0.17983","0.17983","0.18027","0.18027","0.18027","0","0","0","0.20687","0.20687","0.20687","0.20859","0.20859","0.20859","0.3002","0.3002","0.3002","0.26647","0.26647","0.26647","0.29155","0.29155","0.29155","0.26904","0.26904","0.26904","0.29711","0.29711","0.29711"
"24","0.21596","0.21596","0.21596","0.1797","0.1797","0.1797","0.00256","0.00256","0.00256","0.21673","0.21673","0.21673","0.16191","0.16191","0.16191","0","0","0","0.22393","0.22393","0.22393","0.25746","0.25746","0.25746","0.27111","0.27111","0.27111","0.18518","0.18518","0.18518","0.37793","0.37793","0.37793","0.34444","0.34444","0.34444","0.3385","0.3385","0.3385"
"25","0.29371","0.29371","0.29371","0.2083","0.2083","0.2083","0.00239","0.00239","0.00239","0.27865","0.27865","0.27865","0.26949","0.26949","0.26949","0","0","0","0.27842","0.27842","0.27842","0.22068","0.22068","0.22068","0.2362","0.2362","0.2362","0.1982","0.1982","0.1982","0.31523","0.31523","0.31523","0.27586","0.27586","0.27586","0.35491","0.35491","0.35491"
"26","0.22711","0.22711","0.22711","0.27924","0.27924","0.27924","0.00162","0.00162","0.00162","0.2513","0.2513","0.2513","0.33828","0.33828","0.33828","0","0","0","0.23971","0.23971","0.23971","0.22776","0.22776","0.22776","0.24303","0.24303","0.24303","0.23768","0.23768","0.23768","0.34471","0.34471","0.34471","0.28572","0.28572","0.28572","0.35662","0.35662","0.35662"
"27","0.25408","0.25408","0.25408","0.22456","0.22456","0.22456","0.00034","0.00034","0.00034","0.30541","0.30541","0.30541","0.20837","0.20837","0.20837","0","0","0","0.25282","0.25282","0.25282","0.21097","0.21097","0.21097","0.29492","0.29492","0.29492","0.21837","0.21837","0.21837","0.32983","0.32983","0.32983","0.31268","0.31268","0.31268","0.28704","0.28704","0.28704"
"28","0.27296","0.27296","0.27296","0.2645","0.2645","0.2645","0.00329","0.00329","0.00329","0.25785","0.25785","0.25785","0.35973","0.35973","0.35973","0.00038","0.00038","0.00038","0.25105","0.25105","0.25105","0.31728","0.31728","0.31728","0.23243","0.23243","0.23243","0.29281","0.29281","0.29281","0.35628","0.35628","0.35628","0.34766","0.34766","0.34766","0.34977","0.34977","0.34977"
"29","0.24872","0.24872","0.24872","0.32923","0.32923","0.32923","0.00356","0.00356","0.00356","0.30931","0.30931","0.30931","0.36418","0.36418","0.36418","0","0","0","0.31195","0.31195","0.31195","0.27638","0.27638","0.27638","0.24141","0.24141","0.24141","0.33879","0.33879","0.33879","0.35725","0.35725","0.35725","0.37937","0.37937","0.37937","0.3714","0.3714","0.3714"
"30","0.28747","0.28747","0.28747","0.31797","0.31797","0.31797","0.00295","0.00295","0.00295","0.29344","0.29344","0.29344","0.28868","0.28868","0.28868","0.00112","0.00112","0.00112","0.25","0.25","0.25","0.29705","0.29705","0.29705","0.22433","0.22433","0.22433","0.3316","0.3316","0.3316","0.3565","0.3565","0.3565","0.36692","0.36692","0.36692","0.3776","0.3776","0.3776"
