"epoch","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MIN","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MAX","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MIN","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MAX"
"86","257","257","257","30741624","30741624","30741624","257","257","257","34608032","34608032","34608032","257","257","257","39939666","39939666","39939666"
"87","260","260","260","30732920","30732920","30732920","260","260","260","34601888","34601888","34601888","260","260","260","39939666","39939666","39939666"
"88","263","263","263","30722424","30722424","30722424","263","263","263","34596256","34596256","34596256","263","263","263","39939666","39939666","39939666"
"89","266","266","266","30712440","30712440","30712440","266","266","266","34590880","34590880","34590880","266","266","266","39939666","39939666","39939666"
"90","269","269","269","30705272","30705272","30705272","269","269","269","34581920","34581920","34581920","269","269","269","39933522","39933522","39933522"
"91","272","272","272","30692984","30692984","30692984","272","272","272","34570400","34570400","34570400","272","272","272","39930962","39930962","39930962"
"92","275","275","275","30675576","30675576","30675576","275","275","275","34558624","34558624","34558624","275","275","275","39930962","39930962","39930962"
"93","278","278","278","30661240","30661240","30661240","278","278","278","34544032","34544032","34544032","278","278","278","39929938","39929938","39929938"
"94","281","281","281","30652536","30652536","30652536","281","281","281","34530208","34530208","34530208","281","281","281","39925842","39925842","39925842"
"95","284","284","284","30642040","30642040","30642040","284","284","284","34526112","34526112","34526112","284","284","284","39924818","39924818","39924818"
"96","287","287","287","30634872","30634872","30634872","287","287","287","34517664","34517664","34517664","287","287","287","39924818","39924818","39924818"
"97","290","290","290","30622584","30622584","30622584","290","290","290","34512800","34512800","34512800","290","290","290","39923794","39923794","39923794"
"98","293","293","293","30616440","30616440","30616440","293","293","293","34505888","34505888","34505888","293","293","293","39920210","39920210","39920210"
"99","296","296","296","30610296","30610296","30610296","296","296","296","34502816","34502816","34502816","296","296","296","39920210","39920210","39920210"
"100","299","299","299","30596984","30596984","30596984","299","299","299","34493344","34493344","34493344","299","299","299","39919186","39919186","39919186"
"101","302","302","302","30588536","30588536","30588536","302","302","302","34479776","34479776","34479776","302","302","302","39917138","39917138","39917138"
"102","305","305","305","30572152","30572152","30572152","305","305","305","34475168","34475168","34475168","305","305","305","39916114","39916114","39916114"
"103","308","308","308","30567032","30567032","30567032","308","308","308","34466720","34466720","34466720","308","308","308","39916114","39916114","39916114"
"104","311","311","311","30551672","30551672","30551672","311","311","311","34465696","34465696","34465696","311","311","311","39916114","39916114","39916114"
"105","314","314","314","30538104","30538104","30538104","314","314","314","34463648","34463648","34463648","314","314","314","39911506","39911506","39911506"
"106","317","317","317","30521208","30521208","30521208","317","317","317","34460320","34460320","34460320","317","317","317","39906386","39906386","39906386"
"107","320","320","320","30509944","30509944","30509944","320","320","320","34453152","34453152","34453152","320","320","320","39906386","39906386","39906386"
"108","323","323","323","30496888","30496888","30496888","323","323","323","34449568","34449568","34449568","323","323","323","39906386","39906386","39906386"
"109","326","326","326","30489208","30489208","30489208","326","326","326","34446752","34446752","34446752","326","326","326","39905362","39905362","39905362"
"110","329","329","329","30476664","30476664","30476664","329","329","329","34441632","34441632","34441632","329","329","329","39902802","39902802","39902802"
"111","332","332","332","30464120","30464120","30464120","332","332","332","34435488","34435488","34435488","332","332","332","39902802","39902802","39902802"
"112","335","335","335","30452088","30452088","30452088","335","335","335","34432672","34432672","34432672","335","335","335","39901778","39901778","39901778"
"113","338","338","338","30438776","30438776","30438776","338","338","338","34426272","34426272","34426272","338","338","338","39899730","39899730","39899730"
"114","341","341","341","30423928","30423928","30423928","341","341","341","34421152","34421152","34421152","341","341","341","39898706","39898706","39898706"
"115","344","344","344","30416248","30416248","30416248","344","344","344","34409632","34409632","34409632","344","344","344","39896146","39896146","39896146"
"116","347","347","347","30407544","30407544","30407544","347","347","347","34401184","34401184","34401184","347","347","347","39896146","39896146","39896146"
"117","350","350","350","30391160","30391160","30391160","350","350","350","34388384","34388384","34388384","350","350","350","39895122","39895122","39895122"
"118","353","353","353","30383480","30383480","30383480","353","353","353","34387104","34387104","34387104","353","353","353","39892562","39892562","39892562"
"119","356","356","356","30364024","30364024","30364024","356","356","356","34381728","34381728","34381728","356","356","356","39892562","39892562","39892562"
"120","359","359","359","30349688","30349688","30349688","359","359","359","34378144","34378144","34378144","359","359","359","39890002","39890002","39890002"
