"epoch","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MIN","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MAX","MTL[T=43]-Resnet101-CIFAR10 - _step","MTL[T=43]-Resnet101-CIFAR10 - _step__MIN","MTL[T=43]-Resnet101-CIFAR10 - _step__MAX","MTL[T=43]-Resnet101-CIFAR10 - model_params","MTL[T=43]-Resnet101-CIFAR10 - model_params__MIN","MTL[T=43]-Resnet101-CIFAR10 - model_params__MAX","MTL[T=42]-Resnet101-CIFAR10 - _step","MTL[T=42]-Resnet101-CIFAR10 - _step__MIN","MTL[T=42]-Resnet101-CIFAR10 - _step__MAX","MTL[T=42]-Resnet101-CIFAR10 - model_params","MTL[T=42]-Resnet101-CIFAR10 - model_params__MIN","MTL[T=42]-Resnet101-CIFAR10 - model_params__MAX","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MIN","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MAX","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MIN","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MAX","MTL[T=4]-Resnet101-CIFAR10 - _step","MTL[T=4]-Resnet101-CIFAR10 - _step__MIN","MTL[T=4]-Resnet101-CIFAR10 - _step__MAX","MTL[T=4]-Resnet101-CIFAR10 - model_params","MTL[T=4]-Resnet101-CIFAR10 - model_params__MIN","MTL[T=4]-Resnet101-CIFAR10 - model_params__MAX","MTL[T=3]-Resnet101-CIFAR10 - _step","MTL[T=3]-Resnet101-CIFAR10 - _step__MIN","MTL[T=3]-Resnet101-CIFAR10 - _step__MAX","MTL[T=3]-Resnet101-CIFAR10 - model_params","MTL[T=3]-Resnet101-CIFAR10 - model_params__MIN","MTL[T=3]-Resnet101-CIFAR10 - model_params__MAX","Resnet101-CIFAR10 - _step","Resnet101-CIFAR10 - _step__MIN","Resnet101-CIFAR10 - _step__MAX","Resnet101-CIFAR10 - model_params","Resnet101-CIFAR10 - model_params__MIN","Resnet101-CIFAR10 - model_params__MAX","MTL[T=16]-Resnet101-CIFAR10 - _step","MTL[T=16]-Resnet101-CIFAR10 - _step__MIN","MTL[T=16]-Resnet101-CIFAR10 - _step__MAX","MTL[T=16]-Resnet101-CIFAR10 - model_params","MTL[T=16]-Resnet101-CIFAR10 - model_params__MIN","MTL[T=16]-Resnet101-CIFAR10 - model_params__MAX","MTL[T=15]-Resnet101-CIFAR10 - _step","MTL[T=15]-Resnet101-CIFAR10 - _step__MIN","MTL[T=15]-Resnet101-CIFAR10 - _step__MAX","MTL[T=15]-Resnet101-CIFAR10 - model_params","MTL[T=15]-Resnet101-CIFAR10 - model_params__MIN","MTL[T=15]-Resnet101-CIFAR10 - model_params__MAX"
"100","299","299","299","30596984","30596984","30596984","199","199","199","29938048","29938048","29938048","199","199","199","30462328","30462328","30462328","299","299","299","34493344","34493344","34493344","299","299","299","39919186","39919186","39919186","199","199","199","38326356","38326356","38326356","199","199","199","40423506","40423506","40423506","199","199","199","42520650","42520650","42520650","199","199","199","34656424","34656424","34656424","199","199","199","35180704","35180704","35180704"
"101","302","302","302","30588536","30588536","30588536","201","201","201","29938048","29938048","29938048","201","201","201","30462328","30462328","30462328","302","302","302","34479776","34479776","34479776","302","302","302","39917138","39917138","39917138","201","201","201","38326356","38326356","38326356","201","201","201","40423506","40423506","40423506","201","201","201","42520650","42520650","42520650","201","201","201","34656424","34656424","34656424","201","201","201","35180704","35180704","35180704"
"102","305","305","305","30572152","30572152","30572152","203","203","203","29938048","29938048","29938048","203","203","203","30462328","30462328","30462328","305","305","305","34475168","34475168","34475168","305","305","305","39916114","39916114","39916114","203","203","203","38326356","38326356","38326356","203","203","203","40423506","40423506","40423506","203","203","203","42520650","42520650","42520650","203","203","203","34656424","34656424","34656424","203","203","203","35180704","35180704","35180704"
"103","308","308","308","30567032","30567032","30567032","205","205","205","29938048","29938048","29938048","205","205","205","30462328","30462328","30462328","308","308","308","34466720","34466720","34466720","308","308","308","39916114","39916114","39916114","205","205","205","38326356","38326356","38326356","205","205","205","40423506","40423506","40423506","205","205","205","42520650","42520650","42520650","205","205","205","34656424","34656424","34656424","205","205","205","35180704","35180704","35180704"
"104","311","311","311","30551672","30551672","30551672","207","207","207","29938048","29938048","29938048","207","207","207","30462328","30462328","30462328","311","311","311","34465696","34465696","34465696","311","311","311","39916114","39916114","39916114","207","207","207","38326356","38326356","38326356","207","207","207","40423506","40423506","40423506","207","207","207","42520650","42520650","42520650","207","207","207","34656424","34656424","34656424","207","207","207","35180704","35180704","35180704"
"105","314","314","314","30538104","30538104","30538104","209","209","209","29938048","29938048","29938048","209","209","209","30462328","30462328","30462328","314","314","314","34463648","34463648","34463648","314","314","314","39911506","39911506","39911506","209","209","209","38326356","38326356","38326356","209","209","209","40423506","40423506","40423506","209","209","209","42520650","42520650","42520650","209","209","209","34656424","34656424","34656424","209","209","209","35180704","35180704","35180704"
"106","317","317","317","30521208","30521208","30521208","211","211","211","29938048","29938048","29938048","211","211","211","30462328","30462328","30462328","317","317","317","34460320","34460320","34460320","317","317","317","39906386","39906386","39906386","211","211","211","38326356","38326356","38326356","211","211","211","40423506","40423506","40423506","211","211","211","42520650","42520650","42520650","211","211","211","34656424","34656424","34656424","211","211","211","35180704","35180704","35180704"
"107","320","320","320","30509944","30509944","30509944","213","213","213","29938048","29938048","29938048","213","213","213","30462328","30462328","30462328","320","320","320","34453152","34453152","34453152","320","320","320","39906386","39906386","39906386","213","213","213","38326356","38326356","38326356","213","213","213","40423506","40423506","40423506","213","213","213","42520650","42520650","42520650","213","213","213","34656424","34656424","34656424","213","213","213","35180704","35180704","35180704"
"108","323","323","323","30496888","30496888","30496888","215","215","215","29938048","29938048","29938048","215","215","215","30462328","30462328","30462328","323","323","323","34449568","34449568","34449568","323","323","323","39906386","39906386","39906386","215","215","215","38326356","38326356","38326356","215","215","215","40423506","40423506","40423506","215","215","215","42520650","42520650","42520650","215","215","215","34656424","34656424","34656424","215","215","215","35180704","35180704","35180704"
"109","326","326","326","30489208","30489208","30489208","217","217","217","29938048","29938048","29938048","217","217","217","30462328","30462328","30462328","326","326","326","34446752","34446752","34446752","326","326","326","39905362","39905362","39905362","217","217","217","38326356","38326356","38326356","217","217","217","40423506","40423506","40423506","217","217","217","42520650","42520650","42520650","217","217","217","34656424","34656424","34656424","217","217","217","35180704","35180704","35180704"
"110","329","329","329","30476664","30476664","30476664","219","219","219","29938048","29938048","29938048","219","219","219","30462328","30462328","30462328","329","329","329","34441632","34441632","34441632","329","329","329","39902802","39902802","39902802","219","219","219","38326356","38326356","38326356","219","219","219","40423506","40423506","40423506","219","219","219","42520650","42520650","42520650","219","219","219","34656424","34656424","34656424","219","219","219","35180704","35180704","35180704"
"111","332","332","332","30464120","30464120","30464120","221","221","221","29938048","29938048","29938048","221","221","221","30462328","30462328","30462328","332","332","332","34435488","34435488","34435488","332","332","332","39902802","39902802","39902802","221","221","221","38326356","38326356","38326356","221","221","221","40423506","40423506","40423506","221","221","221","42520650","42520650","42520650","221","221","221","34656424","34656424","34656424","221","221","221","35180704","35180704","35180704"
"112","335","335","335","30452088","30452088","30452088","223","223","223","29938048","29938048","29938048","223","223","223","30462328","30462328","30462328","335","335","335","34432672","34432672","34432672","335","335","335","39901778","39901778","39901778","223","223","223","38326356","38326356","38326356","223","223","223","40423506","40423506","40423506","223","223","223","42520650","42520650","42520650","223","223","223","34656424","34656424","34656424","223","223","223","35180704","35180704","35180704"
"113","338","338","338","30438776","30438776","30438776","225","225","225","29938048","29938048","29938048","225","225","225","30462328","30462328","30462328","338","338","338","34426272","34426272","34426272","338","338","338","39899730","39899730","39899730","225","225","225","38326356","38326356","38326356","225","225","225","40423506","40423506","40423506","225","225","225","42520650","42520650","42520650","225","225","225","34656424","34656424","34656424","225","225","225","35180704","35180704","35180704"
"114","341","341","341","30423928","30423928","30423928","227","227","227","29938048","29938048","29938048","227","227","227","30462328","30462328","30462328","341","341","341","34421152","34421152","34421152","341","341","341","39898706","39898706","39898706","227","227","227","38326356","38326356","38326356","227","227","227","40423506","40423506","40423506","227","227","227","42520650","42520650","42520650","227","227","227","34656424","34656424","34656424","227","227","227","35180704","35180704","35180704"
"115","344","344","344","30416248","30416248","30416248","229","229","229","29938048","29938048","29938048","229","229","229","30462328","30462328","30462328","344","344","344","34409632","34409632","34409632","344","344","344","39896146","39896146","39896146","229","229","229","38326356","38326356","38326356","229","229","229","40423506","40423506","40423506","229","229","229","42520650","42520650","42520650","229","229","229","34656424","34656424","34656424","229","229","229","35180704","35180704","35180704"
"116","347","347","347","30407544","30407544","30407544","231","231","231","29938048","29938048","29938048","231","231","231","30462328","30462328","30462328","347","347","347","34401184","34401184","34401184","347","347","347","39896146","39896146","39896146","231","231","231","38326356","38326356","38326356","231","231","231","40423506","40423506","40423506","231","231","231","42520650","42520650","42520650","231","231","231","34656424","34656424","34656424","231","231","231","35180704","35180704","35180704"
"117","350","350","350","30391160","30391160","30391160","233","233","233","29938048","29938048","29938048","233","233","233","30462328","30462328","30462328","350","350","350","34388384","34388384","34388384","350","350","350","39895122","39895122","39895122","233","233","233","38326356","38326356","38326356","233","233","233","40423506","40423506","40423506","233","233","233","42520650","42520650","42520650","233","233","233","34656424","34656424","34656424","233","233","233","35180704","35180704","35180704"
"118","353","353","353","30383480","30383480","30383480","235","235","235","29938048","29938048","29938048","235","235","235","30462328","30462328","30462328","353","353","353","34387104","34387104","34387104","353","353","353","39892562","39892562","39892562","235","235","235","38326356","38326356","38326356","235","235","235","40423506","40423506","40423506","235","235","235","42520650","42520650","42520650","235","235","235","34656424","34656424","34656424","235","235","235","35180704","35180704","35180704"
"119","356","356","356","30364024","30364024","30364024","237","237","237","29938048","29938048","29938048","237","237","237","30462328","30462328","30462328","356","356","356","34381728","34381728","34381728","356","356","356","39892562","39892562","39892562","237","237","237","38326356","38326356","38326356","237","237","237","40423506","40423506","40423506","237","237","237","42520650","42520650","42520650","237","237","237","34656424","34656424","34656424","237","237","237","35180704","35180704","35180704"
"120","359","359","359","30349688","30349688","30349688","239","239","239","29938048","29938048","29938048","239","239","239","30462328","30462328","30462328","359","359","359","34378144","34378144","34378144","359","359","359","39890002","39890002","39890002","239","239","239","38326356","38326356","38326356","239","239","239","40423506","40423506","40423506","239","239","239","42520650","42520650","42520650","239","239","239","34656424","34656424","34656424","239","239","239","35180704","35180704","35180704"
"121","362","362","362","30339704","30339704","30339704","241","241","241","29938048","29938048","29938048","241","241","241","30462328","30462328","30462328","362","362","362","34372000","34372000","34372000","362","362","362","39890002","39890002","39890002","241","241","241","38326356","38326356","38326356","241","241","241","40423506","40423506","40423506","241","241","241","42520650","42520650","42520650","241","241","241","34656424","34656424","34656424","241","241","241","35180704","35180704","35180704"
"122","365","365","365","30328184","30328184","30328184","243","243","243","29938048","29938048","29938048","243","243","243","30462328","30462328","30462328","365","365","365","34369952","34369952","34369952","365","365","365","39888978","39888978","39888978","243","243","243","38326356","38326356","38326356","243","243","243","40423506","40423506","40423506","243","243","243","42520650","42520650","42520650","243","243","243","34656424","34656424","34656424","243","243","243","35180704","35180704","35180704"
"123","368","368","368","30308216","30308216","30308216","245","245","245","29938048","29938048","29938048","245","245","245","30462328","30462328","30462328","368","368","368","34358432","34358432","34358432","368","368","368","39888978","39888978","39888978","245","245","245","38326356","38326356","38326356","245","245","245","40423506","40423506","40423506","245","245","245","42520650","42520650","42520650","245","245","245","34656424","34656424","34656424","245","245","245","35180704","35180704","35180704"
"124","371","371","371","30301048","30301048","30301048","247","247","247","29938048","29938048","29938048","247","247","247","30462328","30462328","30462328","371","371","371","34351264","34351264","34351264","371","371","371","39887954","39887954","39887954","247","247","247","38326356","38326356","38326356","247","247","247","40423506","40423506","40423506","247","247","247","42520650","42520650","42520650","247","247","247","34656424","34656424","34656424","247","247","247","35180704","35180704","35180704"
"125","374","374","374","30286968","30286968","30286968","249","249","249","29938048","29938048","29938048","249","249","249","30462328","30462328","30462328","374","374","374","34342816","34342816","34342816","374","374","374","39887954","39887954","39887954","249","249","249","38326356","38326356","38326356","249","249","249","40423506","40423506","40423506","249","249","249","42520650","42520650","42520650","249","249","249","34656424","34656424","34656424","249","249","249","35180704","35180704","35180704"
"126","377","377","377","30279032","30279032","30279032","251","251","251","29938048","29938048","29938048","251","251","251","30462328","30462328","30462328","377","377","377","34331040","34331040","34331040","377","377","377","39885394","39885394","39885394","251","251","251","38326356","38326356","38326356","251","251","251","40423506","40423506","40423506","251","251","251","42520650","42520650","42520650","251","251","251","34656424","34656424","34656424","251","251","251","35180704","35180704","35180704"
"127","380","380","380","30265976","30265976","30265976","253","253","253","29938048","29938048","29938048","253","253","253","30462328","30462328","30462328","380","380","380","34327712","34327712","34327712","380","380","380","39883346","39883346","39883346","253","253","253","38326356","38326356","38326356","253","253","253","40423506","40423506","40423506","253","253","253","42520650","42520650","42520650","253","253","253","34656424","34656424","34656424","253","253","253","35180704","35180704","35180704"
"128","383","383","383","30260344","30260344","30260344","255","255","255","29938048","29938048","29938048","255","255","255","30462328","30462328","30462328","383","383","383","34324640","34324640","34324640","383","383","383","39883346","39883346","39883346","255","255","255","38326356","38326356","38326356","255","255","255","40423506","40423506","40423506","255","255","255","42520650","42520650","42520650","255","255","255","34656424","34656424","34656424","255","255","255","35180704","35180704","35180704"
"129","386","386","386","30252152","30252152","30252152","257","257","257","29938048","29938048","29938048","257","257","257","30462328","30462328","30462328","386","386","386","34321824","34321824","34321824","386","386","386","39878738","39878738","39878738","257","257","257","38326356","38326356","38326356","257","257","257","40423506","40423506","40423506","257","257","257","42520650","42520650","42520650","257","257","257","34656424","34656424","34656424","257","257","257","35180704","35180704","35180704"
"130","389","389","389","30235256","30235256","30235256","259","259","259","29938048","29938048","29938048","259","259","259","30462328","30462328","30462328","389","389","389","34315680","34315680","34315680","389","389","389","39877714","39877714","39877714","259","259","259","38326356","38326356","38326356","259","259","259","40423506","40423506","40423506","259","259","259","42520650","42520650","42520650","259","259","259","34656424","34656424","34656424","259","259","259","35180704","35180704","35180704"
"131","392","392","392","30215032","30215032","30215032","261","261","261","29938048","29938048","29938048","261","261","261","30462328","30462328","30462328","392","392","392","34312096","34312096","34312096","392","392","392","39875154","39875154","39875154","261","261","261","38326356","38326356","38326356","261","261","261","40423506","40423506","40423506","261","261","261","42520650","42520650","42520650","261","261","261","34656424","34656424","34656424","261","261","261","35180704","35180704","35180704"
"132","395","395","395","30204024","30204024","30204024","263","263","263","29938048","29938048","29938048","263","263","263","30462328","30462328","30462328","395","395","395","34310048","34310048","34310048","395","395","395","39875154","39875154","39875154","263","263","263","38326356","38326356","38326356","263","263","263","40423506","40423506","40423506","263","263","263","42520650","42520650","42520650","263","263","263","34656424","34656424","34656424","263","263","263","35180704","35180704","35180704"
"133","398","398","398","30193784","30193784","30193784","265","265","265","29938048","29938048","29938048","265","265","265","30462328","30462328","30462328","398","398","398","34297760","34297760","34297760","398","398","398","39874130","39874130","39874130","265","265","265","38326356","38326356","38326356","265","265","265","40423506","40423506","40423506","265","265","265","42520650","42520650","42520650","265","265","265","34656424","34656424","34656424","265","265","265","35180704","35180704","35180704"
"134","401","401","401","30175864","30175864","30175864","267","267","267","29938048","29938048","29938048","267","267","267","30462328","30462328","30462328","401","401","401","34284192","34284192","34284192","401","401","401","39869522","39869522","39869522","267","267","267","38326356","38326356","38326356","267","267","267","40423506","40423506","40423506","267","267","267","42520650","42520650","42520650","267","267","267","34656424","34656424","34656424","267","267","267","35180704","35180704","35180704"
"135","404","404","404","30159736","30159736","30159736","269","269","269","29938048","29938048","29938048","269","269","269","30462328","30462328","30462328","404","404","404","34278304","34278304","34278304","404","404","404","39868498","39868498","39868498","269","269","269","38326356","38326356","38326356","269","269","269","40423506","40423506","40423506","269","269","269","42520650","42520650","42520650","269","269","269","34656424","34656424","34656424","269","269","269","35180704","35180704","35180704"
"136","407","407","407","30149496","30149496","30149496","271","271","271","29938048","29938048","29938048","271","271","271","30462328","30462328","30462328","407","407","407","34274720","34274720","34274720","407","407","407","39865938","39865938","39865938","271","271","271","38326356","38326356","38326356","271","271","271","40423506","40423506","40423506","271","271","271","42520650","42520650","42520650","271","271","271","34656424","34656424","34656424","271","271","271","35180704","35180704","35180704"
"137","410","410","410","30139256","30139256","30139256","273","273","273","29938048","29938048","29938048","273","273","273","30462328","30462328","30462328","410","410","410","34267296","34267296","34267296","410","410","410","39864914","39864914","39864914","273","273","273","38326356","38326356","38326356","273","273","273","40423506","40423506","40423506","273","273","273","42520650","42520650","42520650","273","273","273","34656424","34656424","34656424","273","273","273","35180704","35180704","35180704"
"138","413","413","413","30135416","30135416","30135416","275","275","275","29938048","29938048","29938048","275","275","275","30462328","30462328","30462328","413","413","413","34263712","34263712","34263712","413","413","413","39864914","39864914","39864914","275","275","275","38326356","38326356","38326356","275","275","275","40423506","40423506","40423506","275","275","275","42520650","42520650","42520650","275","275","275","34656424","34656424","34656424","275","275","275","35180704","35180704","35180704"
"139","416","416","416","30128504","30128504","30128504","277","277","277","29938048","29938048","29938048","277","277","277","30462328","30462328","30462328","416","416","416","34262432","34262432","34262432","416","416","416","39864914","39864914","39864914","277","277","277","38326356","38326356","38326356","277","277","277","40423506","40423506","40423506","277","277","277","42520650","42520650","42520650","277","277","277","34656424","34656424","34656424","277","277","277","35180704","35180704","35180704"
"140","419","419","419","30099832","30099832","30099832","279","279","279","29938048","29938048","29938048","279","279","279","30462328","30462328","30462328","419","419","419","34257568","34257568","34257568","419","419","419","39863890","39863890","39863890","279","279","279","38326356","38326356","38326356","279","279","279","40423506","40423506","40423506","279","279","279","42520650","42520650","42520650","279","279","279","34656424","34656424","34656424","279","279","279","35180704","35180704","35180704"
"141","422","422","422","30084216","30084216","30084216","281","281","281","29938048","29938048","29938048","281","281","281","30462328","30462328","30462328","422","422","422","34248608","34248608","34248608","422","422","422","39858770","39858770","39858770","281","281","281","38326356","38326356","38326356","281","281","281","40423506","40423506","40423506","281","281","281","42520650","42520650","42520650","281","281","281","34656424","34656424","34656424","281","281","281","35180704","35180704","35180704"
"142","425","425","425","30075768","30075768","30075768","283","283","283","29938048","29938048","29938048","283","283","283","30462328","30462328","30462328","425","425","425","34244512","34244512","34244512","425","425","425","39856210","39856210","39856210","283","283","283","38326356","38326356","38326356","283","283","283","40423506","40423506","40423506","283","283","283","42520650","42520650","42520650","283","283","283","34656424","34656424","34656424","283","283","283","35180704","35180704","35180704"
"143","428","428","428","30060408","30060408","30060408","285","285","285","29938048","29938048","29938048","285","285","285","30462328","30462328","30462328","428","428","428","34240160","34240160","34240160","428","428","428","39853650","39853650","39853650","285","285","285","38326356","38326356","38326356","285","285","285","40423506","40423506","40423506","285","285","285","42520650","42520650","42520650","285","285","285","34656424","34656424","34656424","285","285","285","35180704","35180704","35180704"
"144","431","431","431","30047096","30047096","30047096","287","287","287","29938048","29938048","29938048","287","287","287","30462328","30462328","30462328","431","431","431","34235808","34235808","34235808","431","431","431","39843922","39843922","39843922","287","287","287","38326356","38326356","38326356","287","287","287","40423506","40423506","40423506","287","287","287","42520650","42520650","42520650","287","287","287","34656424","34656424","34656424","287","287","287","35180704","35180704","35180704"
"145","434","434","434","30031992","30031992","30031992","289","289","289","29938048","29938048","29938048","289","289","289","30462328","30462328","30462328","434","434","434","34232480","34232480","34232480","434","434","434","39841362","39841362","39841362","289","289","289","38326356","38326356","38326356","289","289","289","40423506","40423506","40423506","289","289","289","42520650","42520650","42520650","289","289","289","34656424","34656424","34656424","289","289","289","35180704","35180704","35180704"
"146","437","437","437","30013560","30013560","30013560","291","291","291","29938048","29938048","29938048","291","291","291","30462328","30462328","30462328","437","437","437","34226848","34226848","34226848","437","437","437","39837778","39837778","39837778","291","291","291","38326356","38326356","38326356","291","291","291","40423506","40423506","40423506","291","291","291","42520650","42520650","42520650","291","291","291","34656424","34656424","34656424","291","291","291","35180704","35180704","35180704"
"147","440","440","440","29999736","29999736","29999736","293","293","293","29938048","29938048","29938048","293","293","293","30462328","30462328","30462328","440","440","440","34220960","34220960","34220960","440","440","440","39836754","39836754","39836754","293","293","293","38326356","38326356","38326356","293","293","293","40423506","40423506","40423506","293","293","293","42520650","42520650","42520650","293","293","293","34656424","34656424","34656424","293","293","293","35180704","35180704","35180704"
"148","443","443","443","29984120","29984120","29984120","295","295","295","29938048","29938048","29938048","295","295","295","30462328","30462328","30462328","443","443","443","34216352","34216352","34216352","443","443","443","39836754","39836754","39836754","295","295","295","38326356","38326356","38326356","295","295","295","40423506","40423506","40423506","295","295","295","42520650","42520650","42520650","295","295","295","34656424","34656424","34656424","295","295","295","35180704","35180704","35180704"
"149","446","446","446","29971320","29971320","29971320","297","297","297","29938048","29938048","29938048","297","297","297","30462328","30462328","30462328","446","446","446","34209440","34209440","34209440","446","446","446","39836754","39836754","39836754","297","297","297","38326356","38326356","38326356","297","297","297","40423506","40423506","40423506","297","297","297","42520650","42520650","42520650","297","297","297","34656424","34656424","34656424","297","297","297","35180704","35180704","35180704"
"150","449","449","449","29964152","29964152","29964152","299","299","299","29938048","29938048","29938048","299","299","299","30462328","30462328","30462328","449","449","449","34205600","34205600","34205600","449","449","449","39831634","39831634","39831634","299","299","299","38326356","38326356","38326356","299","299","299","40423506","40423506","40423506","299","299","299","42520650","42520650","42520650","299","299","299","34656424","34656424","34656424","299","299","299","35180704","35180704","35180704"
"151","452","452","452","29953144","29953144","29953144","301","301","301","29938048","29938048","29938048","301","301","301","30462328","30462328","30462328","452","452","452","34205088","34205088","34205088","452","452","452","39826514","39826514","39826514","301","301","301","38326356","38326356","38326356","301","301","301","40423506","40423506","40423506","301","301","301","42520650","42520650","42520650","301","301","301","34656424","34656424","34656424","301","301","301","35180704","35180704","35180704"
"152","455","455","455","29937272","29937272","29937272","303","303","303","29938048","29938048","29938048","303","303","303","30462328","30462328","30462328","455","455","455","34192288","34192288","34192288","455","455","455","39823954","39823954","39823954","303","303","303","38326356","38326356","38326356","303","303","303","40423506","40423506","40423506","303","303","303","42520650","42520650","42520650","303","303","303","34656424","34656424","34656424","303","303","303","35180704","35180704","35180704"
"153","458","458","458","29928056","29928056","29928056","305","305","305","29938048","29938048","29938048","305","305","305","30462328","30462328","30462328","458","458","458","34191776","34191776","34191776","458","458","458","39823954","39823954","39823954","305","305","305","38326356","38326356","38326356","305","305","305","40423506","40423506","40423506","305","305","305","42520650","42520650","42520650","305","305","305","34656424","34656424","34656424","305","305","305","35180704","35180704","35180704"
"154","461","461","461","29914232","29914232","29914232","307","307","307","29938048","29938048","29938048","307","307","307","30462328","30462328","30462328","461","461","461","34182048","34182048","34182048","461","461","461","39815250","39815250","39815250","307","307","307","38326356","38326356","38326356","307","307","307","40423506","40423506","40423506","307","307","307","42520650","42520650","42520650","307","307","307","34656424","34656424","34656424","307","307","307","35180704","35180704","35180704"
"155","464","464","464","29901432","29901432","29901432","309","309","309","29938048","29938048","29938048","309","309","309","30462328","30462328","30462328","464","464","464","34174880","34174880","34174880","464","464","464","39809618","39809618","39809618","309","309","309","38326356","38326356","38326356","309","309","309","40423506","40423506","40423506","309","309","309","42520650","42520650","42520650","309","309","309","34656424","34656424","34656424","309","309","309","35180704","35180704","35180704"
"156","467","467","467","29883512","29883512","29883512","311","311","311","29938048","29938048","29938048","311","311","311","30462328","30462328","30462328","467","467","467","34161056","34161056","34161056","467","467","467","39808594","39808594","39808594","311","311","311","38326356","38326356","38326356","311","311","311","40423506","40423506","40423506","311","311","311","42520650","42520650","42520650","311","311","311","34656424","34656424","34656424","311","311","311","35180704","35180704","35180704"
"157","470","470","470","29868920","29868920","29868920","313","313","313","29938048","29938048","29938048","313","313","313","30462328","30462328","30462328","470","470","470","34157216","34157216","34157216","470","470","470","39808594","39808594","39808594","313","313","313","38326356","38326356","38326356","313","313","313","40423506","40423506","40423506","313","313","313","42520650","42520650","42520650","313","313","313","34656424","34656424","34656424","313","313","313","35180704","35180704","35180704"
"158","473","473","473","29854584","29854584","29854584","315","315","315","29938048","29938048","29938048","315","315","315","30462328","30462328","30462328","473","473","473","34151584","34151584","34151584","473","473","473","39801426","39801426","39801426","315","315","315","38326356","38326356","38326356","315","315","315","40423506","40423506","40423506","315","315","315","42520650","42520650","42520650","315","315","315","34656424","34656424","34656424","315","315","315","35180704","35180704","35180704"
"159","476","476","476","29838456","29838456","29838456","317","317","317","29938048","29938048","29938048","317","317","317","30462328","30462328","30462328","476","476","476","34144416","34144416","34144416","476","476","476","39801426","39801426","39801426","317","317","317","38326356","38326356","38326356","317","317","317","40423506","40423506","40423506","317","317","317","42520650","42520650","42520650","317","317","317","34656424","34656424","34656424","317","317","317","35180704","35180704","35180704"
"160","479","479","479","29830520","29830520","29830520","319","319","319","29938048","29938048","29938048","319","319","319","30462328","30462328","30462328","479","479","479","34135712","34135712","34135712","479","479","479","39798866","39798866","39798866","319","319","319","38326356","38326356","38326356","319","319","319","40423506","40423506","40423506","319","319","319","42520650","42520650","42520650","319","319","319","34656424","34656424","34656424","319","319","319","35180704","35180704","35180704"
"161","482","482","482","29818488","29818488","29818488","321","321","321","29938048","29938048","29938048","321","321","321","30462328","30462328","30462328","482","482","482","34130080","34130080","34130080","482","482","482","39798866","39798866","39798866","321","321","321","38326356","38326356","38326356","321","321","321","40423506","40423506","40423506","321","321","321","42520650","42520650","42520650","321","321","321","34656424","34656424","34656424","321","321","321","35180704","35180704","35180704"
"162","485","485","485","29809528","29809528","29809528","323","323","323","29938048","29938048","29938048","323","323","323","30462328","30462328","30462328","485","485","485","34116256","34116256","34116256","485","485","485","39798866","39798866","39798866","323","323","323","38326356","38326356","38326356","323","323","323","40423506","40423506","40423506","323","323","323","42520650","42520650","42520650","323","323","323","34656424","34656424","34656424","323","323","323","35180704","35180704","35180704"
"163","488","488","488","29788280","29788280","29788280","325","325","325","29938048","29938048","29938048","325","325","325","30462328","30462328","30462328","488","488","488","34111392","34111392","34111392","488","488","488","39797842","39797842","39797842","325","325","325","38326356","38326356","38326356","325","325","325","40423506","40423506","40423506","325","325","325","42520650","42520650","42520650","325","325","325","34656424","34656424","34656424","325","325","325","35180704","35180704","35180704"
"164","491","491","491","29772152","29772152","29772152","327","327","327","29938048","29938048","29938048","327","327","327","30462328","30462328","30462328","491","491","491","34105248","34105248","34105248","491","491","491","39796818","39796818","39796818","327","327","327","38326356","38326356","38326356","327","327","327","40423506","40423506","40423506","327","327","327","42520650","42520650","42520650","327","327","327","34656424","34656424","34656424","327","327","327","35180704","35180704","35180704"
