"epoch","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MIN","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MAX","MTL[T=43]-Resnet101-CIFAR10 - _step","MTL[T=43]-Resnet101-CIFAR10 - _step__MIN","MTL[T=43]-Resnet101-CIFAR10 - _step__MAX","MTL[T=43]-Resnet101-CIFAR10 - model_params","MTL[T=43]-Resnet101-CIFAR10 - model_params__MIN","MTL[T=43]-Resnet101-CIFAR10 - model_params__MAX","MTL[T=42]-Resnet101-CIFAR10 - _step","MTL[T=42]-Resnet101-CIFAR10 - _step__MIN","MTL[T=42]-Resnet101-CIFAR10 - _step__MAX","MTL[T=42]-Resnet101-CIFAR10 - model_params","MTL[T=42]-Resnet101-CIFAR10 - model_params__MIN","MTL[T=42]-Resnet101-CIFAR10 - model_params__MAX","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MIN","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MAX","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MIN","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MAX","MTL[T=4]-Resnet101-CIFAR10 - _step","MTL[T=4]-Resnet101-CIFAR10 - _step__MIN","MTL[T=4]-Resnet101-CIFAR10 - _step__MAX","MTL[T=4]-Resnet101-CIFAR10 - model_params","MTL[T=4]-Resnet101-CIFAR10 - model_params__MIN","MTL[T=4]-Resnet101-CIFAR10 - model_params__MAX","MTL[T=3]-Resnet101-CIFAR10 - _step","MTL[T=3]-Resnet101-CIFAR10 - _step__MIN","MTL[T=3]-Resnet101-CIFAR10 - _step__MAX","MTL[T=3]-Resnet101-CIFAR10 - model_params","MTL[T=3]-Resnet101-CIFAR10 - model_params__MIN","MTL[T=3]-Resnet101-CIFAR10 - model_params__MAX","Resnet101-CIFAR10 - _step","Resnet101-CIFAR10 - _step__MIN","Resnet101-CIFAR10 - _step__MAX","Resnet101-CIFAR10 - model_params","Resnet101-CIFAR10 - model_params__MIN","Resnet101-CIFAR10 - model_params__MAX","MTL[T=16]-Resnet101-CIFAR10 - _step","MTL[T=16]-Resnet101-CIFAR10 - _step__MIN","MTL[T=16]-Resnet101-CIFAR10 - _step__MAX","MTL[T=16]-Resnet101-CIFAR10 - model_params","MTL[T=16]-Resnet101-CIFAR10 - model_params__MIN","MTL[T=16]-Resnet101-CIFAR10 - model_params__MAX","MTL[T=15]-Resnet101-CIFAR10 - _step","MTL[T=15]-Resnet101-CIFAR10 - _step__MIN","MTL[T=15]-Resnet101-CIFAR10 - _step__MAX","MTL[T=15]-Resnet101-CIFAR10 - model_params","MTL[T=15]-Resnet101-CIFAR10 - model_params__MIN","MTL[T=15]-Resnet101-CIFAR10 - model_params__MAX"
"21","62","62","62","31353464","31353464","31353464","41","41","41","29938048","29938048","29938048","41","41","41","30462328","30462328","30462328","62","62","62","34945184","34945184","34945184","62","62","62","40034386","40034386","40034386","41","41","41","38326356","38326356","38326356","41","41","41","40423506","40423506","40423506","41","41","41","42520650","42520650","42520650","41","41","41","34656424","34656424","34656424","41","41","41","35180704","35180704","35180704"
"22","65","65","65","31346040","31346040","31346040","43","43","43","29938048","29938048","29938048","43","43","43","30462328","30462328","30462328","65","65","65","34942880","34942880","34942880","65","65","65","40033362","40033362","40033362","43","43","43","38326356","38326356","38326356","43","43","43","40423506","40423506","40423506","43","43","43","42520650","42520650","42520650","43","43","43","34656424","34656424","34656424","43","43","43","35180704","35180704","35180704"
"23","68","68","68","31341688","31341688","31341688","45","45","45","29938048","29938048","29938048","45","45","45","30462328","30462328","30462328","68","68","68","34940320","34940320","34940320","68","68","68","40030802","40030802","40030802","45","45","45","38326356","38326356","38326356","45","45","45","40423506","40423506","40423506","45","45","45","42520650","42520650","42520650","45","45","45","34656424","34656424","34656424","45","45","45","35180704","35180704","35180704"
"24","71","71","71","31330424","31330424","31330424","47","47","47","29938048","29938048","29938048","47","47","47","30462328","30462328","30462328","71","71","71","34936224","34936224","34936224","71","71","71","40030802","40030802","40030802","47","47","47","38326356","38326356","38326356","47","47","47","40423506","40423506","40423506","47","47","47","42520650","42520650","42520650","47","47","47","34656424","34656424","34656424","47","47","47","35180704","35180704","35180704"
"25","74","74","74","31318392","31318392","31318392","49","49","49","29938048","29938048","29938048","49","49","49","30462328","30462328","30462328","74","74","74","34929824","34929824","34929824","74","74","74","40030802","40030802","40030802","49","49","49","38326356","38326356","38326356","49","49","49","40423506","40423506","40423506","49","49","49","42520650","42520650","42520650","49","49","49","34656424","34656424","34656424","49","49","49","35180704","35180704","35180704"
"26","77","77","77","31311992","31311992","31311992","51","51","51","29938048","29938048","29938048","51","51","51","30462328","30462328","30462328","77","77","77","34928032","34928032","34928032","77","77","77","40030802","40030802","40030802","51","51","51","38326356","38326356","38326356","51","51","51","40423506","40423506","40423506","51","51","51","42520650","42520650","42520650","51","51","51","34656424","34656424","34656424","51","51","51","35180704","35180704","35180704"
"27","80","80","80","31308408","31308408","31308408","53","53","53","29938048","29938048","29938048","53","53","53","30462328","30462328","30462328","80","80","80","34924448","34924448","34924448","80","80","80","40030802","40030802","40030802","53","53","53","38326356","38326356","38326356","53","53","53","40423506","40423506","40423506","53","53","53","42520650","42520650","42520650","53","53","53","34656424","34656424","34656424","53","53","53","35180704","35180704","35180704"
"28","83","83","83","31296632","31296632","31296632","55","55","55","29938048","29938048","29938048","55","55","55","30462328","30462328","30462328","83","83","83","34920864","34920864","34920864","83","83","83","40030802","40030802","40030802","55","55","55","38326356","38326356","38326356","55","55","55","40423506","40423506","40423506","55","55","55","42520650","42520650","42520650","55","55","55","34656424","34656424","34656424","55","55","55","35180704","35180704","35180704"
"29","86","86","86","31292280","31292280","31292280","57","57","57","29938048","29938048","29938048","57","57","57","30462328","30462328","30462328","86","86","86","34919840","34919840","34919840","86","86","86","40026194","40026194","40026194","57","57","57","38326356","38326356","38326356","57","57","57","40423506","40423506","40423506","57","57","57","42520650","42520650","42520650","57","57","57","34656424","34656424","34656424","57","57","57","35180704","35180704","35180704"
"30","89","89","89","31283064","31283064","31283064","59","59","59","29938048","29938048","29938048","59","59","59","30462328","30462328","30462328","89","89","89","34916768","34916768","34916768","89","89","89","40026194","40026194","40026194","59","59","59","38326356","38326356","38326356","59","59","59","40423506","40423506","40423506","59","59","59","42520650","42520650","42520650","59","59","59","34656424","34656424","34656424","59","59","59","35180704","35180704","35180704"
"31","92","92","92","31268472","31268472","31268472","61","61","61","29938048","29938048","29938048","61","61","61","30462328","30462328","30462328","92","92","92","34909600","34909600","34909600","92","92","92","40026194","40026194","40026194","61","61","61","38326356","38326356","38326356","61","61","61","40423506","40423506","40423506","61","61","61","42520650","42520650","42520650","61","61","61","34656424","34656424","34656424","61","61","61","35180704","35180704","35180704"
"32","95","95","95","31249784","31249784","31249784","63","63","63","29938048","29938048","29938048","63","63","63","30462328","30462328","30462328","95","95","95","34906784","34906784","34906784","95","95","95","40026194","40026194","40026194","63","63","63","38326356","38326356","38326356","63","63","63","40423506","40423506","40423506","63","63","63","42520650","42520650","42520650","63","63","63","34656424","34656424","34656424","63","63","63","35180704","35180704","35180704"
"33","98","98","98","31239032","31239032","31239032","65","65","65","29938048","29938048","29938048","65","65","65","30462328","30462328","30462328","98","98","98","34904224","34904224","34904224","98","98","98","40023634","40023634","40023634","65","65","65","38326356","38326356","38326356","65","65","65","40423506","40423506","40423506","65","65","65","42520650","42520650","42520650","65","65","65","34656424","34656424","34656424","65","65","65","35180704","35180704","35180704"
"34","101","101","101","31233912","31233912","31233912","67","67","67","29938048","29938048","29938048","67","67","67","30462328","30462328","30462328","101","101","101","34902176","34902176","34902176","101","101","101","40022610","40022610","40022610","67","67","67","38326356","38326356","38326356","67","67","67","40423506","40423506","40423506","67","67","67","42520650","42520650","42520650","67","67","67","34656424","34656424","34656424","67","67","67","35180704","35180704","35180704"
