"epoch","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total__MIN","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total__MAX","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total__MIN","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total__MAX"
"77","228","228","228","11472","11472","11472","228","228","228","5598","5598","5598","228","228","228","1431","1431","1431"
"78","231","231","231","11464","11464","11464","231","231","231","5590","5590","5590","231","231","231","1429","1429","1429"
"79","234","234","234","11453","11453","11453","234","234","234","5584","5584","5584","234","234","234","1426","1426","1426"
"80","237","237","237","11445","11445","11445","237","237","237","5573","5573","5573","237","237","237","1425","1425","1425"
"81","240","240","240","11435","11435","11435","240","240","240","5565","5565","5565","240","240","240","1422","1422","1422"
"82","243","243","243","11424","11424","11424","243","243","243","5558","5558","5558","243","243","243","1421","1421","1421"
"83","246","246","246","11413","11413","11413","246","246","246","5548","5548","5548","246","246","246","1419","1419","1419"
"84","249","249","249","11403","11403","11403","249","249","249","5545","5545","5545","249","249","249","1415","1415","1415"
"85","252","252","252","11391","11391","11391","252","252","252","5538","5538","5538","252","252","252","1414","1414","1414"
"86","255","255","255","11381","11381","11381","255","255","255","5528","5528","5528","255","255","255","1414","1414","1414"
"87","258","258","258","11369","11369","11369","258","258","258","5522","5522","5522","258","258","258","1413","1413","1413"
"88","261","261","261","11361","11361","11361","261","261","261","5513","5513","5513","261","261","261","1413","1413","1413"
"89","264","264","264","11354","11354","11354","264","264","264","5508","5508","5508","264","264","264","1411","1411","1411"
"90","267","267","267","11344","11344","11344","267","267","267","5502","5502","5502","267","267","267","1411","1411","1411"
"91","270","270","270","11336","11336","11336","270","270","270","5499","5499","5499","270","270","270","1407","1407","1407"
"92","273","273","273","11321","11321","11321","273","273","273","5490","5490","5490","273","273","273","1405","1405","1405"
"93","276","276","276","11311","11311","11311","276","276","276","5481","5481","5481","276","276","276","1403","1403","1403"
