"Step","MLConv[R=400]-Resnet101-CIFAR10-25 - val_accuracy","MLConv[R=400]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MLConv[R=400]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MLConv[R=200]-Resnet101-CIFAR10-25 - val_accuracy","MLConv[R=200]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MLConv[R=200]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MLConv[R=100]-Resnet101-CIFAR10-25 - val_accuracy","MLConv[R=100]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MLConv[R=100]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MLConv[R=1]-Resnet101-CIFAR10-25 - val_accuracy","MLConv[R=1]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MLConv[R=1]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=60]-Resnet101-CIFAR10-25 - val_accuracy","MTL[T=60]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=60]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=45]-Resnet101-CIFAR10-25 - val_accuracy","MTL[T=45]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=45]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=30]-Resnet101-CIFAR10-25 - val_accuracy","MTL[T=30]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=30]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=15]-Resnet101-CIFAR10-25 - val_accuracy","MTL[T=15]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=15]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=3]-Resnet101-CIFAR10-25 - val_accuracy","MTL[T=3]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=3]-Resnet101-CIFAR10-25 - val_accuracy__MAX","Resnet101-CIFAR10-25 - val_accuracy","Resnet101-CIFAR10-25 - val_accuracy__MIN","Resnet101-CIFAR10-25 - val_accuracy__MAX"
"31","45.29","45.29","45.29","55.09","55.09","55.09","59.46","59.46","59.46","22.04","22.04","22.04","68.72","68.72","68.72","63.33","63.33","63.33","68.38","68.38","68.38","65.68","65.68","65.68","63.19","63.19","63.19","63.74","63.74","63.74"
"32","49.86","49.86","49.86","55.78","55.78","55.78","57.33","57.33","57.33","25.16","25.16","25.16","69.42","69.42","69.42","66.38","66.38","66.38","68.02","68.02","68.02","63.66","63.66","63.66","60.42","60.42","60.42","68.35","68.35","68.35"
"33","42.41","42.41","42.41","52.97","52.97","52.97","55.41","55.41","55.41","27.72","27.72","27.72","66.28","66.28","66.28","63.83","63.83","63.83","66.35","66.35","66.35","67.34","67.34","67.34","61.79","61.79","61.79","67.26","67.26","67.26"
"34","48.54","48.54","48.54","57.51","57.51","57.51","52.68","52.68","52.68","26.03","26.03","26.03","60.52","60.52","60.52","66.73","66.73","66.73","67.42","67.42","67.42","67.79","67.79","67.79","66.31","66.31","66.31","68.35","68.35","68.35"
"35","37.47","37.47","37.47","58.69","58.69","58.69","56.44","56.44","56.44","21.05","21.05","21.05","66.02","66.02","66.02","62.94","62.94","62.94","63.44","63.44","63.44","64.1","64.1","64.1","63.3","63.3","63.3","55.41","55.41","55.41"
"36","52.53","52.53","52.53","53.68","53.68","53.68","62.77","62.77","62.77","22.41","22.41","22.41","65.23","65.23","65.23","65.25","65.25","65.25","61.76","61.76","61.76","65.99","65.99","65.99","59.94","59.94","59.94","63.89","63.89","63.89"
"37","53.52","53.52","53.52","57.06","57.06","57.06","64.64","64.64","64.64","28.56","28.56","28.56","61.27","61.27","61.27","69.44","69.44","69.44","63.13","63.13","63.13","66.07","66.07","66.07","65.15","65.15","65.15","66.64","66.64","66.64"
"38","46.28","46.28","46.28","58.07","58.07","58.07","62.05","62.05","62.05","25.77","25.77","25.77","67.81","67.81","67.81","65.02","65.02","65.02","66.9","66.9","66.9","63.15","63.15","63.15","63.62","63.62","63.62","65","65","65"
"39","49.98","49.98","49.98","59.17","59.17","59.17","56.72","56.72","56.72","28.77","28.77","28.77","68.13","68.13","68.13","66.29","66.29","66.29","68.69","68.69","68.69","67.34","67.34","67.34","61.06","61.06","61.06","65.03","65.03","65.03"
"40","56.11","56.11","56.11","52.88","52.88","52.88","53.23","53.23","53.23","16.18","16.18","16.18","68.42","68.42","68.42","67.36","67.36","67.36","63.67","63.67","63.67","65.07","65.07","65.07","64","64","64","61.47","61.47","61.47"
