"Step","MTL[T=60]-Resnet101-CIFAR10 - val_accuracy","MTL[T=60]-Resnet101-CIFAR10 - val_accuracy__MIN","MTL[T=60]-Resnet101-CIFAR10 - val_accuracy__MAX","MLConv[R=1]-Resnet101-CIFAR10 - val_accuracy","MLConv[R=1]-Resnet101-CIFAR10 - val_accuracy__MIN","MLConv[R=1]-Resnet101-CIFAR10 - val_accuracy__MAX","MLConv[R=400]-Resnet101-CIFAR10 - val_accuracy","MLConv[R=400]-Resnet101-CIFAR10 - val_accuracy__MIN","MLConv[R=400]-Resnet101-CIFAR10 - val_accuracy__MAX","MLConv[R=200]-Resnet101-CIFAR10 - val_accuracy","MLConv[R=200]-Resnet101-CIFAR10 - val_accuracy__MIN","MLConv[R=200]-Resnet101-CIFAR10 - val_accuracy__MAX","MLConv[R=100]-Resnet101-CIFAR10 - val_accuracy","MLConv[R=100]-Resnet101-CIFAR10 - val_accuracy__MIN","MLConv[R=100]-Resnet101-CIFAR10 - val_accuracy__MAX","MTL[T=45]-Resnet101-CIFAR10 - val_accuracy","MTL[T=45]-Resnet101-CIFAR10 - val_accuracy__MIN","MTL[T=45]-Resnet101-CIFAR10 - val_accuracy__MAX","MTL[T=30]-Resnet101-CIFAR10 - val_accuracy","MTL[T=30]-Resnet101-CIFAR10 - val_accuracy__MIN","MTL[T=30]-Resnet101-CIFAR10 - val_accuracy__MAX","MTL[T=15]-Resnet101-CIFAR10 - val_accuracy","MTL[T=15]-Resnet101-CIFAR10 - val_accuracy__MIN","MTL[T=15]-Resnet101-CIFAR10 - val_accuracy__MAX","Resnet101-CIFAR10 - val_accuracy","Resnet101-CIFAR10 - val_accuracy__MIN","Resnet101-CIFAR10 - val_accuracy__MAX","MTL[T=3]-Resnet101-CIFAR10 - val_accuracy","MTL[T=3]-Resnet101-CIFAR10 - val_accuracy__MIN","MTL[T=3]-Resnet101-CIFAR10 - val_accuracy__MAX"
"29","69.04","69.04","69.04","20.34","20.34","20.34","62.39","62.39","62.39","51.12","51.12","51.12","63.49","63.49","63.49","70.68","70.68","70.68","73.16","73.16","73.16","71.05","71.05","71.05","70.75","70.75","70.75","70.6","70.6","70.6"
"30","68.04","68.04","68.04","22.53","22.53","22.53","63.02","63.02","63.02","63.66","63.66","63.66","67.66","67.66","67.66","69.95","69.95","69.95","68.65","68.65","68.65","66.94","66.94","66.94","68.63","68.63","68.63","71.23","71.23","71.23"
"31","68.16","68.16","68.16","29.5","29.5","29.5","47.21","47.21","47.21","65.96","65.96","65.96","65.31","65.31","65.31","72.73","72.73","72.73","72.97","72.97","72.97","73.5","73.5","73.5","70.92","70.92","70.92","71.75","71.75","71.75"
"32","74.54","74.54","74.54","25.86","25.86","25.86","68.67","68.67","68.67","50.45","50.45","50.45","69.59","69.59","69.59","67.78","67.78","67.78","73.26","73.26","73.26","72.02","72.02","72.02","70.45","70.45","70.45","68.22","68.22","68.22"
"33","72.47","72.47","72.47","28.35","28.35","28.35","51.92","51.92","51.92","62.65","62.65","62.65","64.93","64.93","64.93","68.67","68.67","68.67","66.73","66.73","66.73","71.58","71.58","71.58","73.38","73.38","73.38","71.35","71.35","71.35"
"34","72.47","72.47","72.47","20.62","20.62","20.62","55.75","55.75","55.75","63.28","63.28","63.28","64.35","64.35","64.35","67.78","67.78","67.78","73.81","73.81","73.81","71.35","71.35","71.35","72.59","72.59","72.59","69.27","69.27","69.27"
"35","69.03","69.03","69.03","30.03","30.03","30.03","66.54","66.54","66.54","61.7","61.7","61.7","57.91","57.91","57.91","71.92","71.92","71.92","72.93","72.93","72.93","71.75","71.75","71.75","70.59","70.59","70.59","69.66","69.66","69.66"
"36","70.9","70.9","70.9","26.24","26.24","26.24","68.15","68.15","68.15","65.9","65.9","65.9","65.35","65.35","65.35","69.8","69.8","69.8","73.84","73.84","73.84","71.44","71.44","71.44","72.08","72.08","72.08","73.19","73.19","73.19"
"37","65.86","65.86","65.86","28.72","28.72","28.72","71.16","71.16","71.16","64.67","64.67","64.67","59.07","59.07","59.07","71.75","71.75","71.75","73.17","73.17","73.17","74.47","74.47","74.47","62.31","62.31","62.31","71.8","71.8","71.8"
"38","69.29","69.29","69.29","28.64","28.64","28.64","59.78","59.78","59.78","64.03","64.03","64.03","59.63","59.63","59.63","66.02","66.02","66.02","72.69","72.69","72.69","70.16","70.16","70.16","68.88","68.88","68.88","68.37","68.37","68.37"
"39","74.04","74.04","74.04","15.93","15.93","15.93","50.34","50.34","50.34","60.09","60.09","60.09","68.93","68.93","68.93","71.72","71.72","71.72","70.37","70.37","70.37","70.21","70.21","70.21","71.08","71.08","71.08","71.18","71.18","71.18"
"40","72.85","72.85","72.85","19.23","19.23","19.23","66.68","66.68","66.68","61.35","61.35","61.35","65.79","65.79","65.79","73.25","73.25","73.25","69.79","69.79","69.79","68.7","68.7","68.7","68.24","68.24","68.24","72.21","72.21","72.21"
"41","69.84","69.84","69.84","26.16","26.16","26.16","49.28","49.28","49.28","64.42","64.42","64.42","68.33","68.33","68.33","71.58","71.58","71.58","71.13","71.13","71.13","70.9","70.9","70.9","68.08","68.08","68.08","72.41","72.41","72.41"
"42","72.32","72.32","72.32","24.61","24.61","24.61","46.52","46.52","46.52","67.99","67.99","67.99","63.58","63.58","63.58","70.97","70.97","70.97","70.66","70.66","70.66","71.91","71.91","71.91","74.4","74.4","74.4","73.14","73.14","73.14"
"43","68.68","68.68","68.68","21.94","21.94","21.94","66.46","66.46","66.46","55.21","55.21","55.21","68.61","68.61","68.61","73.89","73.89","73.89","72.87","72.87","72.87","70.85","70.85","70.85","73.41","73.41","73.41","73.19","73.19","73.19"
"44","73.62","73.62","73.62","22.9","22.9","22.9","21.03","21.03","21.03","61.21","61.21","61.21","64.75","64.75","64.75","72.34","72.34","72.34","72.2","72.2","72.2","73.22","73.22","73.22","74.73","74.73","74.73","68.75","68.75","68.75"
"45","75.7","75.7","75.7","24.83","24.83","24.83","63.54","63.54","63.54","66.09","66.09","66.09","64.58","64.58","64.58","73.3","73.3","73.3","72.88","72.88","72.88","70.99","70.99","70.99","69.61","69.61","69.61","71.91","71.91","71.91"
"46","73.74","73.74","73.74","22.37","22.37","22.37","70.5","70.5","70.5","53.35","53.35","53.35","68.67","68.67","68.67","72.98","72.98","72.98","74.29","74.29","74.29","71.95","71.95","71.95","68.94","68.94","68.94","69.5","69.5","69.5"
"47","74.29","74.29","74.29","21.51","21.51","21.51","68.38","68.38","68.38","68.24","68.24","68.24","70.67","70.67","70.67","71.33","71.33","71.33","70.45","70.45","70.45","71.42","71.42","71.42","71.57","71.57","71.57","72.58","72.58","72.58"
"48","70.63","70.63","70.63","22.01","22.01","22.01","43.48","43.48","43.48","63.34","63.34","63.34","71.44","71.44","71.44","72.1","72.1","72.1","73.89","73.89","73.89","74.13","74.13","74.13","71.53","71.53","71.53","74.37","74.37","74.37"
"49","69.77","69.77","69.77","26.62","26.62","26.62","67.46","67.46","67.46","69.15","69.15","69.15","61.76","61.76","61.76","73.25","73.25","73.25","73.43","73.43","73.43","64.45","64.45","64.45","71.93","71.93","71.93","65.79","65.79","65.79"
"50","71.98","71.98","71.98","28.27","28.27","28.27","18.28","18.28","18.28","62.31","62.31","62.31","64.84","64.84","64.84","75.48","75.48","75.48","72.79","72.79","72.79","71.07","71.07","71.07","72.19","72.19","72.19","70.66","70.66","70.66"
"51","73.09","73.09","73.09","28.11","28.11","28.11","69.84","69.84","69.84","70.33","70.33","70.33","62.45","62.45","62.45","72.83","72.83","72.83","70.46","70.46","70.46","70.84","70.84","70.84","71.12","71.12","71.12","72.34","72.34","72.34"
"52","72.88","72.88","72.88","27.81","27.81","27.81","62.94","62.94","62.94","59.72","59.72","59.72","62.2","62.2","62.2","72.64","72.64","72.64","72.58","72.58","72.58","75","75","75","72.32","72.32","72.32","63.25","63.25","63.25"
"53","70.47","70.47","70.47","28.64","28.64","28.64","63.93","63.93","63.93","46.24","46.24","46.24","64.5","64.5","64.5","72.36","72.36","72.36","68.58","68.58","68.58","64.88","64.88","64.88","67.67","67.67","67.67","70.01","70.01","70.01"
"54","65.89","65.89","65.89","19.48","19.48","19.48","57.58","57.58","57.58","59.44","59.44","59.44","63.97","63.97","63.97","72.34","72.34","72.34","73.74","73.74","73.74","70.52","70.52","70.52","73.42","73.42","73.42","74.59","74.59","74.59"
"55","74.46","74.46","74.46","19.53","19.53","19.53","61.46","61.46","61.46","64.26","64.26","64.26","50.81","50.81","50.81","73.03","73.03","73.03","72.49","72.49","72.49","73.08","73.08","73.08","73.54","73.54","73.54","74.32","74.32","74.32"
"56","75.57","75.57","75.57","20.29","20.29","20.29","66.22","66.22","66.22","43.7","43.7","43.7","64.12","64.12","64.12","71.99","71.99","71.99","73.86","73.86","73.86","69.56","69.56","69.56","59.38","59.38","59.38","72.41","72.41","72.41"
"57","65.01","65.01","65.01","29.38","29.38","29.38","59.54","59.54","59.54","71.81","71.81","71.81","53.25","53.25","53.25","71.18","71.18","71.18","73.7","73.7","73.7","75.76","75.76","75.76","75.14","75.14","75.14","72.83","72.83","72.83"
"58","71.29","71.29","71.29","24.4","24.4","24.4","38.97","38.97","38.97","42.1","42.1","42.1","59.7","59.7","59.7","73.23","73.23","73.23","74.57","74.57","74.57","77.48","77.48","77.48","72.28","72.28","72.28","72.42","72.42","72.42"
"59","72.83","72.83","72.83","14.72","14.72","14.72","48.94","48.94","48.94","67.23","67.23","67.23","68.48","68.48","68.48","71.73","71.73","71.73","75.11","75.11","75.11","72.22","72.22","72.22","66.89","66.89","66.89","71.64","71.64","71.64"
"60","73.36","73.36","73.36","29.02","29.02","29.02","54.26","54.26","54.26","65.4","65.4","65.4","50.05","50.05","50.05","71.54","71.54","71.54","74.61","74.61","74.61","70.54","70.54","70.54","74.03","74.03","74.03","72.18","72.18","72.18"
"61","54.53","54.53","54.53","15.44","15.44","15.44","43.43","43.43","43.43","60.96","60.96","60.96","59.28","59.28","59.28","69.77","69.77","69.77","72.97","72.97","72.97","71.26","71.26","71.26","70.08","70.08","70.08","69.44","69.44","69.44"
"62","64.92","64.92","64.92","23.49","23.49","23.49","64.69","64.69","64.69","50.25","50.25","50.25","67.42","67.42","67.42","65.68","65.68","65.68","71.63","71.63","71.63","68.52","68.52","68.52","73.94","73.94","73.94","72.37","72.37","72.37"
"63","72.48","72.48","72.48","23.64","23.64","23.64","57.76","57.76","57.76","45.05","45.05","45.05","66.68","66.68","66.68","70.97","70.97","70.97","71.76","71.76","71.76","72.72","72.72","72.72","74.63","74.63","74.63","69.9","69.9","69.9"
