"Step","MLConv[R=10]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=10]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=10]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","YOLO11x-DOTAv1 - metrics/mAP50(B)","YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX"
"25","0.15124","0.15124","0.15124","0.31802","0.31802","0.31802","0.02239","0.02239","0.02239","0","0","0","0","0","0","0.36724","0.36724","0.36724","0.32905","0.32905","0.32905","0.37563","0.37563","0.37563","0.34498","0.34498","0.34498","0.37156","0.37156","0.37156"
"26","0.17106","0.17106","0.17106","0.33623","0.33623","0.33623","0","0","0","0","0","0","0","0","0","0.3921","0.3921","0.3921","0.38343","0.38343","0.38343","0.38525","0.38525","0.38525","0.35668","0.35668","0.35668","0.36612","0.36612","0.36612"
"27","0.14745","0.14745","0.14745","0.3611","0.3611","0.3611","0.01674","0.01674","0.01674","0","0","0","0","0","0","0.35976","0.35976","0.35976","0.34175","0.34175","0.34175","0.3432","0.3432","0.3432","0.29852","0.29852","0.29852","0.38511","0.38511","0.38511"
"28","0.21573","0.21573","0.21573","0.33527","0.33527","0.33527","0","0","0","0","0","0","0","0","0","0.32708","0.32708","0.32708","0.37793","0.37793","0.37793","0.36638","0.36638","0.36638","0.36231","0.36231","0.36231","0.35296","0.35296","0.35296"
"29","0.16449","0.16449","0.16449","0.32337","0.32337","0.32337","0","0","0","0","0","0","0","0","0","0.38723","0.38723","0.38723","0.38683","0.38683","0.38683","0.38589","0.38589","0.38589","0.33854","0.33854","0.33854","0.40974","0.40974","0.40974"
"30","0.1933","0.1933","0.1933","0.33226","0.33226","0.33226","0","0","0","0","0","0","0","0","0","0.39272","0.39272","0.39272","0.37234","0.37234","0.37234","0.38314","0.38314","0.38314","0.3413","0.3413","0.3413","0.40317","0.40317","0.40317"
"31","0.16233","0.16233","0.16233","0.41752","0.41752","0.41752","0","0","0","0","0","0","0","0","0","0.34831","0.34831","0.34831","0.38662","0.38662","0.38662","0.38559","0.38559","0.38559","0.3823","0.3823","0.3823","0.41697","0.41697","0.41697"
"32","0.19492","0.19492","0.19492","0.37446","0.37446","0.37446","0","0","0","0","0","0","0","0","0","0.38807","0.38807","0.38807","0.39478","0.39478","0.39478","0.4005","0.4005","0.4005","0.37447","0.37447","0.37447","0.42298","0.42298","0.42298"
"33","0.22834","0.22834","0.22834","0.32872","0.32872","0.32872","0.01117","0.01117","0.01117","0","0","0","0","0","0","0.39491","0.39491","0.39491","0.38946","0.38946","0.38946","0.38898","0.38898","0.38898","0.3531","0.3531","0.3531","0.40014","0.40014","0.40014"
"34","0.19993","0.19993","0.19993","0.34522","0.34522","0.34522","0","0","0","0","0","0","0","0","0","0.37663","0.37663","0.37663","0.38336","0.38336","0.38336","0.38684","0.38684","0.38684","0.39348","0.39348","0.39348","0.41813","0.41813","0.41813"
