"Step","MTL[t=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=100]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=100]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=100]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=50]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=50]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=50]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[t=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[t=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[t=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[t=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX"
"143","0.49421","0.49421","0.49421","0.51795","0.51795","0.51795","0.46909","0.46909","0.46909","0.45301","0.45301","0.45301","0.49875","0.49875","0.49875","0.47742","0.47742","0.47742","0.0942","0.0942","0.0942","0.4276","0.4276","0.4276","0.38816","0.38816","0.38816","0.48873","0.48873","0.48873"
"144","0.50582","0.50582","0.50582","0.50286","0.50286","0.50286","0.47448","0.47448","0.47448","0.46732","0.46732","0.46732","0.50733","0.50733","0.50733","0.49091","0.49091","0.49091","0.09501","0.09501","0.09501","0.4687","0.4687","0.4687","0.39152","0.39152","0.39152","0.48408","0.48408","0.48408"
"145","0.50191","0.50191","0.50191","0.5031","0.5031","0.5031","0.47314","0.47314","0.47314","0.44109","0.44109","0.44109","0.47146","0.47146","0.47146","0.48011","0.48011","0.48011","0.0966","0.0966","0.0966","0.43572","0.43572","0.43572","0.38859","0.38859","0.38859","0.49237","0.49237","0.49237"
"146","0.50934","0.50934","0.50934","0.50912","0.50912","0.50912","0.47957","0.47957","0.47957","0.49868","0.49868","0.49868","0.4937","0.4937","0.4937","0.46903","0.46903","0.46903","0.06515","0.06515","0.06515","0.42943","0.42943","0.42943","0.38343","0.38343","0.38343","0.49826","0.49826","0.49826"
"147","0.52826","0.52826","0.52826","0.50299","0.50299","0.50299","0.48388","0.48388","0.48388","0.49287","0.49287","0.49287","0.50528","0.50528","0.50528","0.48853","0.48853","0.48853","0.06521","0.06521","0.06521","0.40057","0.40057","0.40057","0.38755","0.38755","0.38755","0.50153","0.50153","0.50153"
"148","0.48961","0.48961","0.48961","0.51048","0.51048","0.51048","0.46981","0.46981","0.46981","0.44923","0.44923","0.44923","0.49721","0.49721","0.49721","0.49949","0.49949","0.49949","0.08773","0.08773","0.08773","0.41447","0.41447","0.41447","0.3888","0.3888","0.3888","0.50186","0.50186","0.50186"
"149","0.51902","0.51902","0.51902","0.50384","0.50384","0.50384","0.49344","0.49344","0.49344","0.44765","0.44765","0.44765","0.47634","0.47634","0.47634","0.48389","0.48389","0.48389","0.09794","0.09794","0.09794","0.4229","0.4229","0.4229","0.39501","0.39501","0.39501","0.50833","0.50833","0.50833"
"150","0.5357","0.5357","0.5357","0.50057","0.50057","0.50057","0.48682","0.48682","0.48682","0.45988","0.45988","0.45988","0.51154","0.51154","0.51154","0.49585","0.49585","0.49585","0.07277","0.07277","0.07277","0.39462","0.39462","0.39462","0.40023","0.40023","0.40023","0.50199","0.50199","0.50199"
"151","0.51813","0.51813","0.51813","0.50934","0.50934","0.50934","0.50898","0.50898","0.50898","0.46867","0.46867","0.46867","0.49452","0.49452","0.49452","0.49382","0.49382","0.49382","0.0938","0.0938","0.0938","0.44026","0.44026","0.44026","0.39832","0.39832","0.39832","0.498","0.498","0.498"
"152","0.52053","0.52053","0.52053","0.51516","0.51516","0.51516","0.49192","0.49192","0.49192","0.47661","0.47661","0.47661","0.48008","0.48008","0.48008","0.49447","0.49447","0.49447","0.07805","0.07805","0.07805","0.40198","0.40198","0.40198","0.39733","0.39733","0.39733","0.50649","0.50649","0.50649"
"153","0.52048","0.52048","0.52048","0.51865","0.51865","0.51865","0.49723","0.49723","0.49723","0.46194","0.46194","0.46194","0.48663","0.48663","0.48663","0.50709","0.50709","0.50709","0.08039","0.08039","0.08039","0.39364","0.39364","0.39364","0.39956","0.39956","0.39956","0.49059","0.49059","0.49059"
"154","0.52278","0.52278","0.52278","0.49429","0.49429","0.49429","0.49147","0.49147","0.49147","0.47294","0.47294","0.47294","0.49254","0.49254","0.49254","0.49571","0.49571","0.49571","0.09868","0.09868","0.09868","0.43308","0.43308","0.43308","0.39791","0.39791","0.39791","0.49119","0.49119","0.49119"
"155","0.50122","0.50122","0.50122","0.50676","0.50676","0.50676","0.48177","0.48177","0.48177","0.45881","0.45881","0.45881","0.49975","0.49975","0.49975","0.49853","0.49853","0.49853","0.11508","0.11508","0.11508","0.40488","0.40488","0.40488","0.39308","0.39308","0.39308","0.49767","0.49767","0.49767"
"156","0.49724","0.49724","0.49724","0.5086","0.5086","0.5086","0.48403","0.48403","0.48403","0.47431","0.47431","0.47431","0.48444","0.48444","0.48444","0.4871","0.4871","0.4871","0.0537","0.0537","0.0537","0.40075","0.40075","0.40075","0.40616","0.40616","0.40616","0.48706","0.48706","0.48706"
"157","0.49918","0.49918","0.49918","0.51952","0.51952","0.51952","0.48068","0.48068","0.48068","0.467","0.467","0.467","0.4903","0.4903","0.4903","0.49668","0.49668","0.49668","0.09963","0.09963","0.09963","0.3957","0.3957","0.3957","0.38996","0.38996","0.38996","0.48185","0.48185","0.48185"
"158","0.50116","0.50116","0.50116","0.50965","0.50965","0.50965","0.48119","0.48119","0.48119","0.46658","0.46658","0.46658","0.49251","0.49251","0.49251","0.49774","0.49774","0.49774","0.09915","0.09915","0.09915","0.42837","0.42837","0.42837","0.39715","0.39715","0.39715","0.48818","0.48818","0.48818"
"159","0.4935","0.4935","0.4935","0.5009","0.5009","0.5009","0.48321","0.48321","0.48321","0.46855","0.46855","0.46855","0.49975","0.49975","0.49975","0.47015","0.47015","0.47015","0.09742","0.09742","0.09742","0.39622","0.39622","0.39622","0.38997","0.38997","0.38997","0.49737","0.49737","0.49737"
"160","0.51316","0.51316","0.51316","0.51147","0.51147","0.51147","0.47466","0.47466","0.47466","0.47487","0.47487","0.47487","0.49864","0.49864","0.49864","0.4841","0.4841","0.4841","0.11415","0.11415","0.11415","0.40174","0.40174","0.40174","0.38627","0.38627","0.38627","0.49002","0.49002","0.49002"
"161","0.51899","0.51899","0.51899","0.50279","0.50279","0.50279","0.48513","0.48513","0.48513","0.4718","0.4718","0.4718","0.49407","0.49407","0.49407","0.50906","0.50906","0.50906","0.10639","0.10639","0.10639","0.43478","0.43478","0.43478","0.39308","0.39308","0.39308","0.48445","0.48445","0.48445"
"162","0.5169","0.5169","0.5169","0.52357","0.52357","0.52357","0.51807","0.51807","0.51807","0.46766","0.46766","0.46766","0.50677","0.50677","0.50677","0.49072","0.49072","0.49072","0.11999","0.11999","0.11999","0.42578","0.42578","0.42578","0.43037","0.43037","0.43037","0.48556","0.48556","0.48556"
"163","0.51459","0.51459","0.51459","0.50989","0.50989","0.50989","0.47496","0.47496","0.47496","0.43469","0.43469","0.43469","0.50383","0.50383","0.50383","0.48612","0.48612","0.48612","0.13171","0.13171","0.13171","0.39666","0.39666","0.39666","0.38064","0.38064","0.38064","0.48467","0.48467","0.48467"
"164","0.53138","0.53138","0.53138","0.51582","0.51582","0.51582","0.47754","0.47754","0.47754","0.45658","0.45658","0.45658","0.49451","0.49451","0.49451","0.49181","0.49181","0.49181","0.06446","0.06446","0.06446","0.40239","0.40239","0.40239","0.39767","0.39767","0.39767","0.49292","0.49292","0.49292"
"165","0.49832","0.49832","0.49832","0.50624","0.50624","0.50624","0.47252","0.47252","0.47252","0.44984","0.44984","0.44984","0.50025","0.50025","0.50025","0.49159","0.49159","0.49159","0.08159","0.08159","0.08159","0.41833","0.41833","0.41833","0.39381","0.39381","0.39381","0.4925","0.4925","0.4925"
"166","0.4991","0.4991","0.4991","0.51373","0.51373","0.51373","0.48976","0.48976","0.48976","0.47631","0.47631","0.47631","0.49683","0.49683","0.49683","0.50327","0.50327","0.50327","0.07296","0.07296","0.07296","0.43293","0.43293","0.43293","0.39165","0.39165","0.39165","0.50536","0.50536","0.50536"
"167","0.48974","0.48974","0.48974","0.5148","0.5148","0.5148","0.48335","0.48335","0.48335","0.46563","0.46563","0.46563","0.49957","0.49957","0.49957","0.48509","0.48509","0.48509","0.07518","0.07518","0.07518","0.46013","0.46013","0.46013","0.39286","0.39286","0.39286","0.50458","0.50458","0.50458"
"168","0.52406","0.52406","0.52406","0.51293","0.51293","0.51293","0.50245","0.50245","0.50245","0.4664","0.4664","0.4664","0.50843","0.50843","0.50843","0.50523","0.50523","0.50523","0.0972","0.0972","0.0972","0.43238","0.43238","0.43238","0.39806","0.39806","0.39806","0.51144","0.51144","0.51144"
"169","0.51498","0.51498","0.51498","0.51884","0.51884","0.51884","0.48787","0.48787","0.48787","0.45773","0.45773","0.45773","0.51898","0.51898","0.51898","0.48894","0.48894","0.48894","0.09053","0.09053","0.09053","0.43056","0.43056","0.43056","0.40064","0.40064","0.40064","0.50177","0.50177","0.50177"
"170","0.48384","0.48384","0.48384","0.51399","0.51399","0.51399","0.47478","0.47478","0.47478","0.45106","0.45106","0.45106","0.49181","0.49181","0.49181","0.49881","0.49881","0.49881","0.08812","0.08812","0.08812","0.43153","0.43153","0.43153","0.39404","0.39404","0.39404","0.50366","0.50366","0.50366"
"171","0.50555","0.50555","0.50555","0.50378","0.50378","0.50378","0.48209","0.48209","0.48209","0.47314","0.47314","0.47314","0.4889","0.4889","0.4889","0.49342","0.49342","0.49342","0.10974","0.10974","0.10974","0.39895","0.39895","0.39895","0.43195","0.43195","0.43195","0.48119","0.48119","0.48119"
"172","0.50398","0.50398","0.50398","0.50019","0.50019","0.50019","0.49247","0.49247","0.49247","0.47786","0.47786","0.47786","0.48218","0.48218","0.48218","0.48872","0.48872","0.48872","0.09839","0.09839","0.09839","0.41256","0.41256","0.41256","0.41585","0.41585","0.41585","0.48956","0.48956","0.48956"
"173","0.5039","0.5039","0.5039","0.5174","0.5174","0.5174","0.4755","0.4755","0.4755","0.435","0.435","0.435","0.49108","0.49108","0.49108","0.49734","0.49734","0.49734","0.12491","0.12491","0.12491","0.39665","0.39665","0.39665","0.42857","0.42857","0.42857","0.48538","0.48538","0.48538"
"174","0.52621","0.52621","0.52621","0.51765","0.51765","0.51765","0.48478","0.48478","0.48478","0.45783","0.45783","0.45783","0.49669","0.49669","0.49669","0.50564","0.50564","0.50564","0.10135","0.10135","0.10135","0.44509","0.44509","0.44509","0.38388","0.38388","0.38388","0.49749","0.49749","0.49749"
"175","0.5202","0.5202","0.5202","0.52271","0.52271","0.52271","0.4745","0.4745","0.4745","0.47866","0.47866","0.47866","0.49536","0.49536","0.49536","0.49776","0.49776","0.49776","0.07297","0.07297","0.07297","0.44268","0.44268","0.44268","0.43871","0.43871","0.43871","0.49951","0.49951","0.49951"
"176","0.51994","0.51994","0.51994","0.50405","0.50405","0.50405","0.4744","0.4744","0.4744","0.47196","0.47196","0.47196","0.49507","0.49507","0.49507","0.49191","0.49191","0.49191","0.07536","0.07536","0.07536","0.42855","0.42855","0.42855","0.42544","0.42544","0.42544","0.49958","0.49958","0.49958"
"177","0.5052","0.5052","0.5052","0.51736","0.51736","0.51736","0.48146","0.48146","0.48146","0.46742","0.46742","0.46742","0.50399","0.50399","0.50399","0.49167","0.49167","0.49167","0.08897","0.08897","0.08897","0.41057","0.41057","0.41057","0.42828","0.42828","0.42828","0.49911","0.49911","0.49911"
"178","0.51632","0.51632","0.51632","0.51314","0.51314","0.51314","0.48853","0.48853","0.48853","0.48361","0.48361","0.48361","0.49261","0.49261","0.49261","0.49441","0.49441","0.49441","0.13293","0.13293","0.13293","0.44562","0.44562","0.44562","0.3972","0.3972","0.3972","0.50997","0.50997","0.50997"
"179","0.52035","0.52035","0.52035","0.52002","0.52002","0.52002","0.47534","0.47534","0.47534","0.51108","0.51108","0.51108","0.49086","0.49086","0.49086","0.50105","0.50105","0.50105","0.12227","0.12227","0.12227","0.43062","0.43062","0.43062","0.43255","0.43255","0.43255","0.50282","0.50282","0.50282"
"180","0.5204","0.5204","0.5204","0.51013","0.51013","0.51013","0.49863","0.49863","0.49863","0.49573","0.49573","0.49573","0.49586","0.49586","0.49586","0.50573","0.50573","0.50573","0.12496","0.12496","0.12496","0.42303","0.42303","0.42303","0.41881","0.41881","0.41881","0.50967","0.50967","0.50967"
"181","0.51585","0.51585","0.51585","0.51236","0.51236","0.51236","0.49017","0.49017","0.49017","0.50634","0.50634","0.50634","0.51093","0.51093","0.51093","0.50005","0.50005","0.50005","0.06614","0.06614","0.06614","0.42","0.42","0.42","0.41374","0.41374","0.41374","0.51348","0.51348","0.51348"
"182","0.52516","0.52516","0.52516","0.50336","0.50336","0.50336","0.49043","0.49043","0.49043","0.46837","0.46837","0.46837","0.50335","0.50335","0.50335","0.49725","0.49725","0.49725","0.11642","0.11642","0.11642","0.41172","0.41172","0.41172","0.39914","0.39914","0.39914","0.49528","0.49528","0.49528"
"183","0.51796","0.51796","0.51796","0.50661","0.50661","0.50661","0.52293","0.52293","0.52293","0.50675","0.50675","0.50675","0.50767","0.50767","0.50767","0.50959","0.50959","0.50959","0.07872","0.07872","0.07872","0.42842","0.42842","0.42842","0.41149","0.41149","0.41149","0.49782","0.49782","0.49782"
"184","0.52014","0.52014","0.52014","0.50937","0.50937","0.50937","0.47035","0.47035","0.47035","0.47403","0.47403","0.47403","0.49499","0.49499","0.49499","0.49642","0.49642","0.49642","0.07855","0.07855","0.07855","0.418","0.418","0.418","0.42997","0.42997","0.42997","0.50278","0.50278","0.50278"
"185","0.50959","0.50959","0.50959","0.51153","0.51153","0.51153","0.4729","0.4729","0.4729","0.47681","0.47681","0.47681","0.5014","0.5014","0.5014","0.49139","0.49139","0.49139","0.10414","0.10414","0.10414","0.45791","0.45791","0.45791","0.43075","0.43075","0.43075","0.50483","0.50483","0.50483"
"186","0.51337","0.51337","0.51337","0.5145","0.5145","0.5145","0.47979","0.47979","0.47979","0.47308","0.47308","0.47308","0.50681","0.50681","0.50681","0.4974","0.4974","0.4974","0.11609","0.11609","0.11609","0.44276","0.44276","0.44276","0.39942","0.39942","0.39942","0.51593","0.51593","0.51593"
"187","0.52433","0.52433","0.52433","0.50946","0.50946","0.50946","0.48764","0.48764","0.48764","0.47921","0.47921","0.47921","0.51746","0.51746","0.51746","0.49005","0.49005","0.49005","0.08268","0.08268","0.08268","0.43134","0.43134","0.43134","0.39914","0.39914","0.39914","0.5044","0.5044","0.5044"
"188","0.5251","0.5251","0.5251","0.51187","0.51187","0.51187","0.49469","0.49469","0.49469","0.47859","0.47859","0.47859","0.50149","0.50149","0.50149","0.50055","0.50055","0.50055","0.0523","0.0523","0.0523","0.47233","0.47233","0.47233","0.46574","0.46574","0.46574","0.49528","0.49528","0.49528"
"189","0.52195","0.52195","0.52195","0.51541","0.51541","0.51541","0.49862","0.49862","0.49862","0.46295","0.46295","0.46295","0.50374","0.50374","0.50374","0.50399","0.50399","0.50399","0.06581","0.06581","0.06581","0.44393","0.44393","0.44393","0.40832","0.40832","0.40832","0.50516","0.50516","0.50516"
"190","0.52369","0.52369","0.52369","0.50738","0.50738","0.50738","0.50598","0.50598","0.50598","0.47286","0.47286","0.47286","0.5037","0.5037","0.5037","0.4963","0.4963","0.4963","0.08801","0.08801","0.08801","0.4341","0.4341","0.4341","0.43879","0.43879","0.43879","0.5057","0.5057","0.5057"
"191","0.51416","0.51416","0.51416","0.51665","0.51665","0.51665","0.51912","0.51912","0.51912","0.47372","0.47372","0.47372","0.49573","0.49573","0.49573","0.5015","0.5015","0.5015","0.13189","0.13189","0.13189","0.43724","0.43724","0.43724","0.40361","0.40361","0.40361","0.50585","0.50585","0.50585"
"192","0.52229","0.52229","0.52229","0.5198","0.5198","0.5198","0.51942","0.51942","0.51942","0.47512","0.47512","0.47512","0.4975","0.4975","0.4975","0.50688","0.50688","0.50688","0.10439","0.10439","0.10439","0.42589","0.42589","0.42589","0.42638","0.42638","0.42638","0.50046","0.50046","0.50046"
"193","0.52207","0.52207","0.52207","0.51904","0.51904","0.51904","0.5148","0.5148","0.5148","0.48099","0.48099","0.48099","0.49774","0.49774","0.49774","0.51607","0.51607","0.51607","0.07658","0.07658","0.07658","0.42808","0.42808","0.42808","0.43427","0.43427","0.43427","0.49389","0.49389","0.49389"
"194","0.51617","0.51617","0.51617","0.52053","0.52053","0.52053","0.5174","0.5174","0.5174","0.46963","0.46963","0.46963","0.50041","0.50041","0.50041","0.51476","0.51476","0.51476","0.11448","0.11448","0.11448","0.42941","0.42941","0.42941","0.49562","0.49562","0.49562","0.51647","0.51647","0.51647"
"195","0.52911","0.52911","0.52911","0.5189","0.5189","0.5189","0.49376","0.49376","0.49376","0.4964","0.4964","0.4964","0.51447","0.51447","0.51447","0.50334","0.50334","0.50334","0.06624","0.06624","0.06624","0.42288","0.42288","0.42288","0.48143","0.48143","0.48143","0.5125","0.5125","0.5125"
"196","0.53111","0.53111","0.53111","0.51512","0.51512","0.51512","0.47901","0.47901","0.47901","0.4802","0.4802","0.4802","0.5033","0.5033","0.5033","0.50844","0.50844","0.50844","0.11532","0.11532","0.11532","0.44664","0.44664","0.44664","0.48807","0.48807","0.48807","0.50896","0.50896","0.50896"
"197","0.51973","0.51973","0.51973","0.509","0.509","0.509","0.50958","0.50958","0.50958","0.47194","0.47194","0.47194","0.49828","0.49828","0.49828","0.49306","0.49306","0.49306","0.04798","0.04798","0.04798","0.46861","0.46861","0.46861","0.49955","0.49955","0.49955","0.50648","0.50648","0.50648"
"198","0.5256","0.5256","0.5256","0.51945","0.51945","0.51945","0.51924","0.51924","0.51924","0.47126","0.47126","0.47126","0.50438","0.50438","0.50438","0.49968","0.49968","0.49968","0.12072","0.12072","0.12072","0.41212","0.41212","0.41212","0.47276","0.47276","0.47276","0.51759","0.51759","0.51759"
"199","0.52421","0.52421","0.52421","0.51491","0.51491","0.51491","0.51232","0.51232","0.51232","0.49614","0.49614","0.49614","0.49218","0.49218","0.49218","0.50839","0.50839","0.50839","0.09923","0.09923","0.09923","0.43222","0.43222","0.43222","0.45517","0.45517","0.45517","0.50903","0.50903","0.50903"
"200","0.52974","0.52974","0.52974","0.51818","0.51818","0.51818","0.4965","0.4965","0.4965","0.48817","0.48817","0.48817","0.49902","0.49902","0.49902","0.5074","0.5074","0.5074","0.09427","0.09427","0.09427","0.46469","0.46469","0.46469","0.44254","0.44254","0.44254","0.50374","0.50374","0.50374"
"201","0.52129","0.52129","0.52129","0.52382","0.52382","0.52382","0.48506","0.48506","0.48506","0.4533","0.4533","0.4533","0.5023","0.5023","0.5023","0.50986","0.50986","0.50986","0.09074","0.09074","0.09074","0.42792","0.42792","0.42792","0.47941","0.47941","0.47941","0.50643","0.50643","0.50643"
"202","0.51504","0.51504","0.51504","0.5131","0.5131","0.5131","0.50119","0.50119","0.50119","0.46417","0.46417","0.46417","0.4875","0.4875","0.4875","0.51115","0.51115","0.51115","0.0997","0.0997","0.0997","0.41203","0.41203","0.41203","0.44428","0.44428","0.44428","0.50273","0.50273","0.50273"
"203","0.5269","0.5269","0.5269","0.50726","0.50726","0.50726","0.47743","0.47743","0.47743","0.47098","0.47098","0.47098","0.50457","0.50457","0.50457","0.51292","0.51292","0.51292","0.12182","0.12182","0.12182","0.43181","0.43181","0.43181","0.44665","0.44665","0.44665","0.50861","0.50861","0.50861"
"204","0.5269","0.5269","0.5269","0.5127","0.5127","0.5127","0.49885","0.49885","0.49885","0.49594","0.49594","0.49594","0.50382","0.50382","0.50382","0.50458","0.50458","0.50458","0.11511","0.11511","0.11511","0.4289","0.4289","0.4289","0.44931","0.44931","0.44931","0.50836","0.50836","0.50836"
"205","0.52782","0.52782","0.52782","0.51246","0.51246","0.51246","0.49827","0.49827","0.49827","0.5087","0.5087","0.5087","0.50756","0.50756","0.50756","0.49247","0.49247","0.49247","0.12591","0.12591","0.12591","0.43971","0.43971","0.43971","0.48259","0.48259","0.48259","0.5009","0.5009","0.5009"
"206","0.52517","0.52517","0.52517","0.52448","0.52448","0.52448","0.49664","0.49664","0.49664","0.4639","0.4639","0.4639","0.5051","0.5051","0.5051","0.50824","0.50824","0.50824","0.10748","0.10748","0.10748","0.43295","0.43295","0.43295","0.48084","0.48084","0.48084","0.49642","0.49642","0.49642"
"207","0.52269","0.52269","0.52269","0.52269","0.52269","0.52269","0.47962","0.47962","0.47962","0.46998","0.46998","0.46998","0.50073","0.50073","0.50073","0.50899","0.50899","0.50899","0.11826","0.11826","0.11826","0.43204","0.43204","0.43204","0.50161","0.50161","0.50161","0.50695","0.50695","0.50695"
"208","0.52147","0.52147","0.52147","0.52067","0.52067","0.52067","0.51501","0.51501","0.51501","0.47965","0.47965","0.47965","0.51051","0.51051","0.51051","0.50149","0.50149","0.50149","0.09554","0.09554","0.09554","0.4383","0.4383","0.4383","0.47622","0.47622","0.47622","0.50649","0.50649","0.50649"
"209","0.52335","0.52335","0.52335","0.52715","0.52715","0.52715","0.48217","0.48217","0.48217","0.51188","0.51188","0.51188","0.5115480283016233","0.5115480283016233","0.5115480283016233","0.50545","0.50545","0.50545","0.10005","0.10005","0.10005","0.44524","0.44524","0.44524","0.49005","0.49005","0.49005","0.50856","0.50856","0.50856"
"210","0.53159","0.53159","0.53159","0.51741","0.51741","0.51741","0.52159","0.52159","0.52159","0.51999","0.51999","0.51999","","","","0.50825","0.50825","0.50825","0.1226","0.1226","0.1226","0.43471","0.43471","0.43471","0.4044","0.4044","0.4044","0.51325","0.51325","0.51325"
"211","0.52447","0.52447","0.52447","0.52774","0.52774","0.52774","0.48164","0.48164","0.48164","0.51873","0.51873","0.51873","","","","0.49629","0.49629","0.49629","0.08303","0.08303","0.08303","0.43803","0.43803","0.43803","0.48263","0.48263","0.48263","0.50287","0.50287","0.50287"
"212","0.52698","0.52698","0.52698","0.52762","0.52762","0.52762","0.48113","0.48113","0.48113","0.48571","0.48571","0.48571","","","","0.49884","0.49884","0.49884","0.11065","0.11065","0.11065","0.44347","0.44347","0.44347","0.47051","0.47051","0.47051","0.51654","0.51654","0.51654"
"213","0.52756","0.52756","0.52756","0.52246","0.52246","0.52246","0.48135","0.48135","0.48135","0.46729","0.46729","0.46729","","","","0.50113","0.50113","0.50113","0.07951","0.07951","0.07951","0.45415","0.45415","0.45415","0.44613","0.44613","0.44613","0.50689","0.50689","0.50689"
"214","0.52357","0.52357","0.52357","0.51619","0.51619","0.51619","0.48732","0.48732","0.48732","0.47628","0.47628","0.47628","","","","0.49069","0.49069","0.49069","0.10153","0.10153","0.10153","0.45096","0.45096","0.45096","0.44504","0.44504","0.44504","0.50561","0.50561","0.50561"
"215","0.52667","0.52667","0.52667","0.51622","0.51622","0.51622","0.48053","0.48053","0.48053","0.46823","0.46823","0.46823","","","","0.49452","0.49452","0.49452","0.09168","0.09168","0.09168","0.47905","0.47905","0.47905","0.48998","0.48998","0.48998","0.51063","0.51063","0.51063"
"216","0.52501","0.52501","0.52501","0.51805","0.51805","0.51805","0.4997","0.4997","0.4997","0.50482","0.50482","0.50482","","","","0.5111","0.5111","0.5111","0.08448","0.08448","0.08448","0.4692","0.4692","0.4692","0.49277","0.49277","0.49277","0.51338","0.51338","0.51338"
"217","0.53518","0.53518","0.53518","0.52366","0.52366","0.52366","0.50193","0.50193","0.50193","0.50936","0.50936","0.50936","","","","0.50961","0.50961","0.50961","0.07362","0.07362","0.07362","0.4816","0.4816","0.4816","0.5149","0.5149","0.5149","0.50709","0.50709","0.50709"
"218","0.53252","0.53252","0.53252","0.52207","0.52207","0.52207","0.50908","0.50908","0.50908","0.47954","0.47954","0.47954","","","","0.51682","0.51682","0.51682","0.09927","0.09927","0.09927","0.48091","0.48091","0.48091","0.47672","0.47672","0.47672","0.50489","0.50489","0.50489"
"219","0.53112","0.53112","0.53112","0.52064","0.52064","0.52064","0.50936","0.50936","0.50936","0.47529","0.47529","0.47529","","","","0.52069","0.52069","0.52069","0.06676","0.06676","0.06676","0.47694","0.47694","0.47694","0.4741","0.4741","0.4741","0.50674","0.50674","0.50674"
"220","0.52685","0.52685","0.52685","0.51668","0.51668","0.51668","0.50605","0.50605","0.50605","0.4777","0.4777","0.4777","","","","0.4997","0.4997","0.4997","0.0662","0.0662","0.0662","0.45093","0.45093","0.45093","0.4789","0.4789","0.4789","0.50095","0.50095","0.50095"
"221","0.53558","0.53558","0.53558","0.51512","0.51512","0.51512","0.51955","0.51955","0.51955","0.50469","0.50469","0.50469","","","","0.51863","0.51863","0.51863","0.0549","0.0549","0.0549","0.44959","0.44959","0.44959","0.46257","0.46257","0.46257","0.5098","0.5098","0.5098"
"222","0.52922","0.52922","0.52922","0.51698","0.51698","0.51698","0.51619","0.51619","0.51619","0.46496","0.46496","0.46496","","","","0.52129","0.52129","0.52129","0.09646","0.09646","0.09646","0.44966","0.44966","0.44966","0.47032","0.47032","0.47032","0.51201","0.51201","0.51201"
"223","0.52801","0.52801","0.52801","0.52007","0.52007","0.52007","0.50326","0.50326","0.50326","0.47923","0.47923","0.47923","","","","0.51122","0.51122","0.51122","0.13855","0.13855","0.13855","0.45545","0.45545","0.45545","0.5021","0.5021","0.5021","0.50334","0.50334","0.50334"
"224","0.5329","0.5329","0.5329","0.52234","0.52234","0.52234","0.51768","0.51768","0.51768","0.47269","0.47269","0.47269","","","","0.52062","0.52062","0.52062","0.13162","0.13162","0.13162","0.44199","0.44199","0.44199","0.46781","0.46781","0.46781","0.51262","0.51262","0.51262"
"225","0.53377","0.53377","0.53377","0.522","0.522","0.522","0.48178","0.48178","0.48178","0.50688","0.50688","0.50688","","","","0.52","0.52","0.52","0.1054","0.1054","0.1054","0.44703","0.44703","0.44703","0.47328","0.47328","0.47328","0.5072","0.5072","0.5072"
"226","0.52381","0.52381","0.52381","0.52498","0.52498","0.52498","0.50642","0.50642","0.50642","0.47086","0.47086","0.47086","","","","0.50018","0.50018","0.50018","0.07747","0.07747","0.07747","0.48446","0.48446","0.48446","0.4377","0.4377","0.4377","0.51708","0.51708","0.51708"
