"Step","MTL[t=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=100]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=100]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=100]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=50]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=50]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=50]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[t=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[t=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[t=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[t=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX"
"25","0.30249","0.30249","0.30249","0.35009","0.35009","0.35009","0.35011","0.35011","0.35011","0.24632","0.24632","0.24632","0.34368","0.34368","0.34368","0.31802","0.31802","0.31802","0.02239","0.02239","0.02239","0","0","0","0","0","0","0.36724","0.36724","0.36724"
"26","0.37823","0.37823","0.37823","0.3507","0.3507","0.3507","0.29699","0.29699","0.29699","0.2847","0.2847","0.2847","0.39287","0.39287","0.39287","0.33623","0.33623","0.33623","0","0","0","0","0","0","0","0","0","0.3921","0.3921","0.3921"
"27","0.39954","0.39954","0.39954","0.32488","0.32488","0.32488","0.34379","0.34379","0.34379","0.26859","0.26859","0.26859","0.35942","0.35942","0.35942","0.3611","0.3611","0.3611","0.01674","0.01674","0.01674","0","0","0","0","0","0","0.35976","0.35976","0.35976"
"28","0.37215","0.37215","0.37215","0.32494","0.32494","0.32494","0.32484","0.32484","0.32484","0.28708","0.28708","0.28708","0.35892","0.35892","0.35892","0.33527","0.33527","0.33527","0","0","0","0","0","0","0","0","0","0.32708","0.32708","0.32708"
"29","0.39601","0.39601","0.39601","0.37499","0.37499","0.37499","0.31382","0.31382","0.31382","0.26251","0.26251","0.26251","0.35568","0.35568","0.35568","0.32337","0.32337","0.32337","0","0","0","0","0","0","0","0","0","0.38723","0.38723","0.38723"
"30","0.3908","0.3908","0.3908","0.37122","0.37122","0.37122","0.32445","0.32445","0.32445","0.29041","0.29041","0.29041","0.4014","0.4014","0.4014","0.33226","0.33226","0.33226","0","0","0","0","0","0","0","0","0","0.39272","0.39272","0.39272"
"31","0.38756","0.38756","0.38756","0.37861","0.37861","0.37861","0.36067","0.36067","0.36067","0.27412","0.27412","0.27412","0.38686","0.38686","0.38686","0.41752","0.41752","0.41752","0","0","0","0","0","0","0","0","0","0.34831","0.34831","0.34831"
"32","0.36434","0.36434","0.36434","0.33486","0.33486","0.33486","0.25174","0.25174","0.25174","0.29226","0.29226","0.29226","0.3943","0.3943","0.3943","0.37446","0.37446","0.37446","0","0","0","0","0","0","0","0","0","0.38807","0.38807","0.38807"
"33","0.3879","0.3879","0.3879","0.35088","0.35088","0.35088","0.28003","0.28003","0.28003","0.26123","0.26123","0.26123","0.38765","0.38765","0.38765","0.32872","0.32872","0.32872","0.01117","0.01117","0.01117","0","0","0","0","0","0","0.39491","0.39491","0.39491"
"34","0.39205","0.39205","0.39205","0.3811","0.3811","0.3811","0.3282","0.3282","0.3282","0.33468","0.33468","0.33468","0.39376","0.39376","0.39376","0.34522","0.34522","0.34522","0","0","0","0","0","0","0","0","0","0.37663","0.37663","0.37663"
