"Step","MLConv[R=50]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLConv[R=50]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLConv[R=50]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLConv[R=150]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLConv[R=150]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLConv[R=150]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=23]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=23]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=23]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLConv[R=100]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLConv[R=100]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLConv[R=100]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=16]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=16]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=16]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=30]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=30]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=30]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","YOLO11x-DOTAv1-23 - metrics/mAP50(B)","YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=36]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=36]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=36]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX"
"142","0.46357","0.46357","0.46357","0.45406","0.45406","0.45406","0.4792","0.4792","0.4792","0.47152","0.47152","0.47152","0.4275","0.4275","0.4275","0.4821","0.4821","0.4821","0.47878","0.47878","0.47878","0.29694","0.29694","0.29694","0.48668","0.48668","0.48668","0.14067","0.14067","0.14067"
"143","0.43471","0.43471","0.43471","0.47022","0.47022","0.47022","0.48227","0.48227","0.48227","0.46271","0.46271","0.46271","0.43357","0.43357","0.43357","0.47326","0.47326","0.47326","0.48663","0.48663","0.48663","0.32405","0.32405","0.32405","0.47711","0.47711","0.47711","0.16782","0.16782","0.16782"
"144","0.47009","0.47009","0.47009","0.40983","0.40983","0.40983","0.47269","0.47269","0.47269","0.44892","0.44892","0.44892","0.44023","0.44023","0.44023","0.47423","0.47423","0.47423","0.4776","0.4776","0.4776","0.26819","0.26819","0.26819","0.47202","0.47202","0.47202","0.23448","0.23448","0.23448"
"145","0.46449","0.46449","0.46449","0.45179","0.45179","0.45179","0.48426","0.48426","0.48426","0.4419","0.4419","0.4419","0.43009","0.43009","0.43009","0.47775","0.47775","0.47775","0.48171","0.48171","0.48171","0.34535","0.34535","0.34535","0.48102","0.48102","0.48102","0.23883","0.23883","0.23883"
"146","0.46506","0.46506","0.46506","0.44013","0.44013","0.44013","0.48669","0.48669","0.48669","0.46387","0.46387","0.46387","0.4426","0.4426","0.4426","0.47507","0.47507","0.47507","0.47321","0.47321","0.47321","0.35716","0.35716","0.35716","0.4812","0.4812","0.4812","0.27305","0.27305","0.27305"
"147","0.43573","0.43573","0.43573","0.43744","0.43744","0.43744","0.4833","0.4833","0.4833","0.45162","0.45162","0.45162","0.45492","0.45492","0.45492","0.48676","0.48676","0.48676","0.47802","0.47802","0.47802","0.32804","0.32804","0.32804","0.48636","0.48636","0.48636","0.24424","0.24424","0.24424"
"148","0.42723","0.42723","0.42723","0.41143","0.41143","0.41143","0.47703","0.47703","0.47703","0.4583","0.4583","0.4583","0.40445","0.40445","0.40445","0.47588","0.47588","0.47588","0.48289","0.48289","0.48289","0.34035","0.34035","0.34035","0.46327","0.46327","0.46327","0.20398","0.20398","0.20398"
"149","0.46175","0.46175","0.46175","0.4632","0.4632","0.4632","0.47409","0.47409","0.47409","0.46667","0.46667","0.46667","0.46205","0.46205","0.46205","0.48757","0.48757","0.48757","0.47589","0.47589","0.47589","0.35296","0.35296","0.35296","0.47738","0.47738","0.47738","0.25645","0.25645","0.25645"
"150","0.45007","0.45007","0.45007","0.46039","0.46039","0.46039","0.47878","0.47878","0.47878","0.46688","0.46688","0.46688","0.45692","0.45692","0.45692","0.46719","0.46719","0.46719","0.47497","0.47497","0.47497","0.32353","0.32353","0.32353","0.47482","0.47482","0.47482","0.23293","0.23293","0.23293"
"151","0.4629","0.4629","0.4629","0.43894","0.43894","0.43894","0.48441","0.48441","0.48441","0.47309","0.47309","0.47309","0.42158","0.42158","0.42158","0.47051","0.47051","0.47051","0.49178","0.49178","0.49178","0.37215","0.37215","0.37215","0.47307","0.47307","0.47307","0.30049","0.30049","0.30049"
"152","0.46916","0.46916","0.46916","0.46437","0.46437","0.46437","0.49186","0.49186","0.49186","0.45527","0.45527","0.45527","0.44733","0.44733","0.44733","0.46461","0.46461","0.46461","0.46788","0.46788","0.46788","0.3273","0.3273","0.3273","0.47063","0.47063","0.47063","0.23869","0.23869","0.23869"
"153","0.46489","0.46489","0.46489","0.45964","0.45964","0.45964","0.47842","0.47842","0.47842","0.4771","0.4771","0.4771","0.41206","0.41206","0.41206","0.48184","0.48184","0.48184","0.47952","0.47952","0.47952","0.3661","0.3661","0.3661","0.48131","0.48131","0.48131","0.29911","0.29911","0.29911"
"154","0.46396","0.46396","0.46396","0.47015","0.47015","0.47015","0.48538","0.48538","0.48538","0.46336","0.46336","0.46336","0.41992","0.41992","0.41992","0.48059","0.48059","0.48059","0.47373","0.47373","0.47373","0.32326","0.32326","0.32326","0.48193","0.48193","0.48193","0.23437","0.23437","0.23437"
"155","0.46631","0.46631","0.46631","0.45294","0.45294","0.45294","0.48259","0.48259","0.48259","0.45646","0.45646","0.45646","0.40515","0.40515","0.40515","0.47371","0.47371","0.47371","0.46234","0.46234","0.46234","0.37309","0.37309","0.37309","0.47002","0.47002","0.47002","0.30762","0.30762","0.30762"
"156","0.46866","0.46866","0.46866","0.46113","0.46113","0.46113","0.4735","0.4735","0.4735","0.46668","0.46668","0.46668","0.42414","0.42414","0.42414","0.46667","0.46667","0.46667","0.48001","0.48001","0.48001","0.35949","0.35949","0.35949","0.47651","0.47651","0.47651","0.30129","0.30129","0.30129"
"157","0.45523","0.45523","0.45523","0.47972","0.47972","0.47972","0.49196","0.49196","0.49196","0.46812","0.46812","0.46812","0.43314","0.43314","0.43314","0.48193","0.48193","0.48193","0.48037","0.48037","0.48037","0.35802","0.35802","0.35802","0.48057","0.48057","0.48057","0.3696","0.3696","0.3696"
"158","0.42664","0.42664","0.42664","0.45765","0.45765","0.45765","0.4853","0.4853","0.4853","0.47784","0.47784","0.47784","0.40152","0.40152","0.40152","0.47837","0.47837","0.47837","0.48458","0.48458","0.48458","0.31992","0.31992","0.31992","0.47407","0.47407","0.47407","0.32741","0.32741","0.32741"
"159","0.47402","0.47402","0.47402","0.47977","0.47977","0.47977","0.48811","0.48811","0.48811","0.48061","0.48061","0.48061","0.43377","0.43377","0.43377","0.48135","0.48135","0.48135","0.47821","0.47821","0.47821","0.3558","0.3558","0.3558","0.47254","0.47254","0.47254","0.32882","0.32882","0.32882"
"160","0.43636","0.43636","0.43636","0.4693","0.4693","0.4693","0.4928","0.4928","0.4928","0.4636","0.4636","0.4636","0.47904","0.47904","0.47904","0.48281","0.48281","0.48281","0.48347","0.48347","0.48347","0.37138","0.37138","0.37138","0.47728","0.47728","0.47728","0.36672","0.36672","0.36672"
"161","0.47681","0.47681","0.47681","0.48178","0.48178","0.48178","0.47418","0.47418","0.47418","0.4595","0.4595","0.4595","0.42918","0.42918","0.42918","0.48179","0.48179","0.48179","0.47883","0.47883","0.47883","0.36863","0.36863","0.36863","0.47686","0.47686","0.47686","0.33779","0.33779","0.33779"
"162","0.47547","0.47547","0.47547","0.47224","0.47224","0.47224","0.47923","0.47923","0.47923","0.46465","0.46465","0.46465","0.42451","0.42451","0.42451","0.47668","0.47668","0.47668","0.47626","0.47626","0.47626","0.36703","0.36703","0.36703","0.47865","0.47865","0.47865","0.30483","0.30483","0.30483"
"163","0.46156","0.46156","0.46156","0.46617","0.46617","0.46617","0.47066","0.47066","0.47066","0.45625","0.45625","0.45625","0.42258","0.42258","0.42258","0.4841","0.4841","0.4841","0.47969","0.47969","0.47969","0.37752","0.37752","0.37752","0.47909","0.47909","0.47909","0.36393","0.36393","0.36393"
"164","0.47186","0.47186","0.47186","0.46864","0.46864","0.46864","0.48948","0.48948","0.48948","0.47939","0.47939","0.47939","0.45304","0.45304","0.45304","0.48453","0.48453","0.48453","0.48768","0.48768","0.48768","0.37994","0.37994","0.37994","0.47355","0.47355","0.47355","0.33511","0.33511","0.33511"
"165","0.44299","0.44299","0.44299","0.4648","0.4648","0.4648","0.46554","0.46554","0.46554","0.46576","0.46576","0.46576","0.41739","0.41739","0.41739","0.46966","0.46966","0.46966","0.48623","0.48623","0.48623","0.37192","0.37192","0.37192","0.47524","0.47524","0.47524","0.37435","0.37435","0.37435"
"166","0.47342","0.47342","0.47342","0.44331","0.44331","0.44331","0.46934","0.46934","0.46934","0.46771","0.46771","0.46771","0.42931","0.42931","0.42931","0.47961","0.47961","0.47961","0.48423","0.48423","0.48423","0.38739","0.38739","0.38739","0.49029","0.49029","0.49029","0.33554","0.33554","0.33554"
"167","0.47027","0.47027","0.47027","0.47156","0.47156","0.47156","0.48365","0.48365","0.48365","0.47584","0.47584","0.47584","0.44574","0.44574","0.44574","0.47766","0.47766","0.47766","0.4799","0.4799","0.4799","0.35234","0.35234","0.35234","0.47653","0.47653","0.47653","0.34676","0.34676","0.34676"
"168","0.4664","0.4664","0.4664","0.47689","0.47689","0.47689","0.46093","0.46093","0.46093","0.45961","0.45961","0.45961","0.42671","0.42671","0.42671","0.47392","0.47392","0.47392","0.48498","0.48498","0.48498","0.36312","0.36312","0.36312","0.47107","0.47107","0.47107","0.29907","0.29907","0.29907"
"169","0.45398","0.45398","0.45398","0.487","0.487","0.487","0.48827","0.48827","0.48827","0.47255","0.47255","0.47255","0.41068","0.41068","0.41068","0.4713","0.4713","0.4713","0.4864","0.4864","0.4864","0.36298","0.36298","0.36298","0.47231","0.47231","0.47231","0.34228","0.34228","0.34228"
"170","0.46631","0.46631","0.46631","0.4606","0.4606","0.4606","0.48368","0.48368","0.48368","0.46013","0.46013","0.46013","0.45719","0.45719","0.45719","0.48551","0.48551","0.48551","0.48602","0.48602","0.48602","0.34366","0.34366","0.34366","0.48933","0.48933","0.48933","0.35795","0.35795","0.35795"
"171","0.46855","0.46855","0.46855","0.46255","0.46255","0.46255","0.46864","0.46864","0.46864","0.45916","0.45916","0.45916","0.40774","0.40774","0.40774","0.48532","0.48532","0.48532","0.47871","0.47871","0.47871","0.35537","0.35537","0.35537","0.47519","0.47519","0.47519","0.32113","0.32113","0.32113"
"172","0.44715","0.44715","0.44715","0.48038","0.48038","0.48038","0.47173","0.47173","0.47173","0.45804","0.45804","0.45804","0.42298","0.42298","0.42298","0.47959","0.47959","0.47959","0.49789","0.49789","0.49789","0.37819","0.37819","0.37819","0.48288","0.48288","0.48288","0.37229","0.37229","0.37229"
"173","0.45878","0.45878","0.45878","0.45491","0.45491","0.45491","0.48284","0.48284","0.48284","0.46261","0.46261","0.46261","0.4751","0.4751","0.4751","0.48963","0.48963","0.48963","0.48518","0.48518","0.48518","0.35086","0.35086","0.35086","0.48425","0.48425","0.48425","0.35609","0.35609","0.35609"
"174","0.43362","0.43362","0.43362","0.46986","0.46986","0.46986","0.46415","0.46415","0.46415","0.45983","0.45983","0.45983","0.43429","0.43429","0.43429","0.4859","0.4859","0.4859","0.4867","0.4867","0.4867","0.37409","0.37409","0.37409","0.48176","0.48176","0.48176","0.36427","0.36427","0.36427"
"175","0.45536","0.45536","0.45536","0.44859","0.44859","0.44859","0.48943","0.48943","0.48943","0.47447","0.47447","0.47447","0.41465","0.41465","0.41465","0.46998","0.46998","0.46998","0.4877","0.4877","0.4877","0.35562","0.35562","0.35562","0.47413","0.47413","0.47413","0.34444","0.34444","0.34444"
"176","0.45375","0.45375","0.45375","0.46841","0.46841","0.46841","0.48956","0.48956","0.48956","0.45754","0.45754","0.45754","0.45108","0.45108","0.45108","0.47733","0.47733","0.47733","0.48672","0.48672","0.48672","0.36221","0.36221","0.36221","0.48711","0.48711","0.48711","0.36597","0.36597","0.36597"
"177","0.47514","0.47514","0.47514","0.46335","0.46335","0.46335","0.48661","0.48661","0.48661","0.46921","0.46921","0.46921","0.46455","0.46455","0.46455","0.48733","0.48733","0.48733","0.47424","0.47424","0.47424","0.35624","0.35624","0.35624","0.48879","0.48879","0.48879","0.35417","0.35417","0.35417"
"178","0.46656","0.46656","0.46656","0.47195","0.47195","0.47195","0.48729","0.48729","0.48729","0.46127","0.46127","0.46127","0.43143","0.43143","0.43143","0.48034","0.48034","0.48034","0.48254","0.48254","0.48254","0.37038","0.37038","0.37038","0.48488","0.48488","0.48488","0.36237","0.36237","0.36237"
"179","0.44791","0.44791","0.44791","0.45318","0.45318","0.45318","0.48029","0.48029","0.48029","0.47208","0.47208","0.47208","0.47268","0.47268","0.47268","0.48538","0.48538","0.48538","0.48494","0.48494","0.48494","0.38318","0.38318","0.38318","0.48281","0.48281","0.48281","0.36815","0.36815","0.36815"
"180","0.47591","0.47591","0.47591","0.46242","0.46242","0.46242","0.48124","0.48124","0.48124","0.45869","0.45869","0.45869","0.4778","0.4778","0.4778","0.4725","0.4725","0.4725","0.48435","0.48435","0.48435","0.35914","0.35914","0.35914","0.47971","0.47971","0.47971","0.38267","0.38267","0.38267"
"181","0.44455","0.44455","0.44455","0.45583","0.45583","0.45583","0.48271","0.48271","0.48271","0.461","0.461","0.461","0.42446","0.42446","0.42446","0.4772","0.4772","0.4772","0.4841","0.4841","0.4841","0.36606","0.36606","0.36606","0.48375","0.48375","0.48375","0.35143","0.35143","0.35143"
"182","0.47398","0.47398","0.47398","0.45286","0.45286","0.45286","0.48191","0.48191","0.48191","0.47364","0.47364","0.47364","0.46352","0.46352","0.46352","0.48539","0.48539","0.48539","0.48084","0.48084","0.48084","0.37934","0.37934","0.37934","0.4829","0.4829","0.4829","0.35586","0.35586","0.35586"
"183","0.47577","0.47577","0.47577","0.47354","0.47354","0.47354","0.48873","0.48873","0.48873","0.47756","0.47756","0.47756","0.43534","0.43534","0.43534","0.48281","0.48281","0.48281","0.48642","0.48642","0.48642","0.36364","0.36364","0.36364","0.48927","0.48927","0.48927","0.35555","0.35555","0.35555"
"184","0.45422","0.45422","0.45422","0.48506","0.48506","0.48506","0.47841","0.47841","0.47841","0.47355","0.47355","0.47355","0.44841","0.44841","0.44841","0.47363","0.47363","0.47363","0.4713","0.4713","0.4713","0.39823","0.39823","0.39823","0.48263","0.48263","0.48263","0.36669","0.36669","0.36669"
"185","0.47593","0.47593","0.47593","0.46994","0.46994","0.46994","0.48328","0.48328","0.48328","0.46993","0.46993","0.46993","0.45475","0.45475","0.45475","0.47982","0.47982","0.47982","0.46731","0.46731","0.46731","0.3982","0.3982","0.3982","0.48973","0.48973","0.48973","0.3742","0.3742","0.3742"
"186","0.47457","0.47457","0.47457","0.47425","0.47425","0.47425","0.48059","0.48059","0.48059","0.47043","0.47043","0.47043","0.43769","0.43769","0.43769","0.48574","0.48574","0.48574","0.47766","0.47766","0.47766","0.36462","0.36462","0.36462","0.47469","0.47469","0.47469","0.3643","0.3643","0.3643"
"187","0.44358","0.44358","0.44358","0.44494","0.44494","0.44494","0.47997","0.47997","0.47997","0.46498","0.46498","0.46498","0.4444","0.4444","0.4444","0.47437","0.47437","0.47437","0.48897","0.48897","0.48897","0.40744","0.40744","0.40744","0.48066","0.48066","0.48066","0.37051","0.37051","0.37051"
"188","0.44456","0.44456","0.44456","0.48998","0.48998","0.48998","0.47397","0.47397","0.47397","0.45571","0.45571","0.45571","0.46004","0.46004","0.46004","0.47795","0.47795","0.47795","0.483","0.483","0.483","0.40503","0.40503","0.40503","0.4756","0.4756","0.4756","0.3696","0.3696","0.3696"
"189","0.45732","0.45732","0.45732","0.459","0.459","0.459","0.47285","0.47285","0.47285","0.45652","0.45652","0.45652","0.4109","0.4109","0.4109","0.47925","0.47925","0.47925","0.48029","0.48029","0.48029","0.4018","0.4018","0.4018","0.48417","0.48417","0.48417","0.36116","0.36116","0.36116"
"190","0.47684","0.47684","0.47684","0.48251","0.48251","0.48251","0.47521","0.47521","0.47521","0.4653","0.4653","0.4653","0.44352","0.44352","0.44352","0.46879","0.46879","0.46879","0.47223","0.47223","0.47223","0.3671","0.3671","0.3671","0.47872","0.47872","0.47872","0.37394","0.37394","0.37394"
"191","0.46524","0.46524","0.46524","0.48497","0.48497","0.48497","0.48715","0.48715","0.48715","0.47755","0.47755","0.47755","0.4412","0.4412","0.4412","0.48263","0.48263","0.48263","0.47634","0.47634","0.47634","0.36838","0.36838","0.36838","0.4845","0.4845","0.4845","0.36832","0.36832","0.36832"
"192","0.45022","0.45022","0.45022","0.48346","0.48346","0.48346","0.48099","0.48099","0.48099","0.47639","0.47639","0.47639","0.43811","0.43811","0.43811","0.48312","0.48312","0.48312","0.47774","0.47774","0.47774","0.39961","0.39961","0.39961","0.48689","0.48689","0.48689","0.37088","0.37088","0.37088"
"193","0.47986","0.47986","0.47986","0.48407","0.48407","0.48407","0.47905","0.47905","0.47905","0.45799","0.45799","0.45799","0.45801","0.45801","0.45801","0.48528","0.48528","0.48528","0.48526","0.48526","0.48526","0.40222","0.40222","0.40222","0.47546","0.47546","0.47546","0.3624","0.3624","0.3624"
"194","0.4756","0.4756","0.4756","0.46327","0.46327","0.46327","0.47839","0.47839","0.47839","0.45655","0.45655","0.45655","0.42885","0.42885","0.42885","0.48432","0.48432","0.48432","0.47889","0.47889","0.47889","0.37483","0.37483","0.37483","0.4807","0.4807","0.4807","0.37157","0.37157","0.37157"
"195","0.45227","0.45227","0.45227","0.46021","0.46021","0.46021","0.48562","0.48562","0.48562","0.4718","0.4718","0.4718","0.41958","0.41958","0.41958","0.48835","0.48835","0.48835","0.49105","0.49105","0.49105","0.36648","0.36648","0.36648","0.47999","0.47999","0.47999","0.3634","0.3634","0.3634"
"196","0.47502","0.47502","0.47502","0.47321","0.47321","0.47321","0.48535","0.48535","0.48535","0.47321","0.47321","0.47321","0.43279","0.43279","0.43279","0.47776","0.47776","0.47776","0.48597","0.48597","0.48597","0.38302","0.38302","0.38302","0.4835","0.4835","0.4835","0.38443","0.38443","0.38443"
"197","0.44783","0.44783","0.44783","0.46144","0.46144","0.46144","0.48118","0.48118","0.48118","0.48357","0.48357","0.48357","0.44727","0.44727","0.44727","0.47855","0.47855","0.47855","0.49134","0.49134","0.49134","0.34164","0.34164","0.34164","0.48957","0.48957","0.48957","0.36861","0.36861","0.36861"
"198","0.47559","0.47559","0.47559","0.47716","0.47716","0.47716","0.47319","0.47319","0.47319","0.47097","0.47097","0.47097","0.43926","0.43926","0.43926","0.48355","0.48355","0.48355","0.48879","0.48879","0.48879","0.39218","0.39218","0.39218","0.48599","0.48599","0.48599","0.37448","0.37448","0.37448"
"199","0.45277","0.45277","0.45277","0.46739","0.46739","0.46739","0.48765","0.48765","0.48765","0.47598","0.47598","0.47598","0.43672","0.43672","0.43672","0.49118","0.49118","0.49118","0.4877","0.4877","0.4877","0.4002","0.4002","0.4002","0.48463","0.48463","0.48463","0.36356","0.36356","0.36356"
"200","0.45203","0.45203","0.45203","0.46908","0.46908","0.46908","0.4853","0.4853","0.4853","0.47502","0.47502","0.47502","0.46713","0.46713","0.46713","0.47917","0.47917","0.47917","0.49529","0.49529","0.49529","0.408","0.408","0.408","0.48361","0.48361","0.48361","0.37452","0.37452","0.37452"
"201","0.47584","0.47584","0.47584","0.49029","0.49029","0.49029","0.4801","0.4801","0.4801","0.47185","0.47185","0.47185","0.45831","0.45831","0.45831","0.47941","0.47941","0.47941","0.48565","0.48565","0.48565","0.4044","0.4044","0.4044","0.48257","0.48257","0.48257","0.36664","0.36664","0.36664"
"202","0.46006","0.46006","0.46006","0.48548","0.48548","0.48548","0.48227","0.48227","0.48227","0.48564","0.48564","0.48564","0.47196","0.47196","0.47196","0.48202","0.48202","0.48202","0.50215","0.50215","0.50215","0.38379","0.38379","0.38379","0.47586","0.47586","0.47586","0.37037","0.37037","0.37037"
"203","0.47111","0.47111","0.47111","0.48101","0.48101","0.48101","0.49324","0.49324","0.49324","0.47508","0.47508","0.47508","0.44801","0.44801","0.44801","0.48569","0.48569","0.48569","0.486","0.486","0.486","0.40095","0.40095","0.40095","0.48638","0.48638","0.48638","0.36648","0.36648","0.36648"
"204","0.46381","0.46381","0.46381","0.48033","0.48033","0.48033","0.48367","0.48367","0.48367","0.4743","0.4743","0.4743","0.44649","0.44649","0.44649","0.49003","0.49003","0.49003","0.4882","0.4882","0.4882","0.40417","0.40417","0.40417","0.48925","0.48925","0.48925","0.35967","0.35967","0.35967"
"205","0.44322","0.44322","0.44322","0.4734","0.4734","0.4734","0.48239","0.48239","0.48239","0.48326","0.48326","0.48326","0.45255","0.45255","0.45255","0.48799","0.48799","0.48799","0.48274","0.48274","0.48274","0.39104","0.39104","0.39104","0.48468","0.48468","0.48468","0.34331","0.34331","0.34331"
"206","0.47283","0.47283","0.47283","0.4751","0.4751","0.4751","0.4849","0.4849","0.4849","0.46014","0.46014","0.46014","0.43875","0.43875","0.43875","0.5029","0.5029","0.5029","0.48445","0.48445","0.48445","0.40757","0.40757","0.40757","0.47865","0.47865","0.47865","0.37016","0.37016","0.37016"
"207","0.47157","0.47157","0.47157","0.46561","0.46561","0.46561","0.47981","0.47981","0.47981","0.47893","0.47893","0.47893","0.43463","0.43463","0.43463","0.4776","0.4776","0.4776","0.4845","0.4845","0.4845","0.37379","0.37379","0.37379","0.48268","0.48268","0.48268","0.37715","0.37715","0.37715"
"208","0.46872","0.46872","0.46872","0.4823","0.4823","0.4823","0.4858","0.4858","0.4858","0.47549","0.47549","0.47549","0.43276","0.43276","0.43276","0.48692","0.48692","0.48692","0.48288","0.48288","0.48288","0.39133","0.39133","0.39133","0.48528","0.48528","0.48528","0.37848","0.37848","0.37848"
"209","0.46587","0.46587","0.46587","0.47836","0.47836","0.47836","0.48101","0.48101","0.48101","0.46878","0.46878","0.46878","0.45484","0.45484","0.45484","0.4827","0.4827","0.4827","0.48198","0.48198","0.48198","0.37439","0.37439","0.37439","0.48211","0.48211","0.48211","0.36715","0.36715","0.36715"
"210","0.45431","0.45431","0.45431","0.4804","0.4804","0.4804","0.47904","0.47904","0.47904","0.46859","0.46859","0.46859","0.44472","0.44472","0.44472","0.48382","0.48382","0.48382","0.48184","0.48184","0.48184","0.3913","0.3913","0.3913","0.48468","0.48468","0.48468","0.37593","0.37593","0.37593"
"211","0.47315","0.47315","0.47315","0.48516","0.48516","0.48516","0.48266","0.48266","0.48266","0.47704","0.47704","0.47704","0.43243","0.43243","0.43243","0.48111","0.48111","0.48111","0.4839","0.4839","0.4839","0.39568","0.39568","0.39568","0.48543","0.48543","0.48543","0.38225","0.38225","0.38225"
"212","0.46842","0.46842","0.46842","0.46043","0.46043","0.46043","0.4857","0.4857","0.4857","0.47935","0.47935","0.47935","0.44851","0.44851","0.44851","0.47712","0.47712","0.47712","0.48628","0.48628","0.48628","0.37306","0.37306","0.37306","0.48309","0.48309","0.48309","0.36565","0.36565","0.36565"
"213","0.46599","0.46599","0.46599","0.48093","0.48093","0.48093","0.48148","0.48148","0.48148","0.47629","0.47629","0.47629","0.43819","0.43819","0.43819","0.48226","0.48226","0.48226","0.50203","0.50203","0.50203","0.39298","0.39298","0.39298","0.48208","0.48208","0.48208","0.35657","0.35657","0.35657"
"214","0.45747","0.45747","0.45747","0.45532","0.45532","0.45532","0.48369","0.48369","0.48369","0.4766","0.4766","0.4766","0.44845","0.44845","0.44845","0.48412","0.48412","0.48412","0.48451","0.48451","0.48451","0.39441","0.39441","0.39441","0.48253","0.48253","0.48253","0.38803","0.38803","0.38803"
"215","0.46281","0.46281","0.46281","0.47282","0.47282","0.47282","0.47773","0.47773","0.47773","0.48358","0.48358","0.48358","0.43556","0.43556","0.43556","0.48578","0.48578","0.48578","0.47907","0.47907","0.47907","0.36261","0.36261","0.36261","0.47527","0.47527","0.47527","0.38516","0.38516","0.38516"
"216","0.46795","0.46795","0.46795","0.47657","0.47657","0.47657","0.49021","0.49021","0.49021","0.47462","0.47462","0.47462","0.43892","0.43892","0.43892","0.48569","0.48569","0.48569","0.4821","0.4821","0.4821","0.39197","0.39197","0.39197","0.48404","0.48404","0.48404","0.36397","0.36397","0.36397"
"217","0.46928","0.46928","0.46928","0.46065","0.46065","0.46065","0.48797","0.48797","0.48797","0.47197","0.47197","0.47197","0.44302","0.44302","0.44302","0.48539","0.48539","0.48539","0.48388","0.48388","0.48388","0.39512","0.39512","0.39512","0.47978","0.47978","0.47978","0.38491","0.38491","0.38491"
"218","0.46735","0.46735","0.46735","0.47559","0.47559","0.47559","0.48123","0.48123","0.48123","0.47363","0.47363","0.47363","0.44059","0.44059","0.44059","0.48419","0.48419","0.48419","0.47523","0.47523","0.47523","0.37885","0.37885","0.37885","0.48784","0.48784","0.48784","0.38243","0.38243","0.38243"
"219","0.46411","0.46411","0.46411","0.47272","0.47272","0.47272","0.48814","0.48814","0.48814","0.47517","0.47517","0.47517","0.43625","0.43625","0.43625","0.48353","0.48353","0.48353","0.47453","0.47453","0.47453","0.40276","0.40276","0.40276","0.48396","0.48396","0.48396","0.3759","0.3759","0.3759"
"220","0.47067","0.47067","0.47067","0.48241","0.48241","0.48241","0.48694","0.48694","0.48694","0.4601","0.4601","0.4601","0.44296","0.44296","0.44296","0.47897","0.47897","0.47897","0.48472","0.48472","0.48472","0.42084","0.42084","0.42084","0.481","0.481","0.481","0.35881","0.35881","0.35881"
"221","0.45992","0.45992","0.45992","0.46371","0.46371","0.46371","0.4899","0.4899","0.4899","0.47419","0.47419","0.47419","0.44966","0.44966","0.44966","0.4767","0.4767","0.4767","0.48943","0.48943","0.48943","0.392","0.392","0.392","0.4885","0.4885","0.4885","0.37924","0.37924","0.37924"
"222","0.4583","0.4583","0.4583","0.45485","0.45485","0.45485","0.48448","0.48448","0.48448","0.4774","0.4774","0.4774","0.44112","0.44112","0.44112","0.48301","0.48301","0.48301","0.48783","0.48783","0.48783","0.38146","0.38146","0.38146","0.48194","0.48194","0.48194","0.36789","0.36789","0.36789"
"223","0.47965","0.47965","0.47965","0.47125","0.47125","0.47125","0.49339","0.49339","0.49339","0.47484","0.47484","0.47484","0.44779","0.44779","0.44779","0.48262","0.48262","0.48262","0.4904","0.4904","0.4904","0.38828","0.38828","0.38828","0.48528","0.48528","0.48528","0.38542","0.38542","0.38542"
"224","0.46762","0.46762","0.46762","0.47704","0.47704","0.47704","0.48806","0.48806","0.48806","0.47942","0.47942","0.47942","0.4333","0.4333","0.4333","0.48894","0.48894","0.48894","0.4869","0.4869","0.4869","0.3864","0.3864","0.3864","0.48967","0.48967","0.48967","0.39022","0.39022","0.39022"
