"Step","MLConv[R=50]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLConv[R=50]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLConv[R=50]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLConv[R=150]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLConv[R=150]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLConv[R=150]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=23]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=23]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=23]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLConv[R=100]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLConv[R=100]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLConv[R=100]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=16]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=16]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=16]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=30]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=30]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=30]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","YOLO11x-DOTAv1-23 - metrics/mAP50(B)","YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=36]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=36]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=36]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX"
"26","0.1939","0.1939","0.1939","0.25825","0.25825","0.25825","0.34471","0.34471","0.34471","0.26799","0.26799","0.26799","0.22155","0.22155","0.22155","0.356","0.356","0.356","0.28572","0.28572","0.28572","0","0","0","0.35662","0.35662","0.35662","0","0","0"
"27","0.19089","0.19089","0.19089","0.25583","0.25583","0.25583","0.32983","0.32983","0.32983","0.3498","0.3498","0.3498","0.22135","0.22135","0.22135","0.30689","0.30689","0.30689","0.31268","0.31268","0.31268","0.00335","0.00335","0.00335","0.28704","0.28704","0.28704","0.00008","0.00008","0.00008"
"28","0.22051","0.22051","0.22051","0.26967","0.26967","0.26967","0.35628","0.35628","0.35628","0.31135","0.31135","0.31135","0.24289","0.24289","0.24289","0.3493","0.3493","0.3493","0.34766","0.34766","0.34766","0.00281","0.00281","0.00281","0.34977","0.34977","0.34977","0.00449","0.00449","0.00449"
"29","0.25251","0.25251","0.25251","0.29096","0.29096","0.29096","0.35725","0.35725","0.35725","0.37495","0.37495","0.37495","0.2982","0.2982","0.2982","0.35853","0.35853","0.35853","0.37937","0.37937","0.37937","0","0","0","0.3714","0.3714","0.3714","0","0","0"
"30","0.28967","0.28967","0.28967","0.23911","0.23911","0.23911","0.3565","0.3565","0.3565","0.30081","0.30081","0.30081","0.35427","0.35427","0.35427","0.37453","0.37453","0.37453","0.36692","0.36692","0.36692","0","0","0","0.3776","0.3776","0.3776","0","0","0"
"31","0.19069","0.19069","0.19069","0.24522","0.24522","0.24522","0.38767","0.38767","0.38767","0.26886","0.26886","0.26886","0.29466","0.29466","0.29466","0.36108","0.36108","0.36108","0.34908","0.34908","0.34908","0","0","0","0.3584","0.3584","0.3584","0","0","0"
"32","0.28735","0.28735","0.28735","0.29626","0.29626","0.29626","0.29839","0.29839","0.29839","0.32828","0.32828","0.32828","0.28289","0.28289","0.28289","0.32477","0.32477","0.32477","0.30415","0.30415","0.30415","0.00751","0.00751","0.00751","0.37978","0.37978","0.37978","0.00716","0.00716","0.00716"
"33","0.28721","0.28721","0.28721","0.34407","0.34407","0.34407","0.38313","0.38313","0.38313","0.34992","0.34992","0.34992","0.25473","0.25473","0.25473","0.35243","0.35243","0.35243","0.36147","0.36147","0.36147","0","0","0","0.36025","0.36025","0.36025","0.0015","0.0015","0.0015"
"34","0.21151","0.21151","0.21151","0.27309","0.27309","0.27309","0.36542","0.36542","0.36542","0.3472","0.3472","0.3472","0.33819","0.33819","0.33819","0.29967","0.29967","0.29967","0.34585","0.34585","0.34585","0.00557","0.00557","0.00557","0.36897","0.36897","0.36897","0","0","0"
"35","0.27261","0.27261","0.27261","0.31324","0.31324","0.31324","0.3773","0.3773","0.3773","0.36221","0.36221","0.36221","0.33322","0.33322","0.33322","0.36728","0.36728","0.36728","0.39098","0.39098","0.39098","0","0","0","0.37772","0.37772","0.37772","0","0","0"
